user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
legallydirtyblonde07,Accepted,3.43,155.0,,"$33,000",2024-12-02,,2024-12-02,,,,2024-12-06,,2025-06-13T15:24:43Z,33000,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
UpsetKnowingPirate,Waitlisted,3.65,157.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
TheLawMan69,Pending,3.29,148.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
gorgwannabelawyer,Accepted,3.7,153.0,,,,,,,,,2025-04-08,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
UnableSteadyTaco,Accepted,3.26,150.0,10+ years,"$20,000",2024-12-04,2024-12-12,2025-03-25,2025-04-02,,,2025-04-07,Regular Decision,2025-06-13T15:24:45Z,20000,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,True,Academically Dismissed ,regular,17.0,,,,,False,False,Accepted
HushedCharmingAnt,Pending,,,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Sebass44,Accepted,3.0,154.0,,"$28,960, Conditional",,,,,,,2025-03-30,,2025-06-13T15:24:46Z,28960,True,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
HorribleRottenCatfish,Rejected,2.7,160.0,10+ years,,2024-12-17,,2024-12-17,,,,2025-03-07,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,True,Felony drug charge from 2017,regular,10.0,,,,,False,False,Rejected
BeefLaw,Rejected,2.25,154.0,,,,,,,,,2025-03-03,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
Dragonbornapplicant,Waitlisted,,,,,2024-12-07,,,,,,2025-01-07,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Rubbabubbub,Rejected,3.6,159.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Rejected
SturdyAmusingTarantula,Accepted,3.5,159.0,1-4 years,,2025-02-21,,,,,,2025-03-20,,2025-06-13T15:24:48Z,,False,,False,,False,White,True,False,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
PluckyOldPlatypus,Accepted,3.8,151.0,,"$33,000",,,,,,,2025-01-10,Regular Decision,2025-06-13T15:24:48Z,33000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
lolslayz,Waitlisted,3.1,154.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
UnknownLoutishPebble,Accepted,2.9,156.0,,,,,,,,,2024-12-12,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
READYTOEARNJDANDCHANGETHEWORLD,Pending,3.17,151.0,10+ years,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,False,White,False,False,False,False,False,False,True,"Two OWI's; however, they were within 6 months of a TBI - Judge was even understanding",,10.0,,,,,False,False,Pending
OneCloud,Accepted,3.2,149.0,,"$17,000",,,,,,,2025-03-12,,2025-06-13T15:24:49Z,17000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
RaggedAbjectKitten,Waitlisted,2.7,154.0,5-9 years,,2024-12-21,,2025-01-27,,,,2025-02-06,Regular Decision,2025-06-13T15:24:50Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Waitlisted
AquaticRambunctiousSeahorse,Accepted,2.72,154.0,1-4 years,"$28,960, Dean's Merit Scholarship",2025-03-21,2025-03-21,2025-03-24,2025-03-24,,,2025-04-08,Regular Decision,2025-06-13T15:24:50Z,28960,False,Dean's Merit Scholarship,True,,False,White,False,True,False,False,False,False,True,Academic Probation (failed a class),regular,2.0,,,,,False,False,Accepted
DueProcessMatters,Pending,3.71,154.0,,,,,,,,,,,2025-06-13T15:24:50Z,,False,,True,,True,Hispanic/Latino,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
KindheartedSuccessfulChinchilla,Accepted,3.21,148.0,1-4 years,"$16,548",,,,,,,2025-01-31,,2025-06-13T15:24:50Z,16548,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
midwestlaw09,"accepted, Attending",3.75,158.0,1-4 years,,2024-11-12,,,,,,2024-12-06,Regular Decision,2025-07-13T14:46:49Z,,False,,False,,False,White,False,True,False,False,True,False,False,,regular,2.0,,,,,False,False,accepted
Asiangirlevery1hates,Pending,3.71,,,,,,,,,,,,2025-06-13T15:24:51Z,,,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
WalledLakeSlim,Pending,2.6,154.0,,,2025-01-07,,2025-01-07,,,,,Regular Decision,2025-06-13T15:24:51Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
HaplessBreakableBulldog,Pending,3.58,146.0,1-4 years,,2024-11-17,2024-11-18,2024-12-05,,,,,,2025-06-13T15:24:52Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
RobotCloudy,Accepted,3.22,154.0,,"$33,000",2024-10-31,,,,,,2024-12-14,,2025-06-13T15:24:53Z,33000,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
PuzzledExcellentCentipede,Accepted,3.5,161.0,,"$49,646, Pending",2024-12-20,2024-12-20,,2025-01-02,,,2025-01-10,Regular Decision,2025-06-13T15:24:53Z,49646,False,Pending,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
WorriedMeanChicken,Accepted,3.76,151.0,,,,,,,,,2024-11-11,,2025-06-13T15:24:54Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
NoProbLlama,Waitlisted,4.2,165.0,5-9 years,,2025-04-02,2025-04-02,2025-05-01,2025-05-01,,,,Regular Decision,2025-06-13T15:24:54Z,,False,,False,,False,,True,True,False,False,False,False,False,,regular,8.0,,,,,False,False,Waitlisted
RebelOppositeKitten,Pending,3.04,153.0,,,2025-03-27,,,,,,,Regular Decision,2025-06-13T15:24:54Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
lawschooldatagiver,Accepted,3.54,154.0,5-9 years,"$32,000",2024-09-25,,2024-09-28,,,,2024-10-18,Regular Decision,2025-06-13T15:24:55Z,32000,False,,False,,False,White,False,True,False,False,False,False,True,middle school shoplifting fine,regular,5.0,,,,,False,False,Accepted
FutureBALawyer,Rejected,2.65,149.0,5-9 years,,2025-03-28,,,,,,2025-04-28,,2025-06-13T15:24:55Z,,False,,False,,False,White,False,False,False,False,False,False,True,,,9.0,,,,,False,False,Rejected
SadboyGerald,Waitlisted,2.3,164.0,,,2025-02-16,,,,,,,,2025-06-13T15:24:57Z,,False,,True,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
thoscheitruther,Waitlisted,2.61,161.0,5-9 years,,2024-10-17,2024-10-23,2024-10-23,,,,2024-11-11,,2025-06-13T15:24:58Z,,False,,True,,False,White,False,False,False,False,False,False,True,Speeding ticket,,7.0,,,,,False,False,Waitlisted
ThickSilkyPheasant,Accepted,3.9,160.0,0 years (KJD),"$63,000",,,,,,,2025-04-25,Regular Decision,2025-06-13T15:24:58Z,63000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
LovelyLlama,Accepted,3.6,155.0,,"$33,097",2024-10-23,,,,,,2024-11-19,Regular Decision,2025-06-13T15:24:58Z,33097,False,,True,,True,Other,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
RespectfulPotato,Accepted,3.34,149.0,,,,,,,,,2025-03-27,,2025-06-13T15:24:59Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
FloridaChic,Pending,2.75,148.0,10+ years,,2025-04-07,2025-04-09,,,,,,Regular Decision,2025-06-13T15:25:00Z,,False,,True,No,True,Black or African American,False,True,False,False,False,False,False,,regular,25.0,,,,,False,False,Pending
FeignedTiresomeGrasshopper,Rejected,2.2,156.0,,,,,,,,,2025-04-06,,2025-06-13T15:25:00Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
ReconditeBrashCrab,Pending,3.6,147.0,,,,,,,,,,Regular Decision,2025-06-13T15:25:03Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
Cyberpunk,Pending,,,,,,,,,,,,,2025-06-13T15:25:12Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,True,False,Pending
Xwartu,Pending,2.83,161.0,1-4 years,,,,,,,,,Regular Decision,2025-09-13T23:03:28Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
bonelesscannoli,"Accepted, Withdrawn",3.65,154.0,5-9 years,"$33,097",2025-01-18,2025-01-18,2025-01-21,2025-01-21,,,2025-02-18,Regular Decision,2025-07-02T22:12:31Z,33097,False,,True,,False,White,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,Accepted
lawschooldreamer23,waitlisted,3.2,148.0,,,,,,,,,,Regular Decision,2025-07-10T23:49:30Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,waitlisted
Legally08,rejected,2.89,145.0,,,,,,,,,,Regular Decision,2025-07-22T21:57:46Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,rejected
expensivestate6171,Accepted,3.56,158.0,,"$50,000, renegotiated and received President's +",2024-09-11,,,,,,2024-10-18,Regular Decision,2025-06-13T15:24:50Z,50000,False,renegotiated and received President's +,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
SummerSeaSerpant,Waitlisted,3.63,151.0,5-9 years,,2025-04-11,2025-04-11,2025-04-11,2025-04-15,,,2025-05-21,Regular Decision,2025-06-13T15:25:06Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Waitlisted
matteblackmouse,"Accepted, Attending",3.42,154.0,,"$27,000",,,,,,,2025-04-10,,2025-06-13T15:24:49Z,27000,False,,False,,True,Hispanic/Latino,False,False,False,False,True,False,False,,,,,,,,False,False,Accepted
BorgHussler,"Accepted, Withdrawn",2.79,151.0,1-4 years,"$40,000",2025-02-19,,2025-02-19,,,,2025-03-19,,2025-06-13T15:24:42Z,40000,False,,False,,False,White,False,False,False,True,False,False,False,,,2.0,,,,,False,False,Accepted
QuixoticFreezingKitten,"Accepted, Withdrawn",3.47,163.0,1-4 years,"$49,646",,,,,,,2025-01-10,Regular Decision,2025-06-13T15:24:45Z,49646,False,,False,,False,White,False,True,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
happyfeet214,"Accepted, Withdrawn",3.38,147.0,10+ years,,2024-12-26,,,,,,2025-02-07,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,True,Black or African American,False,False,False,True,False,False,False,,regular,11.0,,,,,False,False,Accepted
LongTangyDevil,"Accepted, Withdrawn",3.37,151.0,5-9 years,"$33,090, Conditional",2024-12-19,,,,,,2025-01-07,Regular Decision,2025-06-13T15:24:52Z,33090,True,,True,,False,White,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,Accepted
SubstantialRigidSlug,"Accepted, Withdrawn",3.88,162.0,,"$75,000",2025-01-15,,,,,,2025-03-03,,2025-06-13T15:24:52Z,75000,False,,False,,False,White,False,False,False,True,False,False,False,,,,,,,,False,False,Accepted
cecea99,"Accepted, Withdrawn",3.19,151.0,1-4 years,"$33,098",2025-01-09,2025-01-09,2025-01-10,,,,2025-01-31,Regular Decision,2025-06-13T15:24:53Z,33098,False,,True,,True,Multiracial,False,False,False,True,False,False,True,Academic Probation & Party to a personal injury lawsuit,regular,2.0,,,,,False,False,Accepted
SturdyTalentedEmu,"Accepted, Withdrawn",3.25,150.0,,"$36,000",2025-02-12,2025-02-12,2025-02-12,2025-02-13,,,2025-02-26,Regular Decision,2025-06-13T15:24:57Z,36000,False,,True,,True,Other,False,False,False,True,False,False,False,,regular,,,,,,False,False,Accepted
dg02,"Accepted, Withdrawn",3.65,165.0,1-4 years,"$49,646",2025-02-28,2025-02-28,2025-03-02,,,,2025-03-19,Regular Decision,2025-06-13T15:25:01Z,49646,False,,True,,False,White,False,True,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
PeachyDayz,"Accepted, Attending",2.67,149.0,10+ years,"$5,000",2024-11-27,2024-11-27,2024-11-27,2024-12-02,2024-12-16,,2024-12-17,Regular Decision,2025-06-13T15:24:43Z,5000,False,,False,,False,White,False,True,False,False,True,False,False,,regular,11.0,,,,,False,False,Accepted
Vino33,"Accepted, Attending",3.47,146.0,,"$28,960",,,,,,,2025-03-07,Regular Decision,2025-06-13T15:24:45Z,28960,False,,True,,True,Hispanic/Latino,False,False,False,False,True,False,False,,regular,,,,,,False,False,Accepted
Flemcy,"Accepted, Attending",3.47,154.0,1-4 years,"$33,097, President's scholly",2025-02-27,2025-02-27,2025-03-02,2021-03-03,2025-03-13,,2025-03-19,Regular Decision,2025-06-13T15:25:21Z,33097,False,President's scholly,True,,False,White,False,True,False,False,True,False,False,,regular,3.0,,,,,False,False,Accepted
LeMythe2000,"Accepted, Withdrawn",3.3,149.0,1-4 years,"$16,000",,,,,,,2025-01-31,Regular Decision,2025-06-13T15:24:42Z,16000,False,,True,,True,Black or African American,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
mailman12,"Accepted, Withdrawn",2.86,163.0,0 years (KJD),"$33,097, Negotiated from initial $28,960 to current President's Scholarship",2024-11-30,2024-11-30,2024-12-05,,,,2024-12-17,Regular Decision,2025-06-13T15:24:42Z,33097,False,"Negotiated from initial $28,960 to current President's Scholarship",False,,False,,False,False,False,True,False,False,True,"academic probation (at two schools), speeding ticket, housing infraction for missed COVID test",regular,0.0,,,,,False,False,Accepted
SeattleRSplitter,"Accepted, Withdrawn",3.7,150.0,10+ years,"$28,300",,,,,,,2025-03-19,,2025-06-13T15:24:42Z,28300,False,,False,,False,White,False,False,False,True,False,False,False,,,18.0,,,,,False,False,Accepted
gudetama,"Accepted, Withdrawn",4.11,,1-4 years,"$48,000",2025-02-09,,,,,,2025-03-07,Regular Decision,2025-06-13T15:24:44Z,48000,False,,False,,True,Hispanic/Latino,False,True,False,True,False,False,False,,regular,2.0,,,,,False,False,Accepted
ryebreadcat,"Accepted, Withdrawn",3.21,155.0,1-4 years,"$33,097",,,,,,,2024-12-19,Regular Decision,2025-06-13T15:24:46Z,33097,False,,False,,False,East Asian,False,True,False,True,False,False,False,,regular,3.0,,,,,False,False,Accepted
GlibSedateCrow,"Accepted, Withdrawn",3.34,152.0,1-4 years,"$33,000",,,,,,,2025-01-21,,2025-06-13T15:24:50Z,33000,False,,False,,False,White,False,False,False,True,False,False,False,,,1.0,,,,,False,False,Accepted
Stargirl11,"Accepted, Withdrawn",3.39,158.0,,,2025-02-05,,,,,,2025-02-27,Regular Decision,2025-06-13T15:24:50Z,,False,,True,,True,Hispanic/Latino,False,True,False,True,False,False,False,,regular,,,,,,False,False,Accepted
CageyVictoriousLiger,"Accepted, Withdrawn",3.95,163.0,,"$148,900",2024-10-14,,,,,,2024-11-11,,2025-06-13T15:24:54Z,148900,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,Accepted
IntelligentRambunctiousSponge,"Accepted, Withdrawn",3.91,159.0,,"$49,644",,,,,,,2024-12-06,Regular Decision,2025-06-13T15:24:55Z,49644,False,,False,,False,White,False,True,False,True,False,False,False,,regular,,,,,,False,False,Accepted
ClutteredPicayunePlatypus,"Accepted, Withdrawn",3.53,154.0,,"$60,000",2024-09-01,,,,,,2024-10-18,Regular Decision,2025-06-13T15:24:58Z,60000,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,Accepted
GlisteningAlikeUrchin,"Accepted, Withdrawn",3.64,151.0,,"$33,097",2024-10-28,,,,,,2024-11-13,Regular Decision,2025-06-13T15:25:00Z,33097,False,,False,,False,,False,True,False,True,False,False,False,,regular,,,,,,False,False,Accepted
badgervb2024,"Accepted, Withdrawn",,,,,2024-11-15,2024-11-15,2024-11-22,2024-12-05,2024-12-11,,2024-12-12,Regular Decision,2025-06-13T15:25:01Z,,False,,True,,True,Black or African American,False,True,False,True,False,False,False,,regular,,,,,,False,False,Accepted
