user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
FaultyThinkableGargoyl,Pending,3.73,171.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
jackbenimble,Pending,3.44,168.0,10+ years,,2024-11-30,2024-12-01,2024-12-02,2024-12-09,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,True,"Multiple alcohol & drug offenses, including drunk driving, other offenses, and university misconduct",regular,11.0,,,,,False,False,Pending
Rembop123,Pending,4.22,161.0,,,,,2024-12-01,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
AloofWickedPelican,"Accepted, Withdrawn",3.94,174.0,1-4 years,"$211,818",2024-09-01,,,,,,2024-12-06,Regular Decision,2025-06-13T15:24:42Z,211818,False,,False,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
theaterkidloveslegallyblonde,Rejected,4.0,160.0,,,,,,,,,2025-04-18,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
Blackbelt99,Accepted,3.82,162.0,,"$60,000",2025-01-21,,2025-01-22,2025-01-27,2025-01-31,,2025-02-28,Regular Decision,2025-06-13T15:24:42Z,60000,False,,False,,False,White,True,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
LegallyBlondeAF,Accepted,3.87,174.0,,"$211,818",,,,,,,2024-12-06,Regular Decision,2025-06-13T15:24:42Z,211818,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
SomberRepulsiveRay,Rejected,3.87,165.0,1-4 years,,2024-11-28,2024-11-28,2024-12-02,,,,2025-03-07,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
AllegedEnchantingTerrier,Pending,3.55,176.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
gagsire,Pending,3.6,167.0,1-4 years,,2024-11-11,2024-11-12,2024-12-02,2024-12-09,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
FunkyKong,Accepted,3.6,177.0,1-4 years,"$130,000",,,,,,,2025-06-11,Regular Decision,2025-06-13T15:24:42Z,130000,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
OnerousFancyPug,Pending,3.64,167.0,1-4 years,,,2024-12-19,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
LordSplitterXVIII,Rejected,3.0,170.0,1-4 years,,2024-10-05,,,,,,2025-01-31,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
naturelover01,Rejected,3.92,156.0,1-4 years,,2024-11-04,,,2024-11-12,2025-01-27,,2025-03-07,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
MonateMonna,Pending,3.6,165.0,1-4 years,,,,2024-11-04,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
CharmingSmoothBee,Pending,3.4,164.0,1-4 years,,2024-12-01,2024-12-01,2024-12-02,2024-12-09,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Pending
LameIllBarracuda,Pending,3.87,170.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
sharkboy,Rejected,3.94,155.0,,,2025-01-08,2025-01-08,2025-01-09,,,,2025-03-28,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
CaterpillarVibes,Waitlisted,3.92,165.0,0 years (KJD),,2024-10-22,2024-10-22,2024-10-22,2025-01-07,2025-01-21,,2025-03-07,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
BennyBoy,Pending,3.78,161.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
PreschoolJD,Pending,3.94,173.0,0 years (KJD),,2024-12-01,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,True,,regular,0.0,,,,,False,False,Pending
plsgivemeanoffer,Pending,3.81,170.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
