user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
UpsetFreezingAngelfish,Accepted,3.37,151.0,,,2024-12-05,,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
LevelSmilingCivet,Accepted,3.34,152.0,,"$30,000",,,,,,,2025-01-03,,2025-06-13T15:24:42Z,30000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SelectiveNutritiousMayfly,Accepted,3.78,155.0,,,,,,,,,2024-11-15,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
RichZonkedMoose,Pending,3.1,151.0,1-4 years,,2025-01-28,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Pending
IllegalEatableFish,Pending,2.56,142.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
YoungHilariousWerewolf,Rejected,3.79,139.0,1-4 years,,2025-01-31,,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
zoeyyyyyccccc,Accepted,3.8,154.0,,"$60,000",,,,,,,2024-12-03,,2025-06-13T15:24:43Z,60000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
flashyfactfinder,Accepted,3.95,164.0,,"$105,000",,,,,,,2024-11-20,,2025-06-13T15:24:44Z,105000,False,,False,,False,White,False,True,False,False,False,False,True,covid restriction and drinking (not guilty),,,,,,,False,False,Accepted
HoneybadgerThrower,Accepted,3.75,156.0,1-4 years,"$90,000",,,,,,,2025-01-07,,2025-06-13T15:24:44Z,90000,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
lawyerbarbie1414,Pending,3.48,,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Pending
ElephantDefeatedZyn,Rejected,,,,,,,,,,,2025-02-22,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
expert-in-bird-law,Pending,2.98,153.0,1-4 years,,2024-11-21,2024-11-22,2024-11-22,2024-12-02,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,,regular,2.0,,,,,False,False,Pending
NutellaWDip,Accepted,3.64,152.0,,"$37,500, Conditional, 3.0 GPA",2024-12-03,2024-12-03,,,,,2025-02-05,Regular Decision,2025-06-13T15:24:46Z,37500,True,3.0 GPA,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
TheWizardandI,Accepted,3.08,156.0,,,2024-12-10,,,2025-01-10,,,2025-01-30,,2025-06-13T15:24:46Z,,False,,False,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
war0914,Pending,3.48,155.0,10+ years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,True,False,False,False,False,False,True,criminal charges,,20.0,,,,,False,False,Pending
SadAbnormalStarfish,Accepted,3.8,154.0,,,,,,,,,2025-04-10,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
AbnormalHocButterfly,Accepted,4.0,157.0,,"$90,000, Conditional",,,,,,,2025-01-15,,2025-06-13T15:24:46Z,90000,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
gavelgangsta33,Pending,3.2,146.0,1-4 years,,2024-12-09,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
glxtchcity,Pending,2.2,152.0,,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
spencer,Rejected,3.05,155.0,,,,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
Saerauh,Accepted,3.63,151.0,,"$37,500",2024-10-23,2024-10-23,2024-10-29,,,,2024-12-02,Regular Decision,2025-06-13T15:24:47Z,37500,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
johnniecochrantwin,Pending,2.54,149.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Pending
ManyOver12,Waitlisted,3.16,150.0,1-4 years,,,,,,,,2024-12-12,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
RightfulRigidTerrier,"WL, Withdrawn",3.5,152.0,1-4 years,,,,,,,,,,2025-06-13T15:25:03Z,,False,,False,,False,,False,False,False,True,False,False,False,,,3.0,,,,,False,False,WL
AllRise,Accepted,3.89,161.0,5-9 years,"$90,000",,,,,,,2025-02-20,Regular Decision,2025-06-13T15:24:47Z,90000,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
PanickyNiceCrane,Waitlisted,3.76,149.0,5-9 years,,2024-10-23,2024-10-24,,,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,7.0,,,,,False,False,Waitlisted
PetiteRegularRobin,Accepted,3.85,158.0,,"$90,000",2024-12-19,2024-12-20,2024-12-20,2024-12-20,,,2025-02-05,Regular Decision,2025-06-13T15:24:47Z,90000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
AbidingHallowedBarracuda,Pending,3.73,150.0,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LSchoolpls,Accepted,3.19,157.0,,"$15,000",,,,,,,2025-03-11,,2025-06-13T15:24:48Z,15000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Kstepper,Accepted,3.99,153.0,,"$45,000",,2025-01-10,,,,,2025-03-04,,2025-06-13T15:24:48Z,45000,False,,True,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
PurpleLeefer,Accepted,3.48,153.0,1-4 years,"$45,000, Conditional",2024-11-14,2024-11-14,2024-11-14,,,,2024-12-10,Regular Decision,2025-06-13T15:24:48Z,45000,True,,True,,False,White,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
