user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Trayn9,Pending,3.81,171.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
ElectricKeese,Accepted,3.95,172.0,1-4 years,,2024-09-29,,,2024-10-03,,,2024-11-15,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
JumbledBizarreBuffalo,Pending,3.99,167.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
NonchalantRichWarthog,Waitlisted,3.63,175.0,1-4 years,,,,,,,2025-04-30,,,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,True,"Fired once (some schools ask abt this, some don't)",,1.0,,,,,False,False,Waitlisted
TerrificFurtiveOyster,"Withdrawn, Withdrawn",4.0,165.0,,,2024-09-30,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,True,False,False,False,,,,,,,,False,False,Withdrawn
ericapebenito,Pending,3.8,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
RedRosie8497,Pending,,173.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
BlackBreadsBoat,"WL, Withdrawn",3.87,180.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
MaybeTooHopeful,Accepted,3.65,173.0,1-4 years,,2024-11-29,,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
LiterallyOatMilk,Rejected,3.38,159.0,,,,,,,,,2025-04-23,,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
