user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
SapphiresLawData,Pending,3.08,157.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Blizmarie,Accepted,3.96,154.0,,"$72,000",2024-11-02,,2024-11-14,,,,2024-11-15,,2025-06-13T15:24:43Z,72000,False,,True,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PointlessFancyDemogorgon,Accepted,3.67,147.0,,,2024-12-02,,,,,,2025-04-07,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
DisastrousClutteredCyclops,Accepted,3.81,151.0,,"$54,000",,,,,,,2024-11-11,,2025-06-13T15:24:44Z,54000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Ladyesquire86,Pending,2.1,156.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ForeverLawLover515,Accepted,3.75,156.0,,,2025-03-15,2025-03-15,2025-03-17,2025-03-19,,,2025-04-02,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
UnknownAberrantGoblin,Accepted,3.88,151.0,1-4 years,"$54,000, Conditional, must maintain 2.0",2024-09-01,2024-09-02,,,,,2024-09-17,Regular Decision,2025-06-13T15:24:46Z,54000,True,must maintain 2.0,True,,False,White,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
queenofthasouth,Accepted,2.96,151.0,1-4 years,,,,,,,,2024-12-10,,2025-06-13T15:24:47Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,,,2.0,,,,,False,False,Accepted
realellewoods,Accepted,3.42,151.0,,"$36,000, Conditional",,,,,,,2025-03-21,,2025-06-13T15:24:49Z,36000,True,,True,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
RogerwithLemon,Pending,,,,,,,,,,,,,2025-06-13T15:24:50Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CoolCatzZubi,Rejected,2.3,151.0,,,2025-02-08,,,,,,2025-03-03,,2025-06-13T15:24:50Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
LCarterEsq,Pending,3.13,146.0,10+ years,,,,,,,,,,2025-06-13T15:24:50Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,10.0,,,,,False,False,Pending
EntertainmentLaw20,Accepted,,,,,,,,,,,2025-02-11,,2025-06-13T15:24:51Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
crazycoolgal,Accepted,3.71,151.0,0 years (KJD),"$54,000, must maintain 2.0",,,,,,,2025-04-03,Regular Decision,2025-06-13T15:24:52Z,54000,False,must maintain 2.0,True,,True,Hispanic/Latino,False,False,False,False,False,False,True,academic probation,regular,0.0,,,,,False,False,Accepted
Believer,Accepted,3.87,167.0,,,,,,,,,2025-02-12,,2025-06-13T15:24:52Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,True,False,Accepted
PoliteSwiftChameleon,Pending,3.48,159.0,,,,,,,,,,,2025-06-13T15:24:53Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
