user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
DC-TX-LA-PA-WI-CO-orBust,"Accepted, Withdrawn",2.99,162.0,10+ years,"$111,840, 15K per year plus OOS wavied, Fee Waiver: Requested",2025-02-17,2025-02-18,,,,,2025-02-19,Regular Decision,2025-06-30T00:15:48Z,111840,False,15K per year plus OOS wavied,True,Requested,False,,False,False,False,True,False,False,False,,regular,12.0,,,,,False,False,Accepted
HBCUGirlll,Pending,3.8,,,,,,,,,,,Priority Track,2025-06-13T15:24:42Z,,False,,False,,False,,False,True,False,False,False,False,False,,priority,,,,,,False,False,Pending
sltmich21,Pending,2.22,163.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,True,,regular,3.0,,,,,False,False,Pending
ChihuahuaMom,Pending,2.8,165.0,10+ years,,2025-01-15,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,expunged larceny and vandalism charges,regular,10.0,,,,,False,False,Pending
RFelixFinch,Rejected,3.95,168.0,10+ years,,2024-12-03,2024-12-04,2024-12-04,,,,2024-12-11,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Multiracial,True,False,False,False,False,False,True,Misdemeanor Fraud,regular,19.0,,,,,False,False,Rejected
ZUKI,Waitlisted,,,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
AudentesFortunaIuvat,Accepted,3.61,162.0,,,,,,,,,2024-12-19,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PhysicsRelevant,Accepted,3.64,157.0,1-4 years,"$96,000",,,2025-02-26,,,,2025-03-13,,2025-06-13T15:24:44Z,96000,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
ResonantFallaciousTiger,Rejected,2.9,153.0,1-4 years,,2025-01-06,,,,,,2025-01-28,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,True,,,3.0,,,,,False,False,Rejected
itsma,Accepted,3.93,157.0,1-4 years,"$66,840, Fee Waiver: Requested",2024-09-19,,,,,,2024-11-04,Regular Decision,2025-06-13T15:24:44Z,66840,False,,True,Requested,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
lawblondiee,Waitlisted,2.66,162.0,0 years (KJD),,,,,2025-03-04,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
QuickestAnteater,Pending,,,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SecondEquableBluebird,Rejected,3.36,152.0,,,2024-12-07,2024-12-09,2024-12-10,2024-12-11,,,2025-02-20,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
MagnificentUnwieldyLlama,Rejected,3.3,150.0,,,,,,,,,2024-12-06,,2025-06-13T15:24:45Z,,False,,False,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
lasportsmen,Waitlisted,3.1,157.0,0 years (KJD),,2024-11-24,2024-11-24,2024-11-25,2024-12-13,,,2024-12-18,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
CashCarti,"accepted, Attending",3.69,158.0,,"$96,840",,,,,,,2025-02-10,Regular Decision,2025-11-07T04:57:43Z,96840,False,,False,,True,Hispanic/Latino,False,False,False,False,True,False,False,,regular,,,,,,False,False,accepted
