user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
marmiteontoast,Pending,,159.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,True,academic suspension freshman year,regular,8.0,,,,,False,False,Pending
GlisteningMaterialUnicorn,Accepted,3.4,154.0,1-4 years,,2024-10-26,,,,,,2024-12-12,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,True,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
legallymars,Pending,3.83,,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
AdaptableFadedWalnut,Accepted,3.54,158.0,,"$140,000",,,,,,,2025-04-08,,2025-06-13T15:24:43Z,140000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
WearyAdjoiningPickle,"WL, Withdrawn",3.06,163.0,10+ years,,2025-01-31,2025-01-31,2025-01-31,2025-02-11,2025-02-20,,2025-03-11,Regular Decision,2025-09-24T15:32:55Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,14.0,,,,,False,False,WL
QuickAnxiousCub,Pending,2.5,165.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
TangyAccidental180,"Accepted, Attending",3.62,152.0,1-4 years,"$109,500",2025-01-25,2025-01-26,,2025-02-13,2025-02-18,,2025-03-04,Regular Decision,2025-06-13T15:24:44Z,109500,False,,False,,True,Black or African American,False,True,False,False,True,False,False,,regular,3.0,,,,,False,False,Accepted
OutgoingObscenePanther,Accepted,2.9,156.0,5-9 years,"$24,000, Conditional",,,,,,,2025-03-26,Regular Decision,2025-06-13T15:24:44Z,24000,True,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,Academic probation,regular,5.0,,,,,False,False,Accepted
MushyClutteredBuffalo,"Accepted, Withdrawn",3.19,162.0,5-9 years,"$75,000, Conditional",2024-11-20,,,,,,2025-01-03,Regular Decision,2025-06-13T15:24:44Z,75000,True,,False,,True,Hispanic/Latino,False,True,False,True,False,False,True,,regular,5.0,,,,,False,False,Accepted
StoneColdChiefMarshall,"WL, Withdrawn",2.83,157.0,10+ years,,2024-12-13,,,,,,,,2025-06-13T15:24:49Z,,False,,False,,True,Multiracial,False,False,False,True,False,False,False,,,15.0,,,,,False,False,WL
SwiftBrainyBarnacle,"WL, Withdrawn",3.5,152.0,1-4 years,,2024-12-31,,,,,,2025-03-11,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
OneBrashBuffalo,Waitlisted,2.37,167.0,,,2025-01-17,2025-01-21,2025-01-22,2025-02-03,,,2025-03-19,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,True,False,False,False,False,True,"One Time Plagiarism, Academic Probation",regular,,,,,,False,False,Waitlisted
TaylorKilks,Pending,3.8,142.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Pending
Vinagoeslegal,Pending,3.9,148.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
Jhollz24,Accepted,3.6,155.0,,"$120,000, Conditional",,,,,,,2025-02-11,Regular Decision,2025-06-13T15:24:45Z,120000,True,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ToNotOrNotToLaw,Pending,2.99,165.0,,,2025-02-04,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,True,False,Pending
