user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
VictoriousWillingBunny,Waitlisted,3.8,153.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
ThugPug,"WL, Withdrawn",2.97,155.0,5-9 years,,2025-03-03,2025-03-04,2025-03-12,2025-03-13,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,,False,True,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
dg02,Accepted,3.65,165.0,1-4 years,"$141,027",2025-03-26,2025-03-26,2025-03-28,2024-04-01,,,2025-04-25,Regular Decision,2025-06-13T15:24:43Z,141027,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
PinkyDolphin,Accepted,3.84,157.0,,,2025-01-09,,,,,,2025-01-28,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
GreyInquisitiveSheep,Accepted,3.64,164.0,,"$174,000, Conditional",2024-10-27,2024-11-13,,,,,2024-11-27,Regular Decision,2025-06-13T15:24:43Z,174000,True,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Ambrrr87,Waitlisted,,,5-9 years,,2025-01-31,,2025-01-03,2025-01-03,,,2025-02-03,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Waitlisted
AboundingHorribleDuck,Pending,3.6,150.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,True,Academically dismissed ,,2.0,,,,,False,False,Pending
GiftedReadyEmu,Accepted,3.82,157.0,,"$141,027",2025-01-15,,,,,,2025-02-03,Regular Decision,2025-06-13T15:24:44Z,141027,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Notwavegodmike,Rejected,3.83,,5-9 years,,2025-02-19,,,,,,2025-03-19,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,8.0,,,,,False,False,Rejected
FuriouslyCurious,Waitlisted,,,,,,,,,,,2025-05-06,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
WoodenProbableInsect,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SafeHallowedJaguar,Pending,3.5,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LowstatVetParalegal69,Accepted,3.1,157.0,1-4 years,"$30,000",2024-11-27,,,,,,2024-12-05,Regular Decision,2025-06-13T15:24:45Z,30000,False,,True,,True,Hispanic/Latino,True,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
GrievingElasticSwordfish,Pending,3.92,148.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Other,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
MatureNimblePikachu,Accepted,2.84,152.0,,,,,,,,,2025-01-29,,2025-06-13T15:24:45Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Tinzero,Rejected,2.1,156.0,1-4 years,,2025-03-03,,,,,,2025-03-19,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Rejected
