user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
RedWing01,Rejected,3.85,170.0,1-4 years,,2024-12-20,2024-12-20,2025-01-10,2025-02-13,,,2025-03-07,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
MiniatureCarefulLettuce,Waitlisted,3.75,176.0,1-4 years,,2024-12-06,,2025-01-08,,,,2025-03-07,,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Waitlisted
AliveDeadYogurt,Waitlisted,3.92,172.0,,,,,,,,,2025-01-22,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
MarvelousNiftyLion,"WL, Withdrawn",3.78,172.0,1-4 years,,2024-11-28,,,,,,2025-03-04,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
ScaredCapriciousSatyr,Rejected,3.89,171.0,1-4 years,,2024-10-26,,2024-10-28,,,,2025-01-22,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
Barbzstayinschoolll,Rejected,3.91,160.0,1-4 years,,2024-12-01,,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
ScientificSteepBobcat,Accepted,4.0,180.0,,"$105,000",,,,,,,2025-01-23,,2025-06-13T15:24:42Z,105000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
gold3agle,Rejected,3.11,164.0,1-4 years,,2024-11-18,2024-11-18,2024-12-05,2025-01-16,,,2025-02-07,,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Rejected
BlackLuckyHornet,Pending,3.48,168.0,,,2024-12-15,2024-12-16,2025-01-09,2025-02-12,2025-03-06,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
poopybaby,"WL, Withdrawn",3.8,175.0,1-4 years,,,,,2025-01-21,2025-02-06,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Other,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
