user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Oceans305,Pending,2.94,138.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
MagnificentSulkyKnight,Accepted,3.48,160.0,0 years (KJD),"$109,000",,,,,,,2025-02-02,,2025-06-13T15:24:42Z,109000,False,,False,,False,White,False,True,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
GreenAmusingKiwi,Accepted,3.88,158.0,0 years (KJD),"$99,000",2024-11-03,,,,,,2024-12-20,Regular Decision,2025-06-13T15:24:43Z,99000,False,,False,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
jav12302,Rejected,3.93,151.0,0 years (KJD),,,,,,,,2025-05-29,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Rejected
legallymars,Pending,3.83,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
WholesaleIllRock,Pending,3.27,148.0,1-4 years,,2025-02-18,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,American Indian/Alaskan Native,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
TheGuyFromSuits12,Waitlisted,3.26,155.0,1-4 years,,2024-10-17,,,,,,2024-12-20,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
Imjustagurl,Pending,3.72,154.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
OrangeLewdBison,Rejected,3.53,152.0,,,,,,,,,2025-01-28,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Rejected
DullTangyMillipede,Pending,3.68,152.0,5-9 years,,2025-02-06,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
