user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Wesquire,Accepted,3.65,163.0,,"$138,000",,,,,,,2025-01-30,,2025-06-13T15:24:42Z,138000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Tomilaw,"WL, Withdrawn",3.18,156.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
ovidshel,Pending,2.6,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
grandmasterpickle,Waitlisted,3.04,158.0,0 years (KJD),,2024-12-21,2024-12-21,2024-12-22,2024-12-22,,,2025-03-13,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
HandsomelySpicyDragonfly,Accepted,3.37,160.0,0 years (KJD),"$93,000",,,,,,,2025-03-14,Regular Decision,2025-06-13T15:24:43Z,93000,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
BennyBoy,Accepted,3.78,161.0,1-4 years,"$165,000",,,,,,,2024-12-20,,2025-06-13T15:24:43Z,165000,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
SilentSillyGoose,Accepted,3.91,160.0,1-4 years,"$156,000",2025-02-06,,,,,,2025-04-03,,2025-06-13T15:24:43Z,156000,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
EnergeticBreezyInfant,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CheechBeach,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Wil-sea-maybe,Accepted,3.09,158.0,1-4 years,"$54,000",2024-12-27,2024-12-27,2024-12-27,2024-12-30,2025-02-20,,2025-04-03,Regular Decision,2025-06-13T15:24:43Z,54000,False,,False,,False,White,False,False,False,False,False,False,True,High School Suspension/Traffic Infraction,regular,3.0,,,,,False,False,Accepted
jgoldberg0910,Accepted,3.72,173.0,,,,,,,,,2025-02-20,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Killmonger12,Waitlisted,3.87,152.0,,,2024-10-10,2024-10-17,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
YellowDawn5,"WL, Withdrawn",4.0,152.0,1-4 years,,2024-12-02,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,True,American Indian/Alaskan Native,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
honeyvanilla,Pending,3.1,161.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,American Indian/Alaskan Native,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
