user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
FriendlyShark,Pending,3.4,163.0,1-4 years,,2024-10-24,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
Gigib,Rejected,2.38,152.0,5-9 years,,2025-03-04,,,,,,2025-06-05,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,True,Academic probation,,5.0,,,,,False,False,Rejected
NumberlessWealthySatyr,Pending,3.76,163.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SteadfastFiveGiraffe,Pending,3.73,169.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Bbongbboongee,Accepted,3.86,169.0,1-4 years,"$210,000, Conditional",,,,,,,2025-02-20,Regular Decision,2025-06-13T15:24:42Z,210000,True,,True,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
yalpaks,Pending,3.1,170.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
HomelyCloudyBird,Accepted,4.06,168.0,1-4 years,"$210,000",,,,,,,2024-12-30,,2025-06-13T15:24:42Z,210000,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
CombativeOneInfant,Pending,3.2,170.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,True,,,7.0,,,,,False,False,Pending
PreMedTurnedLaw,Rejected,3.51,154.0,,,2025-02-10,,,,,,2025-05-27,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
NaiveProbableMinotaur,Waitlisted,,,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
GlisteningMaterialUnicorn,Rejected,3.4,154.0,1-4 years,,2024-12-14,,,,,,2025-02-25,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,True,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
K8t-meets-law,Pending,3.98,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
BigFaceBuddha180,Accepted,3.94,165.0,,,,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
AlluringAquaticAnt,Pending,3.95,,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
BeKind2025,"WL, Withdrawn",4.02,160.0,1-4 years,,2024-11-28,2024-11-29,2024-12-04,2025-03-24,,,2025-05-05,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,True,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
LegallyBrunette716,Waitlisted,3.98,162.0,5-9 years,,2024-10-24,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Waitlisted
ScatteredGuiltlessMinotaur,"WL, Withdrawn",3.34,166.0,5-9 years,,2025-01-20,2025-01-20,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
NonstopMacabreLemming,Pending,3.93,158.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
CombativeFascinatedButterfly,Waitlisted,3.68,157.0,1-4 years,,2024-12-02,2024-12-03,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
FinickyIndustriousCoyote,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
boylifeineu,Pending,3.15,173.0,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Pending
LiterallyOatMilk,Rejected,3.38,159.0,,,2024-11-29,2024-11-29,2024-12-10,,,,2025-03-04,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
Wheresmysupersuit011228,Pending,3.17,,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,5.0,158.0,156.0,4.5,,False,False,Pending
comradenoodle,Pending,3.1,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
wharfrat,Pending,3.11,175.0,,,2024-12-01,2024-12-01,2024-12-10,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
CommonThirstyHammerhead,Rejected,2.99,146.0,,,2025-03-18,2025-03-18,2025-03-19,,,,2025-04-29,,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,False,False,False,True,Academic Probation,,,,,,,False,False,Rejected
