user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Trayn9,Accepted,3.81,171.0,0 years (KJD),"$166,944",,,,,,,2025-01-02,Regular Decision,2025-06-13T15:24:42Z,166944,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
SWise03,Rejected,3.68,145.0,,,2025-01-27,,,,,,2025-03-03,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
MinorVariousPanda,Accepted,3.89,149.0,1-4 years,,,,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
slayalfonsina,Accepted,3.75,164.0,,"$135,000, Good academic standing. I applied 11/29/2024.",2024-11-29,,2024-12-03,,,,2025-01-03,Regular Decision,2025-06-13T15:24:43Z,135000,False,Good academic standing. I applied 11/29/2024.,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
sucka,Accepted,3.12,160.0,,"$105,000",2024-09-04,2024-09-05,,,,,2024-11-19,Regular Decision,2025-06-13T15:24:44Z,105000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Iwanttogotolawschoolsobad,Accepted,3.93,152.0,,,,,,,,,2025-01-28,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
DiguesBabijuan,Accepted,3.83,161.0,,"$165,000",2024-09-23,2024-09-23,,,,,2024-12-04,Regular Decision,2025-06-13T15:24:44Z,165000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
GodlyLushAlligator,Accepted,3.8,153.0,,"$30,000",2024-12-28,,,,,,2025-02-06,,2025-06-13T15:24:44Z,30000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
OneBrashBuffalo,Waitlisted,2.37,167.0,,,2025-01-21,2025-01-21,2025-01-25,,,,2025-02-20,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,True,"One Time Plagiarism, Academic Probation",regular,,,,,,False,False,Waitlisted
CarelessHatefulDormouse,Accepted,4.0,157.0,10+ years,,2024-09-12,2024-09-13,2024-09-13,,,,2025-01-03,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,East Asian,True,True,False,False,False,False,False,,regular,11.0,,,,,False,False,Accepted
IntelligentMatureChimpanzee,Accepted,3.3,155.0,1-4 years,"$75,000",2024-12-13,,,,,,2025-01-23,,2025-06-13T15:24:45Z,75000,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
Livie123,Accepted,3.8,164.0,,"$135,000",2024-12-04,2024-12-05,2024-12-05,,,,2025-01-23,,2025-06-13T15:24:45Z,135000,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
