user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
max7049,Pending,3.7,154.0,10+ years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,True,False,False,False,False,False,False,,,11.0,,,,,False,False,Pending
HarkUponTheGale,Accepted,3.96,180.0,0 years (KJD),"$128,700, Dean's Scholarship, full tuition. Offer came with decision.",2025-02-20,2025-02-20,2025-02-21,2025-02-21,,,2025-02-26,Regular Decision,2025-06-13T15:24:43Z,128700,False,"Dean's Scholarship, full tuition. Offer came with decision.",True,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
Iwanttogotolawschoolsobad,Accepted,3.93,152.0,,"$36,000",,,,,,,2025-01-28,,2025-06-13T15:24:44Z,36000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Peruvianprince,Accepted,3.84,152.0,1-4 years,"$24,000",2025-02-06,2025-02-10,2025-02-19,,,,2025-02-20,,2025-06-13T15:24:44Z,24000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
CooingDeafeningHydra,Waitlisted,2.08,158.0,1-4 years,,2024-11-25,2024-11-26,2024-11-26,2024-11-26,,,2024-12-05,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,True,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
NagiruDeadpanBarnacle,Waitlisted,3.2,155.0,,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
DeadNeedlessGarfield,Accepted,3.67,160.0,,"$93,000",,,,,,,2024-11-12,Regular Decision,2025-06-13T15:24:46Z,93000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
SeattleRSplitter,Waitlisted,3.7,150.0,10+ years,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,18.0,,,,,False,False,Waitlisted
CADaniels,Rejected,2.5,147.0,10+ years,,,,,,,,2025-02-21,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,True,Black or African American,True,False,False,False,False,False,True,UNDERGRAD GRADES,regular,25.0,,,,,False,False,Rejected
CleverCactusCrew,Accepted,3.93,155.0,,,,,,,,,2025-02-13,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
