user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
cryingindaclerb,Pending,3.91,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
AbstractedColorfulTerrier,Pending,3.2,156.0,10+ years,,2025-02-11,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,35.0,,,,,False,False,Pending
VacuousFunctionalPlatypus,"WL, Withdrawn",3.96,155.0,0 years (KJD),,2024-12-17,,,,,,2025-02-07,Regular Decision,2025-06-13T15:24:51Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
Demagorgon,Rejected,3.11,151.0,,,2024-12-12,,,,,,2025-02-26,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
SuperManiacalSparrow,Pending,3.87,148.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
AbnormalHocButterfly,Accepted,4.0,157.0,,"$58,000",,,,,,,2025-01-31,,2025-06-13T15:24:46Z,58000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
professional-neck,Rejected,3.58,151.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,True,,regular,,,,,,False,False,Rejected
NauseatingCertainCucumber,Accepted,3.61,163.0,,,,,,,,,2025-03-20,,2025-06-13T15:24:47Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
VenomousBouncyOyster,Pending,3.44,161.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
UnknownLoutishPebble,Pending,2.9,156.0,,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
KnicksTape106,Pending,3.78,158.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:49Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
PreviousPeacefulSnail,Pending,,,,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ilovethe1975,Accepted,,,,"$120,000",,,,,,,2025-01-14,,2025-06-13T15:24:50Z,120000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TawdryHalfBobcat,Accepted,3.7,163.0,,,,,,,,,,,2025-06-13T15:24:50Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
AmusingRightDragon,Pending,3.4,143.0,,,,,,,,,,,2025-06-13T15:24:50Z,,,,False,,True,Hispanic/Latino,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
DistinctChemicalMongrel,Rejected,3.0,155.0,1-4 years,,,,,,,,2025-01-31,Regular Decision,2025-06-13T15:24:52Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
NoiselessNutritiousBarnacle,Accepted,3.0,164.0,10+ years,,2024-11-29,,,,,,2025-02-06,,2025-06-13T15:24:52Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,10.0,,,,,False,False,Accepted
Perseverance25,Pending,2.96,157.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:53Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
SwerveWithIrv,Pending,3.17,164.0,,,2025-03-03,,,,,,,,2025-06-13T15:24:54Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
EnormousAbundantLemon,Rejected,3.78,146.0,1-4 years,,2025-03-18,,,,,,2025-04-25,Regular Decision,2025-06-13T15:24:54Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
FilipinaAtUrLocalJolibee,Rejected,3.47,152.0,1-4 years,,2024-10-15,2024-10-17,2024-10-18,2024-11-25,,,2025-01-03,,2025-06-13T15:24:57Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
CooingAbortiveGoblin,Pending,,,,,,,,,,,,,2025-06-13T15:24:59Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LamentablePossibleWolverine,Rejected,,155.0,,,,,,,,,2025-01-31,Regular Decision,2025-06-13T15:25:06Z,,False,,False,YAT9954,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
Jerseybetteracceptme,Pending,3.8,153.0,,,,,,,,,,Regular Decision,2025-06-13T15:25:08Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
InvincibleTiresomeBlackbird,Pending,,156.0,,,2024-11-30,,,,,,,Regular Decision,2025-06-13T15:25:11Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
SkinnyWantingGriffin,Waitlisted,3.6,155.0,,,2024-12-18,,,,,,2025-02-07,,2025-06-13T15:24:52Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
WorkableGuardedBadger,"Accepted, Withdrawn",3.99,171.0,1-4 years,"$87,000, full tuition",2024-11-08,2024-11-08,,,,,2024-12-13,Regular Decision,2025-06-13T15:24:43Z,87000,False,full tuition,True,,True,Hispanic/Latino,False,True,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
FirstZanyPuma,Waitlisted,3.58,156.0,,,2024-09-25,,,,,,,Regular Decision,2025-06-13T15:27:54Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
NTB1,wl_rejected,3.66,146.0,,,2025-02-01,2025-02-04,2025-02-04,,,,2025-05-09,early_decision,2025-06-25T01:41:40Z,,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,early_decision,,,,,,False,False,wl_rejected
Jhollz24,"WL, Withdrawn",3.6,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
LegalWeapon02,"Withdrawn, Withdrawn",4.0,157.0,,,2025-03-24,,,,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,True,Black or African American,False,False,False,True,False,False,False,,regular,,,,,,False,False,Withdrawn
ChullaVida,"WL, Accepted, Attending",3.49,157.0,1-4 years,"$12,000",2024-12-30,2025-01-08,,,,,2025-03-07,Regular Decision,2025-06-13T15:24:46Z,12000,False,,True,,True,Hispanic/Latino,False,False,False,False,True,False,False,,regular,3.0,,,,,False,False,"WL, Accepted"
popcornchikcen,"Accepted, Withdrawn",3.78,173.0,,"$87,000, full, in state",2024-10-08,2024-10-08,2024-10-11,2024-10-18,,,2024-12-14,Regular Decision,2025-06-13T15:24:49Z,87000,False,"full, in state",False,,False,,False,True,False,True,False,False,False,,regular,,,,,,False,False,Accepted
OppositeSweetOrange,"Accepted, Withdrawn",3.92,175.0,5-9 years,"$75,000",2024-12-25,,2024-12-29,,,,2025-02-06,Regular Decision,2025-06-13T15:25:18Z,75000,False,,False,,False,White,False,True,False,True,False,False,False,,regular,5.0,,,,,False,False,Accepted
