user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
RebelOppositeKitten,Waitlisted,3.04,153.0,,,2025-02-12,,,,,,2025-03-19,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
LeMythe2000,Accepted,3.3,149.0,1-4 years,"$72,000",,,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:42Z,72000,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
luludelulu,Accepted,3.8,162.0,,"$135,000",2024-12-01,2024-12-02,,,,,2024-12-13,,2025-06-13T15:24:42Z,135000,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
PaleDrabBlackbird,Accepted,3.72,152.0,,"$48,000",2024-12-02,,,,,,2025-02-26,Regular Decision,2025-06-13T15:24:43Z,48000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
NiftyMistyLiger,Accepted,3.96,160.0,,"$123,000, Dean's Scholarship",2024-12-23,,,,,,2025-01-14,Regular Decision,2025-06-13T15:24:43Z,123000,False,Dean's Scholarship,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
CinnamonWinamon,Accepted,3.64,157.0,,,2024-10-09,2024-12-06,,,,,2024-12-05,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
DiscreetSuperficialBrain,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
AliveCreepyCapybara,Accepted,3.35,157.0,,"$60,000",,,,,,,2025-02-03,,2025-06-13T15:24:44Z,60000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SleepyOutrageousRoadrunner,Accepted,3.49,155.0,1-4 years,"$63,000, Conditional",2024-11-25,2024-11-26,2024-11-26,,,,2025-01-16,Regular Decision,2025-06-13T15:24:44Z,63000,True,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
Reishimushroom,Accepted,,,,"$39,000",,,,,,,2025-03-19,,2025-06-13T15:24:44Z,39000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SmilingLuckyMonster,"WL, Withdrawn",3.3,154.0,,,2025-02-06,,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
FabulousOddBonobo,Pending,,,5-9 years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
ObservantSquareClown,Accepted,3.11,160.0,,"$150,000",2025-01-02,2025-01-02,,,,,2025-01-17,Regular Decision,2025-06-13T15:24:46Z,150000,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
HaplessBreakableBulldog,Pending,3.58,146.0,1-4 years,,2024-10-21,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
PossessiveAbidingHatchling,Accepted,3.3,158.0,,"$78,000, 49.5%",2025-03-08,,2025-03-24,,,,2025-04-03,Regular Decision,2025-06-13T15:24:47Z,78000,False,49.5%,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
NonchalantImportedHuman,Accepted,3.8,170.0,1-4 years,,,,,,,,2025-02-01,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
StupidParallelTerrier,Rejected,2.4,157.0,,,,,,,,,2025-03-27,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
HeartbreakingMachoWeasel,Accepted,3.71,168.0,,"$150,000",,,,,,,2025-01-11,,2025-06-13T15:24:47Z,150000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SkillfulGentleSeal,Pending,3.25,152.0,1-4 years,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
SoreEightVole,Pending,3.98,162.0,,,2025-01-31,2025-02-01,2025-02-01,,,,,,2025-06-13T15:24:48Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LegallyFrond,Accepted,2.59,170.0,1-4 years,"$81,000",,,,,,,2025-03-19,,2025-06-13T15:24:48Z,81000,False,,False,,False,White,False,False,False,False,False,False,True,"Academic Probation, misdemeanor ticket  ",,3.0,,,,,False,False,Accepted
BrainyAmbitiousCuscus,Accepted,4.0,166.0,,,2024-10-23,,,,,,2024-11-25,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
PanickyFanaticalBarnacle,Accepted,3.7,156.0,1-4 years,"$75,000",2024-11-13,,,,,,2024-12-13,Regular Decision,2025-06-13T15:24:48Z,75000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
blanchedevereaux,Pending,,,5-9 years,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,False,,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
VivaciousInquisitiveSalamander,Accepted,3.89,172.0,5-9 years,,2024-11-03,,,,,,2024-11-15,,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
TediousAdorableFerret,"Hold, Hold",2.8,155.0,,,,,,,,,,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,True,False,False,False,False,,,,,,,,False,False,Hold
HockeyLawStudent1437,Waitlisted,3.2,150.0,1-4 years,,,,,,,,2025-03-19,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Waitlisted
CruelRebelWretch,Accepted,4.17,163.0,,"$135,000",,,,,,,2025-02-14,Regular Decision,2025-06-13T15:24:49Z,135000,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
UptightRightLlama,Accepted,3.0,151.0,,,,,,,,,2025-03-26,,2025-06-13T15:24:49Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
VacuousFunctionalPlatypus,Accepted,3.96,155.0,0 years (KJD),"$81,000",2024-11-30,,,,,,2024-12-20,Regular Decision,2025-06-13T15:24:49Z,81000,False,,False,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
stablemealy,Accepted,3.39,157.0,,"$60,000",2025-01-01,2025-01-02,2025-01-02,2025-01-07,,,2025-02-05,Regular Decision,2025-06-13T15:24:49Z,60000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
flossybaby,Accepted,3.4,159.0,1-4 years,"$87,000",2025-02-28,,,,,,2025-03-17,Regular Decision,2025-06-13T15:24:50Z,87000,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
OldTimer94,Accepted,3.69,158.0,5-9 years,"$84,000, Conditional",,,,,,,2025-03-12,,2025-06-13T15:24:50Z,84000,True,,False,,False,,False,False,False,False,False,False,False,,,6.0,,,,,False,False,Accepted
ShakyHarmoniousEmu,Rejected,3.5,150.0,10+ years,,,,,,,,2025-02-04,,2025-06-13T15:24:50Z,,False,,False,,False,White,True,True,False,False,False,False,True,Felony Drug Possession Probation,,20.0,,,,,False,False,Rejected
BluejayGamer,Accepted,3.93,165.0,,"$144,120, 1843 Scholarship (Full Tuition)",2024-11-01,,,,,,2024-11-25,Regular Decision,2025-06-13T15:24:50Z,144120,False,1843 Scholarship (Full Tuition),True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
turtle207,Accepted,2.7,167.0,1-4 years,"$120,000, Deans Scholar",2024-11-01,,,,,,2024-12-13,,2025-06-13T15:24:50Z,120000,False,Deans Scholar,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
Miners2020,Accepted,4.0,157.0,,"$87,000, Conditional",2024-09-13,2024-09-16,2024-09-16,2024-10-15,,,2024-11-15,Regular Decision,2025-06-13T15:24:50Z,87000,True,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
HotPlausiblePadawon,Accepted,3.89,154.0,,"$63,000",,,,,,,2025-02-05,Regular Decision,2025-06-13T15:24:51Z,63000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
CarelessStickyBear,Pending,4.0,165.0,,,,,,,,,,,2025-06-13T15:24:51Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
