user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
OrganicKnottyRoc,Accepted,3.0,169.0,5-9 years,,,,,,,,2025-03-25,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
LovingLawLoveGirly,Accepted,3.98,154.0,1-4 years,"$80,000",2024-09-07,2024-09-09,2024-09-07,2024-10-09,,,2024-10-29,Regular Decision,2025-06-13T15:24:44Z,80000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
SpottedHighBonobo,Accepted,3.87,,,,2025-01-17,2025-01-30,,,,,2025-01-30,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,157.0,150.0,3.5,,False,False,Accepted
VengefulAbsentPirate,Accepted,3.5,153.0,,"$54,000",2025-01-22,2025-01-22,2025-01-22,,,,2025-01-31,,2025-06-13T15:24:46Z,54000,False,,False,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
MessyFumblingHusky,Accepted,3.99,154.0,,"$90,000, Conditional",,,,,,,2024-12-06,Regular Decision,2025-06-13T15:24:46Z,90000,True,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
BriefHaltingMammoth,Accepted,4.0,148.0,10+ years,,2025-03-30,,,,,,2025-04-16,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,10.0,152.0,135.0,3,,False,False,Accepted
queenofthasouth,Accepted,2.96,151.0,1-4 years,,,,,,,,2024-12-10,,2025-06-13T15:24:47Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,,,2.0,,,,,False,False,Accepted
AcademicOwl,Accepted,3.88,158.0,,"$114,495",2024-09-11,,2024-09-13,2024-10-09,,,2024-10-28,Regular Decision,2025-06-13T15:24:50Z,114495,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
OneCloud,Rejected,3.2,149.0,,,,,,,,,2025-03-12,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
daveswrld999,Rejected,3.04,144.0,5-9 years,,,,,,,,2025-01-27,,2025-06-13T15:24:49Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Rejected
MuffinTopGolf,Rejected,3.0,149.0,,,2025-01-14,2025-01-15,,,,,2025-01-29,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,True,Black or African American,True,True,False,False,False,False,True,,regular,,,,,,False,False,Rejected
OppositeTabooPlatypus,Accepted,3.62,154.0,,"$90,000",,,,,,,2024-12-18,,2025-06-13T15:24:51Z,90000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
EqualPluckyOctopus,Rejected,3.4,146.0,,,2025-03-20,2025-03-24,2025-03-25,,,,2025-04-02,Regular Decision,2025-06-13T15:24:54Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
SadboyGerald,Rejected,2.3,164.0,,,2025-01-21,,,,,,2025-01-29,,2025-06-13T15:24:54Z,,False,,True,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
ThoughtlessTacitBadger,Accepted,3.64,158.0,,"$71,370",2024-11-12,2024-11-12,2024-11-13,2024-11-14,2024-11-21,,2024-11-21,Regular Decision,2025-06-13T15:24:55Z,71370,False,,False,,False,White,True,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Yaspor,Accepted,3.47,150.0,,,,,,,,,2025-02-13,,2025-06-13T15:24:55Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
JasonH513,Accepted,3.89,158.0,,"$117,999",,,,,,,2024-12-12,,2025-06-13T15:24:57Z,117999,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PlacidPlausibleWalrus,Accepted,3.86,156.0,0 years (KJD),,,,,,,,2025-03-28,,2025-06-13T15:24:57Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
legALLY11,Rejected,3.59,144.0,,,,,,,,,2024-12-19,,2025-06-13T15:24:58Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
AquaticStaleBeagle,Accepted,2.7,154.0,5-9 years,"$30,000",2024-10-11,2024-10-14,,2024-10-14,,,2024-10-30,Regular Decision,2025-06-13T15:24:59Z,30000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
Broken-Toaster,Accepted,3.5,159.0,1-4 years,"$60,000, Conditional, None",2025-01-13,2025-01-13,,,,,2025-01-22,Regular Decision,2025-06-13T15:25:00Z,60000,True,None,False,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
JXDENVFX,Accepted,3.01,154.0,,"$75,000",,,,,,,2024-11-05,,2025-06-13T15:25:00Z,75000,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
MurkyOldCheetah,Accepted,3.76,155.0,,"$71,370",,,,,,,2024-10-29,,2025-06-13T15:25:08Z,71370,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
FeignedTiresomeGrasshopper,Rejected,2.2,156.0,,,,,,,,,2025-06-09,,2025-06-13T15:25:13Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
taytay128,Rejected,3.24,142.0,,,,,,,,,2025-05-21,,2025-06-13T15:25:17Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
FaithfulEconomicNibbler,Accepted,3.74,178.0,5-9 years,,2024-12-02,,,,,,2024-12-09,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,6.0,169.0,168.0,4.5,,False,False,Accepted
