user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
MrBiology,Pending,3.1,156.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
LawDawg831,Waitlisted,2.9,155.0,,,,,,,,,2025-01-10,Early Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,early,,,,,,False,False,Waitlisted
NaiveProbableMinotaur,Accepted,,,,,,,,,,,2025-01-31,,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
arodr051,Accepted,3.34,161.0,5-9 years,"$105,000, Conditional",,,,,,,2024-12-17,,2025-06-13T15:24:42Z,105000,True,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,6.0,,,,,False,False,Accepted
VictoriousWillingBunny,Rejected,3.8,153.0,,,,,,,,,2025-01-08,Early Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,early,,,,,,False,False,Rejected
FriendlyShark,Accepted,3.4,163.0,1-4 years,"$135,000, Conditional",2024-10-25,,,,,,2024-12-13,Priority Track,2025-06-13T15:24:42Z,135000,True,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,priority,2.0,,,,,False,False,Accepted
Basalt,Pending,3.3,159.0,10+ years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,12.0,,,,,False,False,Pending
OiOiOiOiOi,Accepted,3.9,155.0,1-4 years,"$45,000, Conditional",2025-01-03,,,,,,2025-01-31,Regular Decision,2025-06-13T15:24:42Z,45000,True,,True,,True,Other,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
FePanther,Accepted,3.63,171.0,,"$150,000",,,,,,,2025-03-07,,2025-06-13T15:24:43Z,150000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
KnowledgeableReconditeLeek,Pending,3.99,173.0,,,2024-10-01,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
FamiliarPuffyFowl,Waitlisted,3.08,158.0,1-4 years,,2025-01-31,,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Other,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
FastRainyChameleon,Accepted,3.13,159.0,1-4 years,"$105,000",,,,,,,2025-01-27,,2025-06-13T15:24:43Z,105000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
fuzzystwberriz,Waitlisted,2.39,162.0,5-9 years,,2024-11-27,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Waitlisted
Wheresmysupersuit011228,Pending,3.17,,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,5.0,158.0,156.0,4.5,,False,False,Pending
IcyEarthyBulldog,Waitlisted,3.54,151.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
GreyInquisitiveSheep,Accepted,3.64,164.0,,"$45,000, 45000",2024-11-04,2024-11-11,,,,,2025-01-07,Regular Decision,2025-06-13T15:24:43Z,45000,False,45000,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
PinkyDolphin,Accepted,3.84,157.0,,,,,,,,,2025-03-10,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TenseOrganicGolem,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
sad-illusion701,Accepted,2.88,164.0,1-4 years,"$45,000",2024-10-07,,,,,,2024-12-13,,2025-06-13T15:24:43Z,45000,False,,True,,False,,False,True,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
sniper,Accepted,3.83,165.0,,"$134,930, Conditional",2024-12-02,2024-12-03,,,,,2024-12-13,Regular Decision,2025-06-13T15:24:43Z,134930,True,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
catladyinlawschool,Accepted,4.01,154.0,,,2024-11-03,,,,,,2025-02-15,Priority Track,2025-06-13T15:24:43Z,,False,,True,,False,East Asian,False,True,False,False,False,False,False,,priority,,,,,,False,False,Accepted
GiftedReadyEmu,Accepted,3.82,157.0,,"$45,000",2025-01-20,,,,,,2025-02-20,Regular Decision,2025-06-13T15:24:43Z,45000,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
gullibleprune,Accepted,3.26,157.0,5-9 years,,,,,,,,2025-02-28,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,9.0,,,,,False,False,Accepted
Greenwave17,Pending,3.23,159.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
sweettealover,"WL, Withdrawn",3.8,156.0,,,,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,True,Black or African American,False,False,False,True,False,False,False,,,,,,,,False,False,WL
ThugPug,Rejected,2.97,155.0,5-9 years,,2025-02-18,2025-02-24,2025-03-03,2025-03-13,,,2025-04-25,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
FuriouslyCurious,Waitlisted,,,,,,,,,,,2025-05-11,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
PFIRLPA,"WL, Withdrawn",3.91,173.0,10+ years,,2024-12-31,,,,,,2025-04-02,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,True,False,False,True,"curfew, underage drinking, disorderly conduct",,10.0,,,,,False,False,WL
ZUKI,Rejected,,,,,,,,,,,2025-01-29,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
jached,Pending,3.76,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Fridge,Accepted,3.6,167.0,,"$135,000, Conditional",2024-12-13,2024-12-13,2024-12-13,2024-12-13,,,2025-01-29,Regular Decision,2025-06-13T15:24:44Z,135000,True,,False,,False,East Asian,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
WoodenProbableInsect,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
MichealRoss,Accepted,3.78,166.0,1-4 years,,,,,,,,2025-01-29,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
WoodenAdorableLettuce,Waitlisted,3.97,155.0,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
SafeHallowedJaguar,Pending,3.5,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
OneBrashBuffalo,Rejected,2.37,167.0,,,2025-01-22,2025-01-22,2025-01-22,,,,2025-03-21,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,True,"One Time Plagiarism, Academic Probation",regular,,,,,,False,False,Rejected
sillygirl01,Accepted,3.28,156.0,0 years (KJD),,2025-01-30,2025-01-30,2025-01-30,,,,2025-02-10,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
