user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
cbury24,Pending,3.5,150.0,,,2025-01-02,,,,,,,,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
max7049,Pending,3.7,154.0,10+ years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,True,False,False,False,False,False,False,,,11.0,,,,,False,False,Pending
AliveCreepyCapybara,Accepted,3.35,157.0,,"$30,000",,,,,,,2025-01-27,,2025-06-13T15:24:42Z,30000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
WizardOrbPonderer,Pending,4.0,173.0,,,2024-12-01,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PremiumPeriodicCapybara,Waitlisted,2.67,159.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,True,False,False,False,False,False,True,,regular,4.0,,,,,False,False,Waitlisted
OvalElderlyKrampus,Pending,2.7,156.0,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
HonestlyIveGivenUp,Accepted,3.3,160.0,,"$90,000, Conditional, no",,,,,,,2025-03-21,,2025-06-13T15:24:43Z,90000,True,no,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TrickyTediousStingray,Pending,3.83,170.0,10+ years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,10.0,,,,,False,False,Pending
LeMythe2000,"WL, Withdrawn",3.3,149.0,1-4 years,,,,,,,,2025-03-12,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Black or African American,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
swiftredbull,Accepted,3.3,161.0,1-4 years,"$75,000, Conditional, scholarship only stays if i am in top 75% of the class for the last 2 years",2024-11-04,2024-11-05,2024-11-05,2024-11-07,,,2025-01-30,Regular Decision,2025-06-13T15:24:43Z,75000,True,scholarship only stays if i am in top 75% of the class for the last 2 years,False,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
Greenwave17,Pending,3.23,159.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
JoyousStatuesqueOstrich,Pending,3.2,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
scuffy17,Accepted,3.63,163.0,,"$159,000, Conditional, renews after 1L if im in the top 50% of my class",2025-02-06,2025-02-06,2025-02-06,2025-02-10,2025-02-25,,2025-02-27,Regular Decision,2025-06-13T15:24:43Z,159000,True,renews after 1L if im in the top 50% of my class,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
legallyblondi3,Pending,3.3,152.0,1-4 years,,2025-02-02,2025-02-03,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
0LFirstTimeApp,Accepted,3.56,160.0,0 years (KJD),"$120,000, Conditional",2025-02-01,,,2025-02-04,,,2025-04-16,Regular Decision,2025-06-13T15:24:43Z,120000,True,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
MysteriousLowGecko,Accepted,3.7,150.0,,"$30,000, Conditional",,,,,,,2025-01-24,Regular Decision,2025-06-13T15:24:44Z,30000,True,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
QuirkySourSwallow,Rejected,2.59,154.0,,,,,,,,,2025-02-21,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
StrangeRegularJackal,Accepted,3.7,151.0,1-4 years,"$30,000, Conditional",2025-03-02,2025-04-16,,2025-03-12,,,2025-04-16,,2025-06-13T15:24:44Z,30000,True,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
breenajeanjellybean,Pending,3.22,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
BigGodlyMagpie,Rejected,2.75,161.0,,,,,,,,,2025-04-08,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
pitiful-pain-9,Rejected,2.6,154.0,5-9 years,,,,,,,,2025-05-17,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Other,False,False,False,False,False,False,True,,regular,8.0,,,,,False,False,Rejected
Reishimushroom,Rejected,,,,,,,,,,,2025-04-30,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
didokonthelsat,Accepted,3.3,159.0,,"$75,000, Conditional",,,,,,,2025-03-29,,2025-06-13T15:24:44Z,75000,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Kittylawyer18,"WL, Withdrawn",3.76,150.0,1-4 years,,2024-09-02,,2024-09-05,2024-10-04,,,2025-01-03,Regular Decision,2025-06-13T15:24:51Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
doglover12,Pending,3.0,163.0,,,2024-12-14,,,,,,,,2025-06-13T15:24:45Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ShinyLargeCrocodile,Waitlisted,2.75,158.0,5-9 years,,2024-10-23,,,,,,2025-01-03,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Waitlisted
timbersarmylaw,"WL, Withdrawn",2.8,169.0,,,,,,,,,,,2025-06-13T15:24:52Z,,False,,False,,True,Other,False,False,False,True,False,False,False,,,,,,,,False,False,WL
RetiredCPO,Pending,3.75,148.0,,,,,,,,,,,2025-06-13T15:24:45Z,,False,,True,,False,White,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
SleepyCharmingRock,Pending,3.73,148.0,,,2024-10-28,2024-10-30,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Multiracial,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
DynamicLeanSkunk,Accepted,3.32,158.0,,"$105,000, Conditional",,,,,,,2024-12-19,Regular Decision,2025-06-13T15:24:45Z,105000,True,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
SuperOpenBluebird,"WL, Withdrawn",2.91,154.0,0 years (KJD),,2024-12-11,2024-12-13,2024-12-13,,,,2025-02-13,Regular Decision,2025-06-13T15:24:53Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
RightfulRuthlessGecko,Pending,3.6,168.0,1-4 years,,2025-03-01,2025-03-02,,2025-03-19,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
RangerLaw21,Accepted,3.91,164.0,1-4 years,"$176,670, Conditional",2024-12-07,,,,,,2025-02-21,Regular Decision,2025-06-13T15:24:46Z,176670,True,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
MercifulEmptyMilk,Pending,3.5,152.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
