user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
freeloading,Accepted,3.7,145.0,5-9 years,,2024-12-07,,,,,,2024-12-11,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Accepted
NiftyMistyLiger,Accepted,3.96,160.0,,"$50,871, Full Tuition",2024-12-19,,,,,,2024-12-20,Regular Decision,2025-06-13T15:24:43Z,50871,False,Full Tuition,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
hazeleyedgirl,Accepted,3.91,154.0,,"$51,000",2025-01-03,2025-01-07,2025-01-07,,,,2025-01-29,,2025-06-13T15:24:45Z,51000,False,,True,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
HorribleRottenCatfish,Rejected,2.7,160.0,10+ years,,2024-11-29,,,,,,2024-12-10,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,True,Felony drug charge from 2017,regular,10.0,,,,,False,False,Rejected
VariousCarelessBeetle,Accepted,4.06,162.0,,,,,,,,,2024-10-30,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
KindheartedSuccessfulChinchilla,Accepted,3.21,148.0,1-4 years,"$22,500",,,,,,,2025-01-09,,2025-06-13T15:24:48Z,22500,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
LegallyFrond,Accepted,2.59,170.0,1-4 years,,,,,,,,2025-02-26,,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,True,"Academic Probation, misdemeanor ticket  ",,3.0,,,,,False,False,Accepted
CruelRebelWretch,Accepted,4.17,163.0,,"$51,000",,,,,,,2024-12-11,Regular Decision,2025-06-13T15:24:49Z,51000,False,,False,,True,Multiracial,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
HolisticRemarkablePug,Accepted,2.67,160.0,1-4 years,"$75,000",2024-10-11,2024-11-01,,,,,2024-11-16,Regular Decision,2025-06-13T15:24:49Z,75000,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
stablemealy,Accepted,3.39,157.0,,"$50,871",2025-01-01,,,,,,2025-02-07,Regular Decision,2025-06-13T15:24:50Z,50871,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
LPaige,Accepted,3.94,150.0,,,2025-02-05,2025-02-05,2025-02-06,,,,2025-02-06,,2025-06-13T15:24:50Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
DueProcessMatters,Pending,3.71,154.0,,,,,,,,,,,2025-06-13T15:24:50Z,,False,,True,,True,Hispanic/Latino,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
AlcoholicEquableFerret,Pending,2.8,155.0,,,,,,,,,,,2025-06-13T15:24:52Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
WorriedMeanChicken,Accepted,3.76,151.0,,"$35,000, Conditional",,,,,,,2024-11-12,,2025-06-13T15:24:53Z,35000,True,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Xxx,"Accepted, Attending",3.87,150.0,,,2025-02-05,,,2025-02-13,,,2025-02-13,Regular Decision,2025-06-13T15:24:53Z,,False,,False,,False,,False,False,False,False,True,False,False,,regular,,,,,,False,False,Accepted
LovelyLlama,Accepted,3.6,155.0,,"$64,667",,,,,,,2024-11-07,Regular Decision,2025-06-13T15:24:58Z,64667,False,,True,,True,Other,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
idkaboutthis,Pending,,,,,,,,,,,,,2025-06-13T15:25:02Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DarioDarko,Accepted,2.7,160.0,1-4 years,,,,,,,,2025-05-05,,2025-06-13T15:25:02Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
AboundingPhobicBird,Accepted,2.78,139.0,,,,,,,,,2024-11-22,Regular Decision,2025-06-13T15:25:04Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
damnitsroughouthere,Accepted,3.67,152.0,,,2025-05-01,,,,,,2025-05-05,Regular Decision,2025-06-13T15:25:04Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,True,False,Accepted
Xwartu,"Accepted, Withdrawn",2.83,161.0,1-4 years,$0,,,,,,,2025-06-01,Regular Decision,2025-09-13T23:03:18Z,0,False,,False,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
Legally08,rejected,2.89,145.0,,,,,,,,,,Regular Decision,2025-07-22T21:54:25Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,rejected
Coopokay,Accepted,2.45,153.0,,,,,,,,,2025-04-09,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,True,"DUi, Finance, & withdrawal from school",,,,,,,False,False,Accepted
TruthfulClosedOrange,Accepted,2.78,153.0,,,,,,,,,2025-05-07,,2025-06-13T15:25:10Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ZealousidealPear129,Waitlisted,2.9,148.0,,,,,,,,,2025-04-30,Regular Decision,2025-06-13T15:25:07Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
NostalgicPhysicalJellyfish,"Accepted, Withdrawn",3.75,159.0,5-9 years,"$51,000",2024-09-09,,,,,,2024-10-18,Regular Decision,2025-06-13T15:24:43Z,51000,False,,False,,False,White,True,False,False,True,False,False,False,,regular,5.0,,,,,False,False,Accepted
QuixoticFreezingKitten,"Accepted, Withdrawn",3.47,163.0,1-4 years,"$50,871",,,,,,,2025-01-03,Regular Decision,2025-06-13T15:24:44Z,50871,False,,False,,False,White,False,True,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
PeachyDayz,"Accepted, Withdrawn",2.67,149.0,10+ years,"$24,000, Conditional",2024-12-03,2024-12-03,2025-01-14,2025-01-14,,,2025-01-17,Regular Decision,2025-06-13T15:24:46Z,24000,True,,False,,False,White,False,True,False,True,False,False,False,,regular,11.0,,,,,False,False,Accepted
Ntalley2,"Accepted, Withdrawn",3.2,168.0,0 years (KJD),"$64,665",2024-12-09,2024-12-09,2024-12-09,2024-12-16,,,2025-01-21,Regular Decision,2025-06-13T15:24:54Z,64665,False,,True,,False,White,True,True,False,True,False,False,False,,regular,0.0,,,,,False,False,Accepted
LegalUnicornKitten,"Accepted, Attending",2.86,147.0,,,,,,,,,2025-03-10,,2025-06-13T15:25:02Z,,False,,False,,True,Black or African American,False,False,False,False,True,False,True,,,,,,,,False,False,Accepted
