user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
AllegedAcidFrog,Waitlisted,3.7,165.0,,,2024-11-12,2024-11-12,2024-11-13,,,,2025-03-06,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Native Hawaiian or other Pacific Islander,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
legalSeparateSatyr,Rejected,3.11,162.0,,,2024-11-14,,,,,,2025-03-06,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
DependentNoxiousOgre,Pending,3.0,133.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
BigFinickyBug,Waitlisted,3.82,165.0,1-4 years,,2024-11-10,,,,,,2025-01-13,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Waitlisted
YellowFumblingBuzzard,Accepted,3.8,166.0,,"$120,000",2024-11-15,,,2025-01-03,,,2025-02-11,Regular Decision,2025-06-13T15:24:42Z,120000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Driftwoodecho,Pending,4.0,162.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
QueenSwissMiss,Pending,3.0,164.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
NoxiousAnnoyedSloth,"WL, Withdrawn",3.7,164.0,,,2024-11-16,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Multiracial,False,False,False,True,False,False,False,,,,,,,,False,False,WL
kmoneyswag,"WL, Withdrawn",3.95,165.0,,,2024-12-30,2024-12-30,2025-01-02,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,True,False,True,False,False,False,,regular,,,,,,False,False,WL
AnnoyingVenomousTaco,"WL, Withdrawn",3.83,155.0,0 years (KJD),,2024-11-09,2024-11-09,2024-11-11,2025-01-03,,,2025-03-06,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
haluigi,Accepted,3.73,166.0,,,,,,,,,2025-02-11,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
InnateImpartialFowl,Waitlisted,3.78,156.0,1-4 years,,2024-10-30,,,,,,2025-01-13,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
NonstopMacabreLemming,Waitlisted,3.93,158.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
skipps,Pending,3.72,151.0,,,2025-01-26,,,2025-02-01,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
DeepCumbersomeSnail,Pending,2.8,143.0,1-4 years,,2025-01-24,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
kit-2025,Accepted,3.79,168.0,1-4 years,"$120,000",2024-12-02,2024-12-02,,,,,2025-02-11,Regular Decision,2025-06-13T15:24:43Z,120000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
MadonnaSummer,Pending,2.94,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
lavendercat,"Withdrawn, Withdrawn",3.12,168.0,1-4 years,,2024-09-06,2024-09-06,2024-09-06,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,leilael0,True,Multiracial,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,Withdrawn
ThickCautiousSeal,Waitlisted,3.79,161.0,,,2024-11-10,,,,,,2025-03-06,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
rocco123,Accepted,4.06,169.0,,"$150,000",,,,,,,2024-12-10,,2025-06-13T15:24:43Z,150000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
JohnLark2018,Rejected,3.42,161.0,10+ years,,2024-12-02,2024-12-02,2024-12-03,,,,2025-04-08,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Rejected
HumdrumSwankyGorgon,Rejected,3.7,152.0,,,,,,,,,2025-01-13,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
tennisgirl303,Pending,3.55,160.0,,,2025-01-30,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
sltmich21,Pending,2.22,163.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,True,,regular,3.0,,,,,False,False,Pending
SynonymousChubbySombrero,Pending,3.3,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Psgeigle,Accepted,3.86,166.0,1-4 years,"$150,000",2025-01-01,2025-01-01,2025-01-03,,,,2025-02-27,Regular Decision,2025-06-13T15:24:43Z,150000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
PerfectAquaticPhoenix,Rejected,3.3,159.0,1-4 years,,,,,,,,2025-01-13,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
HeartbreakingLowlyKiwi,Pending,3.75,164.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
tony7790,Waitlisted,3.0,165.0,10+ years,,2024-09-06,,,,,,2025-01-13,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,11.0,,,,,False,False,Waitlisted
kackael,Pending,3.4,155.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,False,,,0.0,,,,,False,False,Pending
ALLin3,Pending,3.87,157.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
BrownHomelessCrane,Rejected,3.48,161.0,1-4 years,,2025-02-14,2025-02-14,2025-02-18,2025-02-20,,,2025-04-21,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
TangyPeacefulPrawn,Waitlisted,3.83,163.0,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
TenuousDispensableWyrm,"WL, Withdrawn",3.07,164.0,1-4 years,,2024-11-12,2024-11-14,2024-11-19,,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,True,Black or African American,True,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
BelligerentMarvelousImpala,Accepted,3.73,166.0,1-4 years,,,,2024-12-01,,,,2025-02-11,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
