user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
OminousOwl,Accepted,4.0,160.0,1-4 years,,2024-12-02,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
Blizmarie,Pending,3.96,154.0,,,2024-11-02,,2024-11-14,,,,,,2025-06-13T15:24:42Z,,False,,True,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SapphiresLawData,Pending,3.08,157.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PremiumPeriodicCapybara,Rejected,2.67,159.0,1-4 years,,,,,,,,2025-03-13,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,True,False,False,False,False,False,True,,regular,4.0,,,,,False,False,Rejected
skipps,Waitlisted,3.72,151.0,,,2025-01-30,,,,,,2025-02-28,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
gullibleprune,"WL, Rejected",3.26,157.0,5-9 years,,,,,,,,2025-04-30,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,9.0,,,,,False,False,"WL, Rejected"
HandsomeNoisyBee,Pending,3.8,141.0,1-4 years,,2024-12-01,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
freeloading,Rejected,3.7,145.0,5-9 years,,2024-11-28,,,,,,2025-01-28,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Rejected
AdmitOnly,Accepted,2.6,161.0,,,2025-01-27,2025-01-27,2025-01-27,,,,2025-02-21,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
MrCoach,Accepted,3.65,159.0,10+ years,,2024-12-02,,,,,,2025-01-29,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,11.0,,,,,False,False,Accepted
spaceylawgirl,Accepted,3.9,158.0,,,,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
EncouragingGentlePotato,Rejected,3.4,154.0,5-9 years,,,,,,,,2025-02-10,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,7.0,,,,,False,False,Rejected
musclemon,Accepted,2.0,150.0,,,,,,,,,2024-12-03,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
QuirkySourSwallow,Rejected,2.59,154.0,,,,,,,,,2025-02-21,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
UptightRightLlama,Rejected,3.0,151.0,,,,,,,,,2025-03-20,,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
ZUKI,Rejected,,,,,,,,,,,2025-01-29,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
DancingLLamaticTraumatic,Pending,3.51,165.0,0 years (KJD),,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Pending
TameDisillusionedMoth,Pending,2.9,160.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
AnxiousEqualMacaque,Accepted,3.56,158.0,1-4 years,,,,,,,,2025-01-29,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
ThinkableLazyVole,Pending,2.8,158.0,1-4 years,,2025-03-18,2025-03-18,2025-03-18,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
HomelessHalfPrawn,Accepted,3.95,153.0,,,,,,,,,2025-03-04,,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
tslaw,Rejected,3.77,145.0,,,2025-02-05,,,,,,2025-02-14,,2025-06-13T15:24:45Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
Chewie,Rejected,2.8,152.0,10+ years,,2025-02-04,,,,,,2025-02-14,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,True,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Rejected
