user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
queenie,Accepted,3.02,153.0,10+ years,"$54,000",2025-03-02,,,,,,2025-03-05,,2025-06-13T15:24:42Z,54000,False,,False,,False,White,False,True,False,False,False,False,False,,,18.0,,,,,False,False,Accepted
Lovelawrealestate,Pending,2.89,148.0,10+ years,,2024-11-30,2024-12-02,2025-02-10,2025-02-10,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,21.0,,,,,False,False,Pending
tslaw,Accepted,3.77,145.0,,,,,,,,,2025-04-25,,2025-06-13T15:24:45Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
QuirkySourSwallow,Accepted,2.59,154.0,,,,,,,,,2025-03-12,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Ladyesquire86,Pending,2.1,156.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
realellewoods,Accepted,3.42,151.0,,,,,,,,,2025-03-12,,2025-06-13T15:24:46Z,,True,,True,,True,Other,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
FantasyCreature,Accepted,3.89,148.0,,,,,,,,,2025-02-28,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
FurtiveGreasyDuck,Pending,3.35,151.0,,,,,2025-01-28,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
HorribleRottenCatfish,"Accepted, Withdrawn",2.7,160.0,10+ years,,2024-12-02,,,,,,2025-02-18,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,True,False,False,True,Felony drug charge from 2017,regular,10.0,,,,,False,False,Accepted
haywiligerz,Accepted,3.2,152.0,1-4 years,,2024-11-11,,,,,,2024-12-23,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
