user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
NaiveProbableMinotaur,Accepted,,,,,,,,,,,2025-01-28,,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
arodr051,Accepted,3.34,161.0,5-9 years,"$105,000, Conditional",,,,,,,2024-12-17,,2025-06-13T15:24:42Z,105000,True,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,6.0,,,,,False,False,Accepted
WiryGoodPuppy,Accepted,3.4,168.0,10+ years,"$135,000, Conditional",2024-11-14,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:42Z,135000,True,,True,,False,White,False,True,False,False,False,False,True,,regular,15.0,,,,,False,False,Accepted
MichealRoss,Accepted,3.78,166.0,1-4 years,,,,,,,,2025-01-28,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
NimbleCreepyLiger,Rejected,3.89,149.0,10+ years,,2024-09-08,,,,,,2025-04-09,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,10.0,,,,,False,False,Rejected
Shackelford025,Pending,3.29,156.0,10+ years,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,20.0,,,,,False,False,Pending
FastRainyChameleon,Pending,3.13,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
JAMiller5,Pending,3.8,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
threetwotimes,Pending,3.49,,,,,,,2025-02-14,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
leafypumpkin,Pending,3.73,152.0,1-4 years,,2024-12-19,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
sad-illusion701,Accepted,2.88,164.0,1-4 years,"$105,000, Conditional",2024-10-07,,,,,,2024-12-17,,2025-06-13T15:24:43Z,105000,True,,False,,False,,False,True,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
BerserkOnePotato,Pending,3.4,153.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Pending
ImperfectQuixoticWolfHound,Pending,3.75,160.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
FuriouslyCurious,Rejected,,,,,,,,,,,2025-04-04,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
GiftedReadyEmu,Accepted,3.82,157.0,,"$120,000, Conditional",2025-01-15,,,,,,2025-02-06,Regular Decision,2025-06-13T15:24:44Z,120000,True,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
NebulousCompleteTurtle,Accepted,3.73,158.0,1-4 years,"$120,000",2024-12-04,,,,,,2025-02-03,,2025-06-13T15:24:44Z,120000,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
mt02,Accepted,3.7,153.0,,,2025-02-13,2025-02-14,2025-02-14,,,,2025-03-07,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
AliveCreepyCapybara,Accepted,3.35,157.0,,"$75,000, Conditional",,,,,,,2025-02-03,,2025-06-13T15:24:44Z,75000,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PerfectColossalMau,Rejected,3.51,162.0,1-4 years,,,,,,,,2025-04-04,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,,regular,4.0,,,,,False,False,Rejected
MagnificentShortQueen,Rejected,,153.0,5-9 years,,2025-02-04,,,,,,2025-05-07,,2025-06-13T15:24:44Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Rejected
RanchDresser,Accepted,3.77,161.0,5-9 years,"$135,000",,,,,,,2025-03-02,,2025-06-13T15:24:44Z,135000,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
ZUKI,Rejected,,,,,,,,,,,2025-03-24,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
QuickestTastefulWasp,Accepted,3.88,162.0,,"$165,000",2024-11-22,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:44Z,165000,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
catsinlawschool,Accepted,3.8,159.0,1-4 years,"$120,000, Conditional",2024-12-15,,,,,,2025-01-28,,2025-06-13T15:24:44Z,120000,True,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
ThoughtfulTerrificDuck,Pending,3.7,151.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
pitiful-pain-9,Rejected,2.6,154.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Other,False,True,False,False,False,False,True,,regular,8.0,,,,,False,False,Rejected
WoodenProbableInsect,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SafeHallowedJaguar,Pending,3.5,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
legallyunwell,Accepted,3.8,155.0,1-4 years,"$30,000, Conditional",,,,,,,2025-04-02,,2025-06-13T15:24:45Z,30000,True,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
Kittylawyer18,"WL, Withdrawn",3.76,150.0,1-4 years,,2024-09-02,,2024-09-24,2024-09-24,,,2025-02-13,Regular Decision,2025-06-13T15:24:51Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
MatureNimblePikachu,Waitlisted,2.84,152.0,,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
NJAZZ1313,Pending,3.95,160.0,,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
cali2good,Accepted,3.4,156.0,1-4 years,,,,,,,,2025-02-21,,2025-06-13T15:24:45Z,,True,,True,,True,Multiracial,False,True,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
QuirkySourSwallow,Pending,2.59,154.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ElephantDefeatedZyn,Pending,,,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
RunningNiceOpossum,Accepted,3.86,163.0,1-4 years,"$165,000, Conditional",2024-11-06,2024-11-07,,,,,2024-11-27,Regular Decision,2025-06-13T15:24:45Z,165000,True,,True,,False,East Asian,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
TiredSecretiveYeti,Pending,,,,,,,,,2025-03-25,,,,2025-06-13T15:24:45Z,,False,,False,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
LowstatVetParalegal69,Accepted,3.1,157.0,1-4 years,"$30,000, Conditional",2024-11-15,,,,,,2024-12-06,Regular Decision,2025-06-13T15:24:45Z,30000,True,,True,,True,Hispanic/Latino,True,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
PoptartBunny,Pending,3.6,153.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
UselessAmusingToad,Pending,3.0,140.0,,,2025-02-05,2025-02-06,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
kmac,Pending,3.02,148.0,10+ years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,Black or African American,True,False,False,False,False,False,False,,,10.0,,,,,False,False,Pending
Gigib,Rejected,2.38,152.0,5-9 years,,2025-02-05,,,,,,2025-05-06,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,East Asian,False,False,False,False,False,False,True,Academic probation,regular,5.0,,,,,False,False,Rejected
ShinyLargeCrocodile,Rejected,2.75,158.0,5-9 years,,2025-01-29,,,,,,2025-05-20,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
