user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Trayn9,Accepted,3.81,171.0,0 years (KJD),"$139,350",,,,,,,2025-02-05,,2025-06-13T15:24:42Z,139350,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
LooseJaggedPebble,Accepted,3.8,158.0,1-4 years,"$45,000",2024-12-01,,,,,,2025-02-05,,2025-06-13T15:24:42Z,45000,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
YankeesWS25,Accepted,3.79,165.0,0 years (KJD),"$217,890, Dean's Scholarship - Full Tuition",,,,,,,2025-02-05,Regular Decision,2025-06-13T15:24:42Z,217890,False,Dean's Scholarship - Full Tuition,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
MagnificentSulkyKnight,Pending,3.48,160.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
FadedLivelyMagpie,Accepted,3.57,166.0,,"$150,000",,,,,,,2025-02-12,,2025-06-13T15:24:42Z,150000,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SnottyMinorBat,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
MadonnaSummer,Pending,2.94,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
RebelOppositeKitten,Rejected,3.04,153.0,,,2025-02-12,,,,,,2025-04-09,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
SteadfastFiveGiraffe,Pending,3.73,169.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LameIllBarracuda,Pending,3.87,170.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
NaiveProbableMinotaur,Waitlisted,,,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
JurisDorktorate,Waitlisted,3.68,165.0,10+ years,,2025-01-27,2025-01-27,2025-02-05,,,,2025-03-27,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,13.0,,,,,False,False,Waitlisted
LowReflectiveGerbert,"wl_accepted, Withdrawn",2.99,172.0,5-9 years,"$105,000",,,,,,,2025-07-31,Regular Decision,2025-08-05T21:51:07Z,105000,False,,False,,False,White,False,False,False,True,False,False,False,,regular,6.0,,,,,False,False,wl_accepted
SkillfulNippyHound,Waitlisted,3.52,157.0,5-9 years,,2024-12-01,,,,,,2025-03-12,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,True,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Waitlisted
FearNonLuvAll,Waitlisted,3.7,161.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
bmrblaw,Pending,3.8,154.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
AutumnSunrise,"WL, Withdrawn",3.43,158.0,,,2024-11-10,,,,,,2025-02-26,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,True,False,True,False,False,False,,regular,,,,,,False,False,WL
NonstopMacabreLemming,Waitlisted,3.93,158.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
