user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
MrBiology,Pending,3.1,156.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
TremendousExclusivePossum,Pending,3.51,168.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
PremiumPeriodicCapybara,Accepted,2.67,159.0,1-4 years,"$60,000",,,,,,,2025-03-13,Regular Decision,2025-06-13T15:24:42Z,60000,False,,False,,False,White,True,False,False,False,False,False,True,,regular,4.0,,,,,False,False,Accepted
NiftyIrritatingSnail,"Accepted, Attending",3.58,147.0,,,,,,,,,2025-01-31,,2025-06-13T15:24:42Z,,False,,False,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,True,False,False,,,,,,,,False,False,Accepted
legal27,Pending,3.57,148.0,5-9 years,,2025-02-26,2025-02-27,2025-03-18,2025-03-18,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,True,DUI (2021),,8.0,,,,,False,False,Pending
SapphiresLawData,Pending,3.08,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DeepCumbersomeSnail,Pending,2.8,143.0,1-4 years,,2025-01-24,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
sillygirl01,Accepted,3.28,156.0,0 years (KJD),"$96,000",2025-01-02,2025-01-06,2025-01-01,,,,2025-04-08,Regular Decision,2025-06-13T15:24:43Z,96000,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
DangerousKnottyBarnacle,Pending,2.16,150.0,10+ years,,,,,,,,,,2025-06-13T15:24:43Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,,12.0,,,,,False,False,Pending
FastRainyChameleon,Pending,3.13,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
