user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
UpsetFreezingAngelfish,Accepted,3.37,151.0,,,2024-12-05,,,,,,2025-02-05,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
SelectiveNutritiousMayfly,"accepted, Withdrawn",3.78,155.0,,,,,,,,,2024-11-22,Regular Decision,2025-07-24T18:25:31Z,,False,,False,,True,Hispanic/Latino,False,True,False,True,False,False,False,,regular,,,,,,False,False,accepted
EagleLion,"WL, Withdrawn",3.56,147.0,,,2025-01-28,,,,,,2025-04-18,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
TheWizardandI,Accepted,3.08,156.0,,,2024-12-10,,,2024-12-20,2025-01-17,,2025-01-27,,2025-06-13T15:24:43Z,,False,,False,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
PhysicalDecorousDonkey,Accepted,3.06,163.0,,"$93,000, Conditional",2024-11-01,2024-11-01,,,,,2024-11-26,Regular Decision,2025-06-13T15:24:43Z,93000,True,,True,,False,,True,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Gwold10,Pending,3.65,158.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ThoughtfulWarmSatyr,Accepted,3.6,150.0,5-9 years,,2024-10-31,2024-11-01,,2024-11-25,,,2024-12-11,,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
TryingToBeElleWoods,Accepted,3.83,168.0,,"$120,000, conditional- maintain a 2.6 cumulative grade point average",2025-02-04,,,,,,2025-02-19,,2025-06-13T15:24:43Z,120000,False,conditional- maintain a 2.6 cumulative grade point average,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
IllegalEatableFish,Pending,2.56,142.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LittleGingerGirl,Accepted,4.0,156.0,,"$99,000",,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:43Z,99000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
YoungHilariousWerewolf,Rejected,3.79,139.0,1-4 years,,2025-02-03,,,,,,2025-04-01,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
RichZonkedMoose,Pending,3.1,151.0,1-4 years,,2025-01-28,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Pending
zoeyyyyyccccc,Accepted,3.8,154.0,,"$90,000",,,,,,,2024-12-03,,2025-06-13T15:24:43Z,90000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ooooooooooyeahhh,Accepted,3.79,155.0,5-9 years,"$96,000",2024-11-29,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:43Z,96000,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
GarrulousWorkableFish,Accepted,3.49,166.0,1-4 years,"$120,000",,,,,,,2025-02-19,,2025-06-13T15:24:44Z,120000,False,,False,,False,,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
WasabiDinosaur,Accepted,3.82,159.0,1-4 years,"$117,000, Conditional",,,,,,,2024-11-15,Regular Decision,2025-06-13T15:24:44Z,117000,True,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
HomelessHalfPrawn,Accepted,3.95,153.0,,"$90,000",,,,,,,2025-03-04,,2025-06-13T15:24:44Z,90000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
gogators12,Accepted,3.76,169.0,,"$120,000",,,,,,,2024-12-05,,2025-06-13T15:24:44Z,120000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SpitefulAwesomeLeopard,Accepted,3.81,154.0,,"$90,000",,,,,,,2024-11-22,Regular Decision,2025-06-13T15:24:45Z,90000,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ElephantDefeatedZyn,Rejected,,,,,,,,,,,2025-02-22,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
CooingDeafeningHydra,Pending,2.08,158.0,1-4 years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,True,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
