user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
AwesomeBitterKoala,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
BoilingEndurableWretch,Rejected,3.86,176.0,1-4 years,,2025-01-05,2025-01-06,2025-01-08,,,,2025-05-20,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
ScaredCapriciousSatyr,Rejected,3.89,171.0,1-4 years,,2024-11-24,,2024-12-06,,,,2025-03-17,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
SqueamishDragon,Pending,,174.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
HistoricalPoliticalCucumber,Rejected,3.85,169.0,5-9 years,,2024-12-01,2024-12-01,2024-12-01,,,,2025-03-14,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Multiracial,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
ShrillRottenMongoose,Rejected,3.73,,,,2025-01-02,2025-01-03,2025-01-09,,,,2025-03-25,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,164.0,163.0,4.0,,False,False,Rejected
truffle112,Rejected,3.91,166.0,1-4 years,,2024-11-08,,,,,,2025-04-10,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
HallowedDerangedDemogorgon,Pending,4.03,174.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CombativeOneInfant,Pending,3.2,170.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,True,,,7.0,,,,,False,False,Pending
BrightHallowedRice,Rejected,4.12,168.0,1-4 years,,,,,,,,2025-06-03,,2025-06-13T15:24:42Z,,False,,False,,True,Multiracial,False,True,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
