user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
MrBiology,Rejected,3.1,156.0,1-4 years,,,,,,,,2025-06-04,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
tojislawyerwife,Rejected,3.53,152.0,,,2024-11-29,,,,,,2025-01-17,,2025-06-13T15:24:42Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
lotto,"WL, Withdrawn",3.72,157.0,1-4 years,,2025-02-06,2025-02-06,2025-02-13,,,,2025-03-07,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,True,False,False,True,Undergraduate Disciplinary Action,regular,2.0,,,,,False,False,WL
lawyerlife18,Pending,3.64,,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
michaelacass,Accepted,3.97,158.0,,"$90,000, Conditional, Good academic standing",2024-10-01,,,2024-10-10,,,2024-11-08,Regular Decision,2025-06-13T15:24:42Z,90000,True,Good academic standing,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
5oclockcoffee,Accepted,3.49,162.0,5-9 years,"$90,000, Conditional",2025-01-27,,,,,,2025-02-28,Regular Decision,2025-06-13T15:24:42Z,90000,True,,True,,False,White,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
AlphaLion,Accepted,3.44,161.0,,"$60,000",2024-10-01,2024-10-01,2024-10-08,,,,2024-11-14,Regular Decision,2025-06-13T15:24:43Z,60000,False,,True,,True,Other,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
PhysicalDecorousDonkey,Accepted,3.06,163.0,,"$22,500",2024-11-21,2024-11-21,,,,,2025-01-08,Regular Decision,2025-06-13T15:24:43Z,22500,False,,True,,False,,True,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
keykey,Accepted,3.56,158.0,,"$45,000",,,,,,,2024-12-06,,2025-06-13T15:24:43Z,45000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Gwold10,Accepted,3.65,158.0,,"$45,000",,,,,,,2024-12-05,,2025-06-13T15:24:43Z,45000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SilentSillyGoose,Accepted,3.91,160.0,1-4 years,"$90,000",2025-02-06,,,,,,2025-03-11,,2025-06-13T15:24:43Z,90000,False,,False,,False,White,False,True,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
natiisscared12,Accepted,3.79,165.0,1-4 years,"$127,500",,,,,,,2025-02-06,Regular Decision,2025-06-13T15:24:43Z,127500,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
LittleGingerGirl,Accepted,4.0,156.0,,"$60,000",,,,,,,2024-12-20,Regular Decision,2025-06-13T15:24:43Z,60000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
angryporcupine,Accepted,3.92,162.0,,"$135,000",2024-12-01,,,,,,2025-01-17,Regular Decision,2025-06-13T15:24:43Z,135000,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
