user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
SnottyMinorBat,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ericapebenito,Pending,3.8,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
RegularSnobbishPegasus,Pending,3.9,155.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
amcg22,Accepted,3.78,157.0,,"$106,500",,,,,,,2025-02-17,,2025-06-13T15:24:42Z,106500,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
bmrblaw,Pending,3.8,154.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
AdaptableFadedWalnut,Pending,3.54,158.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
OvalElderlyKrampus,Pending,2.7,156.0,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
Wheresmysupersuit011228,Pending,3.17,,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,5.0,158.0,156.0,4.5,,False,False,Pending
AlluringAxolotl,Accepted,3.72,166.0,,"$153,000",,,,,,,,Regular Decision,2025-06-13T15:24:43Z,153000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
DisgustedKnowingSnail,Pending,2.6,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CommonThirstyHammerhead,Rejected,2.99,146.0,,,2025-03-19,2025-03-20,2025-03-27,2025-03-28,2025-04-01,,2025-05-08,,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,False,False,False,True,Academic Probation,,,,,,,False,False,Rejected
GoldenRuhtreevurz,Accepted,3.4,156.0,0 years (KJD),"$51,000",2024-12-20,,2024-12-21,2025-01-21,2025-02-05,,2025-03-12,,2025-06-13T15:24:43Z,51000,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
SeattleRSplitter,"WL, Withdrawn",3.7,150.0,10+ years,,,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,18.0,,,,,False,False,WL
DullTangyMillipede,Accepted,3.68,152.0,5-9 years,"$42,000",2025-02-23,,,,,,2025-03-13,,2025-06-13T15:24:44Z,42000,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
LilSebastianStan,Accepted,3.86,151.0,1-4 years,"$40,000",2024-11-26,,,2025-01-02,,,2025-01-17,Regular Decision,2025-06-13T15:24:44Z,40000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
Athlete1,Accepted,3.63,157.0,0 years (KJD),"$106,500",2024-12-03,,,,,,2025-01-17,Regular Decision,2025-06-13T15:24:44Z,106500,False,,False,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
BuffaloBills76,Pending,2.7,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ZUKI,Rejected,,,,,,,,,,,2025-03-24,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
