user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Wesquire,Pending,3.65,163.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
InquisitiveDerangedLeek,Pending,3.5,141.0,1-4 years,,2025-03-01,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
EarthySnobbishHorse,Pending,2.39,171.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,True,UG Disciplinary Issues; Academic Dismissal; 2 Expunged/Sealed Misdemeanors,,5.0,,,,,False,False,Pending
HopelessLawmanticism,Accepted,3.9,162.0,1-4 years,"$102,750",2025-01-22,,2025-01-23,,,,2025-03-19,Regular Decision,2025-06-13T15:24:42Z,102750,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
WildShakyInfant,Accepted,3.98,172.0,1-4 years,,2024-11-30,,,,,,2025-02-05,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
GoBirds40224133,Pending,3.9,,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
theaterkidloveslegallyblonde,Waitlisted,4.0,160.0,,,,,,,,,2025-01-13,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
RemarkableAggressiveLion,Waitlisted,3.55,158.0,1-4 years,,2025-02-19,2025-02-19,2025-02-20,2025-03-17,,,2025-04-16,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
ConfusedHarshCat,Waitlisted,3.5,167.0,,,2025-03-01,,,,,,2025-04-29,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
MagnificentSulkyKnight,Waitlisted,3.48,160.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
seeingstarz,Rejected,3.7,160.0,,,2025-01-21,2025-01-21,2025-01-21,2025-01-30,,,2025-03-13,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
FallaciousOutstandingReader,"WL, Withdrawn",3.5,160.0,5-9 years,,,2025-01-22,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,True,False,False,False,,regular,8.0,,,,,False,False,WL
ScreenName97,Accepted,3.98,165.0,,"$150,000",2024-12-19,,,,,,2025-02-07,Regular Decision,2025-06-13T15:24:42Z,150000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
