user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
CMAC858,"WL, Rejected",3.85,168.0,1-4 years,,,,2024-11-18,2024-12-18,,2024-12-09,2025-06-03,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,"WL, Rejected"
AppleCiderVinegar,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
BreakableOpenAxolotl,waitlisted,3.48,166.0,5-9 years,,2024-10-24,,,,,,,Regular Decision,2025-08-29T03:27:18Z,,False,,True,Emailed for waiver,True,Hispanic/Latino,True,True,False,False,False,False,False,,regular,5.0,,,,,False,False,waitlisted
UsefulUgliestWolf,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ClumsyUsefulPlatypus,Rejected,2.89,171.0,1-4 years,,2024-12-01,2024-12-02,2024-12-02,2024-12-08,,,2025-01-10,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
Lepookiebear77,Rejected,3.38,169.0,1-4 years,,2025-01-26,2025-01-26,2025-02-11,2025-02-14,,2025-02-11,2025-04-08,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
DoneTeaching7,Rejected,2.45,166.0,5-9 years,,2024-11-28,2024-11-28,2024-12-16,,,,2025-01-14,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Rejected
mxsparta,Rejected,3.82,167.0,,,2025-02-01,2025-02-01,2025-02-15,,,,2025-04-07,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
AbjectStormyHeron,Accepted,4.0,160.0,,,2024-09-30,2024-09-30,2024-09-30,,,,2025-02-26,,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
YellowFumblingBuzzard,"WL, Withdrawn",3.8,166.0,,,2024-11-18,,,2024-12-11,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
