user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
WastefulCourageousPrawn,Accepted,3.97,158.0,1-4 years,"$54,000",,,,,,,2025-01-03,,2025-06-13T15:24:42Z,54000,False,,False,,False,White,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
YellowFumblingBuzzard,Accepted,3.8,166.0,,"$84,000",2024-11-12,,,,,,2025-01-14,Regular Decision,2025-06-13T15:24:42Z,84000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Driftwoodecho,Waitlisted,4.0,162.0,,,,,,,,,2025-03-11,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
AbashedHandsomelySphinx,Accepted,,,,,,,,,,,2025-03-07,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
HugeHolisticAngelfish,Waitlisted,3.78,154.0,5-9 years,,2024-11-29,2024-11-30,,2024-12-04,,,2025-01-21,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,True,,regular,5.0,,,,,False,False,Waitlisted
FalconryGal,Accepted,2.9,158.0,1-4 years,,2025-02-12,,,,,,2025-03-25,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
SapphiresLawData,Pending,3.08,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
coronsm12,Rejected,3.18,146.0,,,,,2024-10-30,,,,2024-12-17,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
TomorrowisAlreadyHere8097,"WL, Rejected",3.9,155.0,0 years (KJD),,2024-11-27,,,,2025-01-14,,2025-01-21,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,"WL, Rejected"
SisyphusHappy,"WL, Withdrawn",3.82,165.0,1-4 years,,,,,,,,2025-02-26,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
InquisitiveYouthfulWildebeest,Pending,3.53,152.0,10+ years,,,,,,,,,,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,False,,,10.0,,,,,False,False,Pending
TrashyInstinctiveBullfrog,Pending,3.12,152.0,5-9 years,,,,,,,,2025-02-12,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,True,False,False,False,False,False,False,,,6.0,,,,,False,False,Pending
TearfulScaredNewt,Waitlisted,,,,,2024-10-08,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
HangingCrazyPickle,Rejected,3.38,154.0,1-4 years,,2024-11-17,,,,,,2025-01-14,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,Academic Probation,regular,2.0,,,,,False,False,Rejected
EncouragingGentlePotato,Rejected,3.4,154.0,5-9 years,,,,,,,,2025-03-10,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,7.0,,,,,False,False,Rejected
BlueBunny,"WL, Withdrawn",3.84,160.0,1-4 years,,2024-09-20,,,,,,2024-12-10,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
cupofcoffee,"WL, Withdrawn",3.46,168.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
KarateKidNeverSurrender,Pending,3.37,158.0,,,2025-02-21,2025-02-21,2025-03-08,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
SleepyOutrageousRoadrunner,Waitlisted,3.49,155.0,1-4 years,,2024-12-08,2024-12-09,2024-12-09,,,,2025-01-28,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
StandingTiger,Pending,2.76,160.0,10+ years,,2024-11-20,2024-12-06,2024-12-02,2025-01-13,,,2025-02-13,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,10.0,,,,,False,False,Pending
