user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
liliumlex,Accepted,4.0,167.0,1-4 years,"$104,110, Conditional, full in state tuition, must maintain 2.0 GPA to renew, Fee Waiver: filled out their online request form",2024-12-18,2024-12-19,,,,,2025-01-13,Regular Decision,2025-06-13T15:24:42Z,104110,True,"full in state tuition, must maintain 2.0 GPA to renew",True,filled out their online request form,False,White,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
SatisfyingAromaticLemon,accepted,3.31,153.0,,"$18,000",2025-08-15,,,,,,2025-10-01,Regular Decision,2025-10-09T02:33:11Z,18000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,accepted
reebs024,Pending,3.3,153.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ZUKI,Rejected,,,,,,,,,,,2025-01-29,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
AgreeableWickedGrasshopper,accepted,2.8,164.0,5-9 years,"$81,000, Unsolicited increase from 69k to 81k",2025-08-19,2025-08-19,2025-08-27,,,,2025-09-11,Regular Decision,2025-10-23T16:05:07Z,81000,False,Unsolicited increase from 69k to 81k,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,8.0,,,,,False,True,accepted
LawSchool1831,Pending,4.0,150.0,,,2025-04-06,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
realellewoods,Rejected,3.42,151.0,,,,,,,,,2025-04-10,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Other,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
bloop123,Rejected,3.09,151.0,,,,,,,,,2024-11-24,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
CripTheLaw,Accepted,4.27,177.0,1-4 years,"$90,000, Full-Tuition",2025-01-10,2025-01-10,,,,,2025-02-01,Regular Decision,2025-06-13T15:24:46Z,90000,False,Full-Tuition,True,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
GoodTerrificOtter,Waitlisted,3.38,152.0,,,2025-02-22,2025-02-24,2025-02-24,,,,2025-04-08,,2025-06-13T15:24:50Z,,False,,False,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
