user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
EarthySnobbishHorse,Pending,2.39,171.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,True,UG Disciplinary Issues; Academic Dismissal; 2 Expunged/Sealed Misdemeanors,,5.0,,,,,False,False,Pending
ManyOver12,Accepted,3.16,150.0,1-4 years,,,2024-10-09,2024-10-10,,,,2024-10-31,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
Wheresmysupersuit011228,Pending,3.17,,5-9 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,5.0,158.0,156.0,4.5,,False,False,Pending
Iwanttogotolawschoolsobad,Accepted,3.93,152.0,,"$120,000, Conditional",,,,,,,2025-05-22,,2025-06-13T15:24:44Z,120000,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TaylorKilks,Pending,3.8,142.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Pending
Vinagoeslegal,Pending,3.9,148.0,1-4 years,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
garfieldbutqueer,Accepted,3.78,155.0,,"$144,000, Conditional",2025-03-14,,,,,,2025-04-22,Regular Decision,2025-06-13T15:24:45Z,144000,True,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Qweenriss,Pending,3.5,143.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,True,Black or African American,False,False,False,False,False,False,True,Theft charge,,,,,,,False,False,Pending
Fatooma,Pending,,,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Theynotlikeus,Accepted,3.75,156.0,,,2024-12-19,,,,,,2025-02-13,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
OverratedYouthfulMagpie,Accepted,3.47,156.0,,"$111,000",2024-12-12,,,,,,2025-02-05,Regular Decision,2025-06-13T15:24:46Z,111000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
bethechange,Pending,3.53,,,,,,,,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
NaturalUnnaturalOstrich,Pending,3.45,156.0,1-4 years,,2024-12-31,2024-12-31,2025-01-02,2025-01-06,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
SpiffyHystericalOriole15,Pending,3.7,149.0,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LSchoolpls,Accepted,3.19,157.0,,,,,,,,,2025-03-11,,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
livthelawyer,Pending,3.4,147.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
meowlaw,Pending,3.5,146.0,,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
hopinforthebestt,Pending,3.3,147.0,1-4 years,,2025-02-05,2025-02-05,,,,,,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
DomineeringHonorableHamster,"Accepted, Attending",2.89,152.0,,"$22,000",2025-02-27,,,2025-02-27,,,2025-04-07,Regular Decision,2025-06-13T15:24:50Z,22000,False,,True,,True,Black or African American,True,False,False,False,True,False,False,,regular,,,,,,False,False,Accepted
Tiger3065,Accepted,3.02,162.0,,"$25,000",2024-12-08,,,,,,2024-12-22,Regular Decision,2025-06-13T15:24:50Z,25000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
MasonLadlee58,Pending,3.08,141.0,,,,,,,,,,,2025-06-13T15:24:51Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SCDance,Accepted,4.0,162.0,0 years (KJD),"$175,000",,,,,,,2025-01-31,Regular Decision,2025-06-13T15:24:52Z,175000,False,,True,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
ObservantFullBobcat,Accepted,3.18,156.0,10+ years,,,,,,,,2024-11-14,,2025-06-13T15:24:53Z,,True,,False,,False,White,False,False,False,False,False,False,False,,,20.0,,,,,False,False,Accepted
LawSchoolAnxiety43,Accepted,3.29,152.0,,"$102,000, Conditional",2024-09-01,2024-09-03,2024-09-03,2024-09-26,,,2024-10-31,Regular Decision,2025-06-13T15:24:53Z,102000,True,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
legalweapon,Pending,3.25,153.0,,,2025-02-12,,,,,,,Regular Decision,2025-06-13T15:24:53Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
BrownPunyPeacock,Rejected,3.8,148.0,,,,,,,,,2025-04-10,,2025-06-13T15:24:53Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
UnrulyLightFaun,Pending,3.38,,,,,,,,,,,,2025-06-13T15:24:55Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ljesnikicecream,Accepted,3.0,150.0,,"$60,000",2025-01-18,,,,,,2025-02-09,Regular Decision,2025-06-13T15:24:54Z,60000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
MacaroniNSneeze,Accepted,2.9,154.0,10+ years,"$90,000, Conditional",2025-03-12,2025-03-12,2025-03-13,2025-03-13,,,2025-04-22,Regular Decision,2025-06-13T15:24:54Z,90000,True,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,15.0,,,,,False,False,Accepted
WinxFairy,Pending,,,,,,,,,,,,,2025-06-13T15:24:55Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
OutisB,Pending,3.2,,,,2024-12-20,2025-01-23,,,,,,,2025-06-13T15:24:58Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
hopefulpenguin,Pending,3.45,147.0,,,,,,,,,,,2025-06-13T15:24:58Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
lalalsat,Pending,3.73,148.0,1-4 years,,,,,,,,,,2025-06-13T15:24:59Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
yk222,Accepted,,,,"$72,000, Conditional",,,,,,,2025-03-06,,2025-06-13T15:24:59Z,72000,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TearfulVoicelessPeacock,Accepted,3.91,,1-4 years,"$38,000, Conditional",2024-09-02,2024-09-02,2024-09-12,,,,2024-10-31,Regular Decision,2025-06-13T15:24:59Z,38000,True,,False,,False,White,False,True,False,False,False,False,False,,regular,1.0,152.0,151.0,5,,False,False,Accepted
AbnormalHocButterfly,Accepted,4.0,157.0,,"$150,000, Conditional",,,,,,,2025-01-28,,2025-06-13T15:25:00Z,150000,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PaleTeenyWeenyTurtle,Accepted,3.54,149.0,,,,,,,,,,,2025-06-13T15:25:00Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
kt10,Pending,3.9,156.0,,,,,,,,,,,2025-06-13T15:25:08Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
wwlsd,"Accepted, Withdrawn",3.89,163.0,1-4 years,"$175,000, Conditional, FULL TUITION if >40th percentile, or reduced to 50%",2024-11-25,2024-11-25,,,,,2024-12-03,Regular Decision,2025-06-13T15:25:08Z,175000,True,"FULL TUITION if >40th percentile, or reduced to 50%",True,,False,White,False,True,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
LaBot708,Pending,3.41,151.0,,,,,,,,,,,2025-06-13T15:25:08Z,,,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LSAT,Accepted,4.14,170.0,,"$176,000, Conditional",2024-11-27,,,,,,2024-12-05,Regular Decision,2025-06-13T15:25:10Z,176000,True,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
NauseatingIrateShepherd,Rejected,3.75,145.0,,,,,,,,,2025-05-28,,2025-06-13T15:25:16Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
TroubledQuirkyAlligator,Pending,3.23,158.0,10+ years,,,,,,,,,,2025-06-13T15:25:18Z,,,,False,,False,White,False,False,False,False,False,False,False,,,20.0,,,,,True,False,Pending
lawgirly516,rejected,3.53,147.0,1-4 years,,,,,,,,,Regular Decision,2025-07-15T16:12:59Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,rejected
EagleLion,rejected,3.56,147.0,,,2024-11-21,,,,,,2025-07-09,Regular Decision,2025-07-15T19:24:05Z,,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,rejected
cosmicbutterfly,"Accepted, Attending",3.46,150.0,5-9 years,"$96,000, Conditional",2024-11-13,,,,,,2024-11-25,Regular Decision,2025-06-13T15:25:03Z,96000,True,,True,,True,Hispanic/Latino,False,True,False,False,True,False,False,,regular,7.0,,,,,False,False,Accepted
FanaticalLooseMoth,Pending,,,,,,,,,,,,,2025-06-13T15:25:52Z,,False,,True,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ShrillRottenMongoose,Accepted,3.73,,,"$180,000, Conditional",2025-01-03,2025-01-03,2025-01-06,,,,2025-01-15,Regular Decision,2025-06-13T15:24:42Z,180000,True,,False,,False,,False,True,False,False,False,False,False,,regular,,164.0,163.0,4.0,,False,False,Accepted
Round2oflife,Pending,3.16,146.0,10+ years,,,,,,,,,,2025-06-13T15:25:03Z,,False,,False,,False,,False,False,False,False,False,False,False,,,20.0,,,,,False,False,Pending
FirstGenTica,Pending,3.75,145.0,,,,,,,,,,,2025-06-13T15:26:04Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
jiadenbd,"Accepted, Withdrawn",,,1-4 years,"$84,000, Conditional, Fee Waiver: unsolicited",2025-02-26,2025-02-26,2025-02-26,,,,2025-03-04,Regular Decision,2025-06-13T15:24:49Z,84000,True,,True,unsolicited,False,East Asian,False,False,False,True,False,False,False,,regular,4.0,,,,,False,False,Accepted
ginger,"Accepted, Withdrawn",3.97,158.0,1-4 years,"$144,000",2024-12-06,,2024-12-09,2024-12-10,,,2025-01-23,Regular Decision,2025-06-13T15:24:49Z,144000,False,,False,,False,White,False,True,False,True,False,False,False,,regular,2.0,,,,,False,False,Accepted
Teyo-999,"Accepted, Withdrawn",3.8,155.0,1-4 years,"$153,000, Conditional",2025-02-21,,,,,,2025-03-18,Regular Decision,2025-06-13T15:24:50Z,153000,True,,False,,True,Black or African American,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
KaputUnusualEmu,"Accepted, Withdrawn",2.75,159.0,1-4 years,"$111,000, Conditional",2025-02-08,2025-02-08,2025-02-08,2025-02-11,2025-03-17,,2025-03-18,Regular Decision,2025-06-13T15:24:59Z,111000,True,,True,,True,Multiracial,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,Accepted
LawSchoolBound2025,"accepted, Withdrawn",3.0,158.0,,"$100,000, Conditional",,,,,,,2025-05-28,Regular Decision,2025-06-14T20:53:45Z,100000,True,,False,,False,,False,False,False,True,False,False,True,"arrested, misdemeanor ",regular,,,,,,True,False,accepted
Moi-moi,"Withdrawn, Withdrawn",2.4,154.0,1-4 years,,2025-03-13,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,True,Black or African American,False,False,False,True,False,False,True,Academic suspension ,,2.0,,,,,False,False,Withdrawn
EnormousNarrowPizza,"Hold, Hold",3.07,155.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,True,True,False,False,False,False,,regular,4.0,,,,,False,False,Hold
RicJD57,"Accepted, Attending",3.46,151.0,5-9 years,"$108,000, Conditional",2025-03-06,2025-03-06,2025-03-07,2025-03-07,2025-03-19,,2025-04-07,Regular Decision,2025-06-13T15:24:42Z,108000,True,,False,,True,Hispanic/Latino,True,True,False,False,True,False,False,,regular,7.0,,,,,False,False,Accepted
PetiteAspiringPebble,"Accepted, Attending",3.93,151.0,10+ years,,,,,,,,2024-12-12,,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,True,False,False,,,16.0,,,,,False,False,Accepted
BouncyUnbecomingMammoth,"Accepted, Attending",2.85,155.0,1-4 years,,2025-02-02,2025-02-02,2025-02-03,2025-02-03,,,2025-03-03,Regular Decision,2025-06-13T15:24:51Z,,False,,True,,False,,False,False,False,False,True,False,False,,regular,1.0,,,,,False,False,Accepted
DIsForDragon,"Accepted, Withdrawn",2.77,162.0,10+ years,"$132,000, Conditional",2024-10-14,2024-10-15,2024-10-15,2024-10-15,,,2025-03-03,Regular Decision,2025-06-13T15:24:43Z,132000,True,,True,,False,White,False,True,False,True,False,False,False,,regular,15.0,,,,,False,False,Accepted
TangyAccidental180,"Accepted, Withdrawn",3.62,152.0,1-4 years,"$114,000, Conditional",2025-01-25,2025-01-27,2025-01-27,2025-01-27,,,2025-02-11,Regular Decision,2025-06-13T15:24:44Z,114000,True,,True,,True,Black or African American,False,True,False,True,False,False,False,,regular,3.0,,,,,False,False,Accepted
Demagorgon,"Accepted, Withdrawn",3.11,151.0,,,2024-12-12,,,,,,2024-12-23,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,True,False,False,False,,,,,,,,False,False,Accepted
heyimlawyeringhere,"Accepted, Withdrawn",3.55,155.0,,"$132,000",,,,,,,2025-02-18,,2025-06-13T15:24:48Z,132000,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,Accepted
StereotypedNoisyWizard,"Accepted, Withdrawn",3.87,153.0,,"$126,000, Conditional",2025-02-05,2025-02-06,2025-02-11,2025-02-11,2025-02-28,,2025-02-25,Regular Decision,2025-09-24T15:32:55Z,126000,True,,True,,False,White,False,True,False,True,False,False,False,,regular,,,,,,False,False,Accepted
FutureTightKiwi,"Accepted, Withdrawn",3.83,152.0,,"$117,000",2025-02-28,,,,,,2025-03-11,,2025-06-13T15:24:51Z,117000,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,Accepted
LAWGIAMORGIRL,"Accepted, Withdrawn",3.36,151.0,1-4 years,"$33,000",,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:55Z,33000,False,,False,,True,Other,False,True,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
LongTangyDevil,"Accepted, Withdrawn",3.37,151.0,5-9 years,"$22,000, Conditional",2024-12-17,,,,,,2025-01-13,Regular Decision,2025-06-13T15:24:57Z,22000,True,,True,,False,White,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,Accepted
SaulGoodman36,"Accepted, Withdrawn",3.77,155.0,,"$144,000, Conditional",,,,,,,2024-12-12,Regular Decision,2025-06-13T15:25:00Z,144000,True,,False,,True,Multiracial,False,False,False,True,False,False,False,,regular,,,,,,False,False,Accepted
RBsag123,"Accepted, Withdrawn",3.68,150.0,,"$90,000",2024-11-23,,,,,,2024-11-26,Regular Decision,2025-06-13T15:25:06Z,90000,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,Accepted
