user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
grandmasterpickle,Rejected,3.04,158.0,0 years (KJD),,2024-12-21,2024-12-23,2025-01-03,2025-01-03,,,2025-03-25,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
Alawpoopy,Waitlisted,3.52,156.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Waitlisted
Redsaint,Accepted,,170.0,1-4 years,"$180,000",2025-02-19,,,,,,2025-02-28,,2025-06-13T15:24:42Z,180000,False,,True,,False,,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
EarthySnobbishHorse,Pending,2.39,171.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,True,UG Disciplinary Issues; Academic Dismissal; 2 Expunged/Sealed Misdemeanors,,5.0,,,,,False,False,Pending
ARandomPerson,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DC-TX-LA-PA-WI-CO-orBust,"WL, Withdrawn",2.99,162.0,10+ years,,2025-02-05,,,2025-02-06,,,2025-04-14,Regular Decision,2025-06-30T00:15:27Z,,False,,False,,False,,False,True,False,True,False,False,False,,regular,12.0,,,,,False,False,WL
WildEyesWitch,Rejected,3.93,161.0,1-4 years,,2025-03-07,,,2025-03-07,,,2025-04-21,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
PoliteElasticBluebird,Rejected,3.43,153.0,1-4 years,,2025-01-06,,,,,,2025-03-28,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Rejected
Uztnus,Accepted,3.67,167.0,,"$180,000",,,,,,,2025-01-27,,2025-06-13T15:24:42Z,180000,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SameCravenOstrich,Accepted,3.69,161.0,1-4 years,"$135,000",,,,,,,2025-03-08,Regular Decision,2025-06-13T15:24:42Z,135000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
SapphiresLawData,Pending,3.08,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
GumboGirlFanatic,"WL, Withdrawn",3.32,159.0,0 years (KJD),,2025-01-28,,,2025-01-31,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
lgtlawschoolnola,Pending,3.47,154.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CourageousCertainGoose,Accepted,3.82,160.0,,"$135,000",,,,,,,2025-03-13,,2025-06-13T15:24:43Z,135000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
seeingstarz,Rejected,3.7,160.0,,,2025-01-02,2025-01-02,2025-01-02,2025-01-27,,,2025-04-25,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
Basketball113,Accepted,3.77,166.0,,,2024-12-04,2024-12-06,,,,,2025-01-10,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
UnequaledTastefulCow,Pending,3.1,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SedateSmartBobcat,Waitlisted,3.2,168.0,0 years (KJD),,2024-11-25,,,,,,2025-01-31,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
manicmami,Accepted,3.81,166.0,1-4 years,"$180,000",2025-02-10,2025-02-14,,,,,2025-02-15,,2025-06-13T15:24:43Z,180000,False,,False,,False,White,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
ThickCautiousSeal,Waitlisted,3.79,161.0,,,2024-11-04,,,,,,2025-01-31,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Wheresmysupersuit011228,Pending,3.17,,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,5.0,158.0,156.0,4.5,,False,False,Pending
elliotness83,Accepted,3.43,162.0,1-4 years,"$120,000",2024-12-07,2024-12-09,,,,,2025-01-31,Regular Decision,2025-06-13T15:24:43Z,120000,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
InnateImpartialFowl,Pending,3.78,156.0,1-4 years,,2024-10-23,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
ELEVENELEVEN,Pending,3.14,159.0,,,2025-01-28,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
velvetsheets,"WL, Withdrawn",3.7,158.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
jazzgorl125,Accepted,3.79,164.0,1-4 years,,2025-02-20,,,,,,2025-03-06,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
TameBoorishEmu,Pending,3.46,159.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
