user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
DC-TX-LA-PA-WI-CO-orBust,"Accepted, Withdrawn",2.99,162.0,10+ years,"$40,500, 75% merit + out of state",2025-02-07,,,2025-02-13,,,2025-03-02,Regular Decision,2025-06-30T00:16:14Z,40500,False,75% merit + out of state,False,,False,,False,False,False,True,False,False,False,,regular,12.0,,,,,False,False,Accepted
CurvyHypnoticSheepdog,Accepted,3.92,160.0,,,,,,,,,2025-02-10,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
RazorbackSadness,"WL, Withdrawn",2.43,160.0,5-9 years,,2024-10-02,,,2024-10-26,2024-11-29,,2025-04-10,,2025-06-13T15:24:48Z,,False,,True,,False,,False,True,False,True,False,False,True,Failed out of school... Twice,,5.0,,,,,False,False,WL
DeterminedRealStoat,Rejected,2.6,152.0,,,,,,,,,2025-02-22,,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,,,,,,,False,False,Rejected
QuirkySourSwallow,Accepted,2.59,154.0,,"$17,370",,,,,,,2025-02-22,,2025-06-13T15:24:45Z,17370,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
realellewoods,Pending,3.42,151.0,,,,,,,,,,,2025-06-13T15:24:46Z,,False,,True,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
HighfalutinAheadSalamander,Pending,3.08,138.0,10+ years,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,True,American Indian/Alaskan Native,False,True,False,False,False,False,False,,,25.0,,,,,False,False,Pending
xuxu,Rejected,3.11,,10+ years,,2025-02-06,,,2025-02-13,,,2025-04-08,,2025-06-13T15:24:47Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Rejected
LemonCoast,Pending,,157.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
chicagocubsfan1744,Accepted,3.63,154.0,1-4 years,"$37,065, Non-resident scholarship and Merit Scholarship 50% off tuition",2025-02-05,2025-02-05,2025-02-06,2025-02-12,,,2025-03-02,,2025-06-13T15:24:49Z,37065,False,Non-resident scholarship and Merit Scholarship 50% off tuition,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
OneCloud,Accepted,3.2,149.0,,,,,,,,,2025-03-12,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
superdupersplitter,Rejected,2.4,162.0,1-4 years,,,,,,,,2025-02-19,,2025-06-13T15:24:50Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,True,poss of cs less then 1g in 2021,,3.0,,,,,False,False,Rejected
EarthyAliveTurtle,Rejected,3.3,143.0,,,,,,,,,2025-03-13,,2025-06-13T15:24:51Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
tslaw,Rejected,3.77,145.0,,,,,,,,,2025-04-01,,2025-06-13T15:24:54Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
LegallyInLove,Accepted,,,,,,,,,,,2025-03-18,,2025-06-13T15:24:55Z,,False,,True,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
TheRedBaronPizza,Accepted,2.21,158.0,1-4 years,,,,,,,,2024-10-29,,2025-06-13T15:24:57Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
WH1122,Accepted,3.97,169.0,,"$42,000, Conditional",2024-12-15,2025-02-26,,,,,2025-02-01,Regular Decision,2025-06-13T15:24:57Z,42000,True,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
BoorishExpensiveTortoise,Accepted,3.21,165.0,0 years (KJD),,2025-03-13,,2025-03-27,2025-03-31,,,2025-04-19,Regular Decision,2025-06-13T15:25:02Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
AllAboutTheLawBro,"Accepted, Withdrawn",3.12,153.0,5-9 years,,2025-01-07,2025-01-24,2025-01-24,,,,2025-02-21,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Black or African American,False,False,False,True,False,False,True,disciplinary probation ,regular,9.0,,,,,False,False,Accepted
WhisperingNaturalCrow,"Accepted, Attending",2.69,156.0,10+ years,"$27,000",2024-10-07,2024-10-08,,2024-11-22,,,2025-01-25,Regular Decision,2025-06-13T15:24:54Z,27000,False,,False,,False,White,False,True,False,False,True,False,False,,regular,12.0,,,,,False,False,Accepted
Xxx,"Accepted, Withdrawn",3.87,150.0,,,,,,,,,2025-04-18,Regular Decision,2025-06-13T15:24:57Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,Accepted
Latinaalaw,Pending,3.59,144.0,5-9 years,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,Dismissal,,7.0,,,,,False,False,Pending
Glenco,"Accepted, Attending",2.7,147.0,10+ years,"$27,000, Conditional",2025-01-16,2025-01-16,2025-01-16,2025-01-16,,,2025-03-14,Regular Decision,2025-06-13T15:24:50Z,27000,True,,False,,False,White,True,False,False,False,True,False,True,,regular,20.0,,,,,False,False,Accepted
SourDoodle,Pending,3.64,153.0,,,,,,,,,,,2025-06-13T15:26:05Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ughhgghghghghghghhhhhhh,"Accepted, Withdrawn",3.9,149.0,1-4 years,,2024-11-16,2024-11-22,2024-11-22,2024-12-01,,,2025-01-25,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,True,American Indian/Alaskan Native,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
Tandra4,"Accepted, Withdrawn",3.6,158.0,5-9 years,"$35,000",2024-10-31,,,,,,2025-01-26,,2025-06-13T15:24:54Z,35000,False,,False,,True,Hispanic/Latino,False,True,False,True,False,False,False,,,8.0,,,,,False,False,Accepted
PermissibleFanaticalBandit,"Accepted, Withdrawn",3.2,163.0,5-9 years,"$31,000",2024-09-24,,,,,,2025-01-25,Regular Decision,2025-06-13T15:25:00Z,31000,False,,False,,False,White,True,True,False,True,False,False,False,,regular,9.0,,,,,False,False,Accepted
DefectiveHarmoniousBison,"Accepted, Attending",3.66,152.0,,,2025-02-05,2025-02-05,2025-02-05,2025-02-12,,,2025-03-02,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,True,False,False,,,,,,,,False,False,Accepted
SunflowerWinnie,"Accepted, Attending",3.2,157.0,1-4 years,,,,,,,,2025-01-25,Regular Decision,2025-06-13T15:24:53Z,,False,,False,,False,White,False,True,False,False,True,False,False,,regular,2.0,,,,,False,False,Accepted
RedBriccThicc,"Accepted, Attending",3.33,162.0,1-4 years,"$42,000",,,,2024-11-22,,,2025-01-25,Regular Decision,2025-06-13T15:25:08Z,42000,False,,False,,False,White,False,True,False,False,True,False,False,,regular,4.0,,,,,False,False,Accepted
BoundlessTediousCaterpillar,"Accepted, Withdrawn",3.7,165.0,10+ years,"$30,000",,,,,,,2025-04-01,,2025-06-13T15:24:45Z,30000,False,,False,,False,White,True,False,False,True,False,False,False,,,30.0,,,,,False,False,Accepted
LethalPossibleTank,"Accepted, Withdrawn",3.63,153.0,1-4 years,"$27,000",,2024-12-12,2024-12-12,2024-12-13,,,2025-01-25,Regular Decision,2025-06-13T15:24:49Z,27000,False,,False,,False,White,False,True,False,True,False,False,False,,regular,2.0,,,,,False,False,Accepted
PuzzledExcellentCentipede,"Accepted, Withdrawn",3.5,161.0,,"$30,982, + In-State Tuition",2024-12-16,,,,,,2025-01-25,Regular Decision,2025-06-13T15:24:52Z,30982,False,+ In-State Tuition,True,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,Accepted
BulbasaurNoLikeCardio,"Accepted, Withdrawn",3.23,160.0,10+ years,"$54,000",2024-10-09,2024-10-09,,2024-11-22,,,2025-01-24,Regular Decision,2025-06-13T15:24:52Z,54000,False,,True,,True,Multiracial,True,False,False,True,False,False,False,,regular,12.0,,,,,False,False,Accepted
Gibby,"Accepted, Withdrawn",3.97,161.0,,"$40,000, 100% merit scholarship",2025-01-04,,,,,,2025-03-02,Regular Decision,2025-06-13T15:24:57Z,40000,False,100% merit scholarship,False,,False,East Asian,False,True,False,True,False,False,False,,regular,,,,,,False,False,Accepted
GetOffMyLawn,"Accepted, Withdrawn",3.69,154.0,10+ years,"$60,000",,,,,,,2025-01-26,,2025-06-13T15:25:04Z,60000,False,,False,,False,White,False,False,False,True,False,False,False,,,25.0,,,,,False,False,Accepted
