user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Barbzstayinschoolll,Rejected,3.91,160.0,1-4 years,,2024-12-15,,,2025-01-06,,2024-12-17,2025-02-20,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
MJK,Pending,3.75,178.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
whenitsbleak,Rejected,3.79,164.0,0 years (KJD),,2025-02-05,2025-02-05,2025-02-17,2025-02-18,,2025-02-07,2025-03-31,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Other,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
ShrillRottenMongoose,Rejected,3.73,,,,2025-01-02,2025-01-02,,2025-01-27,,,2025-03-31,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,164.0,163.0,4.0,,False,False,Rejected
WizardOrbPonderer,Waitlisted,4.0,173.0,,,2024-12-01,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
ScaredCapriciousSatyr,Rejected,3.89,171.0,1-4 years,,2024-11-15,,2024-12-02,2024-12-02,,,2025-04-11,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
AllegedAcidFrog,Rejected,3.7,165.0,,,2024-11-20,2024-11-20,2024-11-25,2024-12-02,,,2025-01-14,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
HistoricalPoliticalCucumber,Accepted,3.85,169.0,5-9 years,,2024-12-14,2024-12-14,2024-12-14,2025-01-06,,,2025-03-04,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Multiracial,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
Basalt,Pending,3.3,159.0,10+ years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,12.0,,,,,False,False,Pending
BunkMoreland,Waitlisted,4.0,177.0,0 years (KJD),,2024-10-01,,,,,,2025-02-20,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
PuzzledNecessaryBat,Waitlisted,3.87,169.0,,,2024-11-09,2024-11-09,2024-11-20,,,,2025-02-21,Early Decision → Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,ed-to-rd,,,,,,False,False,Waitlisted
Cocodog5,Accepted,3.92,176.0,,,,,,,,,2025-02-20,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
GentleMonster,Rejected,3.62,175.0,,,2024-11-13,2024-11-14,,2024-11-22,,,2025-02-20,Early Decision → Regular Decision,2025-06-13T15:24:42Z,,False,,True,ED Fee Waiver,False,East Asian,False,True,False,False,False,False,False,,ed-to-rd,,,,,,False,False,Rejected
FlawlessIguana,Rejected,3.8,172.0,,,2025-01-26,,,,,,2025-04-01,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
CombativeOneInfant,Pending,3.2,170.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,True,,,7.0,,,,,False,False,Pending
