user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
yalpaks,Pending,3.1,170.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
FreeSpicyWeasel,Waitlisted,3.44,160.0,5-9 years,,2024-09-07,2024-09-08,2024-10-09,2024-11-12,,,2025-01-28,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,True,,regular,5.0,,,,,False,False,Waitlisted
YellowOffbeatWyrm,Accepted,3.82,159.0,1-4 years,"$45,000",,,,,,,2025-03-21,Regular Decision,2025-06-13T15:24:42Z,45000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
KayleighRoseAmstutz,Rejected,2.8,169.0,1-4 years,,,,,,,,2025-06-12,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Rejected
JMDeRo28,Rejected,3.61,160.0,1-4 years,,2024-12-21,2024-12-22,2025-02-06,2025-03-25,,,2025-03-27,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
BroadGlisteningReader,Accepted,3.96,173.0,0 years (KJD),,,,,,,,2025-01-21,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
LiterallyOatMilk,Rejected,3.38,159.0,,,2025-02-01,2025-02-01,,,,,2025-03-06,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
LawDawg831,Rejected,2.9,155.0,,,,,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
NaiveProbableMinotaur,Rejected,,,,,,,,,,,2025-03-28,,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,True,False,False,False,False,False,,,,,,,,False,False,Rejected
ConfusedHarshCat,Waitlisted,3.5,167.0,,,2025-03-01,,,,,,2025-04-22,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
CombativeOneInfant,Pending,3.2,170.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,True,,,7.0,,,,,False,False,Pending
FriendlyShark,Pending,3.4,163.0,1-4 years,,2024-10-25,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
reebs024,Rejected,3.3,153.0,,,,2025-04-03,,,,,2025-05-07,,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
GoldenTortilla,"WL, Withdrawn",3.9,156.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,True,False,True,False,False,False,,regular,,,,,,False,False,WL
MinorVariousPanda,Accepted,3.89,149.0,1-4 years,"$45,000",2024-12-11,,,,,,2025-01-24,Regular Decision,2025-06-13T15:24:42Z,45000,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
VictoriousWillingBunny,Rejected,3.8,153.0,,,,,,,,,2025-02-13,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
NiftyNaughtyBloodhound,Pending,3.73,160.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
