user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
TheAdoptedOne,Rejected,3.32,163.0,1-4 years,,2024-09-27,,2024-09-27,2024-11-15,,,2025-02-11,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
CombativeOneInfant,Pending,3.2,170.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,True,,,7.0,,,,,False,False,Pending
legalkiwi,wl_rejected,4.1,159.0,,,2024-11-14,2024-11-15,,,,,2025-03-26,Regular Decision,2025-08-27T01:34:31Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,wl_rejected
LiterallyOatMilk,Rejected,3.38,159.0,,,2025-02-02,2025-02-03,2025-02-05,,,,2025-04-08,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
CrazyCookieBat,Rejected,3.66,162.0,1-4 years,,2025-01-31,,,,,,2025-03-18,,2025-06-13T15:24:42Z,,False,,True,,True,Other,False,True,False,False,False,False,False,,,4.0,,,,,False,False,Rejected
SpicyPotato,Pending,,169.0,1-4 years,,2025-02-02,,2025-02-05,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,East Asian,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
FriendlyShark,Pending,3.4,163.0,1-4 years,,2024-10-24,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
MelodicSeemlyBison,Pending,3.33,154.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,True,,,0.0,,,,,False,False,Pending
NaiveProbableMinotaur,Waitlisted,,,,,,,,,,,2025-03-17,,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
seeingstarz,Rejected,3.7,160.0,,,2025-01-02,2025-01-02,2025-01-02,2025-01-04,,,2025-03-10,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
gshrimpy,Pending,3.85,,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
ReconditePeacefulCobra,Waitlisted,3.85,165.0,,,2024-12-31,2025-01-01,,,,,2025-03-17,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
WiryGoodPuppy,Pending,3.4,168.0,10+ years,,2025-01-25,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,True,,regular,15.0,,,,,False,False,Pending
kwexler888,"WL, Withdrawn",3.57,166.0,1-4 years,,2024-11-27,,,,,,2025-02-11,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,True,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
TearfulScaredNewt,"WL, Withdrawn",,,,,2024-10-22,,,,,,2025-02-11,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
SpottyPerpetualBrain,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ChunkyIrateManatee,"WL, Withdrawn",3.73,161.0,1-4 years,,2024-12-07,2024-12-08,,2024-12-12,,,2025-03-17,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Multiracial,False,True,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
SynonymousChubbySombrero,Pending,3.3,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PuzzlingDustyJackal,"WL, Withdrawn",3.71,161.0,,,2025-03-15,,,,,,2025-04-21,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
wharfrat,Waitlisted,3.11,175.0,,,2024-11-28,2024-11-28,2024-12-04,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
LlamaFace,Accepted,3.49,167.0,,"$45,000",,,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:43Z,45000,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
GreyInquisitiveSheep,Waitlisted,3.64,164.0,,,2024-11-03,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
FamiliarPuffyFowl,Rejected,3.08,158.0,1-4 years,,2025-02-03,,,,,,2025-04-08,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Other,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
jached,Pending,3.76,,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
AnxiousDreamer,"WL, Withdrawn",4.18,163.0,0 years (KJD),,2025-01-30,,,,,,2025-03-17,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,East Asian,False,True,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
heroinmelo,Waitlisted,3.58,157.0,1-4 years,,2024-12-15,2024-12-16,2024-12-17,,,,2025-03-17,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
SilchasRuin,Accepted,3.89,177.0,,"$145,500",,,,,,,2025-03-21,,2025-06-13T15:24:43Z,145500,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PuffyDefiantGorgon,Accepted,4.15,170.0,,"$154,000",,,,,,,2025-01-28,,2025-06-13T15:24:43Z,154000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
YellowOffbeatWyrm,Waitlisted,3.82,159.0,1-4 years,,,,,,,,2025-03-17,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Waitlisted
TwentyEight,Pending,3.71,171.0,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Pending
ImperfectQuixoticWolfHound,Pending,3.75,160.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
