user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
CombativeOneInfant,Pending,3.2,170.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,True,,,7.0,,,,,False,False,Pending
CrazyCookieBat,Accepted,3.66,162.0,1-4 years,"$75,000",2025-01-31,,,,,,2025-04-03,,2025-06-13T15:24:42Z,75000,False,,True,,True,Other,False,True,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
arodr051,Waitlisted,3.34,161.0,5-9 years,,,,,,,,2024-12-18,,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,6.0,,,,,False,False,Waitlisted
LawDawg831,Rejected,2.9,155.0,,,,,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
stompy-shoe,Waitlisted,3.93,165.0,1-4 years,,2024-12-26,2024-12-26,2024-12-26,,,,2025-01-28,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Waitlisted
NaiveProbableMinotaur,Accepted,,,,,,,,,,,2025-02-14,,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
FriendlyShark,Accepted,3.4,163.0,1-4 years,"$75,000, Conditional",2024-10-25,,,,,,2024-12-18,Regular Decision,2025-06-13T15:24:42Z,75000,True,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
WiryGoodPuppy,Waitlisted,3.4,168.0,10+ years,,2024-12-12,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,True,,regular,15.0,,,,,False,False,Waitlisted
RapidMindlessBandit,"WL, Withdrawn",3.61,156.0,,,2024-12-04,,,,2025-01-10,,2025-05-29,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
ScoLegalDucks,Pending,3.72,165.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
TastyDispensableZebra,Waitlisted,3.6,167.0,,,,,,,,,2025-02-14,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
Halleluyuh,Accepted,3.78,164.0,,,2024-12-01,2024-12-01,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
kwexler888,"WL, Withdrawn",3.57,166.0,1-4 years,,2024-11-27,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,,False,True,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
NonstopMacabreLemming,Accepted,3.93,158.0,,,,,,,,,2025-03-25,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
catsinlawschool,"WL, Withdrawn",3.8,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,False,False,True,False,False,False,,,2.0,,,,,False,False,WL
SpikyRebelWolverine,Waitlisted,3.72,168.0,,,2024-12-03,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
ULB,Rejected,3.07,160.0,5-9 years,,2024-12-01,2024-12-02,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Rejected
YellowOffbeatWyrm,Accepted,3.82,159.0,1-4 years,"$30,000",,,,,,,2025-02-14,Regular Decision,2025-06-13T15:24:43Z,30000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
NiftyNaughtyBloodhound,pending,3.73,160.0,1-4 years,,,,,,,,,Regular Decision,2025-09-02T17:03:34Z,,False,,True,Unsolicited,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,pending
LiterallyOatMilk,Rejected,3.38,159.0,,,2024-10-31,,,,,,2024-12-18,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
GreyInquisitiveSheep,Accepted,3.64,164.0,,"$75,000, Conditional",2024-10-27,,,,,,2024-11-18,Regular Decision,2025-06-13T15:24:43Z,75000,True,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
FastRainyChameleon,Pending,3.13,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
sprbss,Accepted,2.97,168.0,0 years (KJD),"$80,000",,,,,,,2025-01-05,,2025-06-13T15:24:43Z,80000,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
xfxny,Pending,,158.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,East Asian,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
Verymindfulverydemure,"WL, Withdrawn",3.9,157.0,,,2025-02-01,2025-02-03,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,True,Black or African American,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
HatefulExcellentPizza,"WL, Withdrawn",4.0,154.0,,,2025-01-29,2025-01-30,2025-01-30,2025-02-05,,,2025-03-12,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,,False,True,False,True,False,False,False,,regular,,,,,,False,False,WL
FamiliarPuffyFowl,Rejected,3.08,158.0,1-4 years,,2025-02-02,,,,,,2025-04-01,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Other,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
GreedyFlippantFalcon,Waitlisted,3.67,177.0,1-4 years,,2024-11-27,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
PinkyDolphin,Pending,3.84,157.0,,,2025-01-15,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ProductiveExpensiveOcelot,"WL, Withdrawn",4.11,174.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,True,False,False,False,,,0.0,,,,,False,False,WL
ThugPug,Rejected,2.97,155.0,5-9 years,,2025-03-03,2025-03-04,2025-03-04,2025-03-06,,,2025-04-01,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
beanboi17,"WL, Withdrawn",3.75,174.0,,,2024-12-04,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,True,Hispanic/Latino,False,True,False,True,False,False,False,,regular,,,,,,False,False,WL
sniper,Accepted,3.83,165.0,,"$75,000, Conditional",2024-12-02,,,,,,2025-01-24,Regular Decision,2025-06-13T15:24:43Z,75000,True,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
WarlikecompetentDog,Pending,3.2,158.0,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,6.0,,,,,False,False,Pending
