user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
MiniatureCarefulLettuce,Waitlisted,3.75,176.0,1-4 years,,,2024-12-04,,,,,2025-03-14,,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Waitlisted
JumbledBizarreBuffalo,Rejected,3.99,167.0,,,,,,,,,2025-04-07,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
LegallyBlondeAF,Waitlisted,3.87,174.0,,,,,,,,,2024-11-12,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
CharmingSmoothBee,Rejected,3.4,164.0,1-4 years,,2024-11-24,2024-11-26,2024-11-26,,,,2025-02-13,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
HarrysLaw,Pending,4.0,,,,2025-01-31,2025-01-31,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
NonchalantRichWarthog,Rejected,3.63,175.0,1-4 years,,,2024-11-30,2024-12-03,,,,2025-03-10,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,True,"Fired once (some schools ask abt this, some don't)",,1.0,,,,,False,False,Rejected
cougaracha,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
AllegedEnchantingTerrier,Waitlisted,3.55,176.0,0 years (KJD),,2025-01-01,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
ShrillRottenMongoose,Rejected,3.73,,,,2024-12-22,2024-12-23,2024-12-27,,,,2025-03-03,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,164.0,163.0,4.0,,False,False,Rejected
ScaredCapriciousSatyr,"waitlisted, Withdrawn",3.89,171.0,1-4 years,,2024-11-29,,2024-12-03,,,2025-06-18,2025-02-03,Regular Decision,2025-08-15T13:56:03Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,4.0,,,,,False,False,waitlisted
WiryGoodPuppy,Rejected,3.4,168.0,10+ years,,2024-11-14,,,,,,2024-12-10,Early Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,True,,early,15.0,,,,,False,False,Rejected
splitter20242025,Rejected,3.3,172.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
Barbzstayinschoolll,Waitlisted,3.91,160.0,1-4 years,,2024-12-11,,,,,,2025-03-11,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
yalpaks,Pending,3.1,170.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
kallyce,Pending,3.77,152.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CombativeOneInfant,Pending,3.2,170.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,True,,,7.0,,,,,False,False,Pending
HomelyCloudyBird,Accepted,4.06,168.0,1-4 years,,,,,,,,2024-12-12,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
smallmangopudding,Waitlisted,4.03,170.0,1-4 years,,2024-12-06,,,,,,2025-03-14,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,East Asian,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
Closekarma,Waitlisted,3.64,172.0,,,,,,,,,2025-02-11,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Other,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
StormyKraken,"wl_accepted, Withdrawn",3.98,168.0,,"$30,000",,,,,,,2025-06-10,Regular Decision,2025-06-30T01:39:19Z,30000,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,wl_accepted
oelhatab,Accepted,3.84,173.0,,"$75,000",,,,,,,2024-12-12,Regular Decision,2025-06-13T15:24:42Z,75000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
CrazyCookieBat,Rejected,3.66,162.0,1-4 years,,2025-01-31,,,,,,2025-03-31,,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,True,False,False,False,False,False,,,4.0,,,,,False,False,Rejected
PreciousAboardDemogorgon,Waitlisted,3.86,173.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
thugsbunny,Waitlisted,3.3,176.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
BigFaceBuddha180,Accepted,3.94,165.0,,,,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
naturelover01,Rejected,3.92,156.0,1-4 years,,2024-11-10,2024-11-10,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
AmazingFaithfulMouse,Rejected,3.9,167.0,,,2024-10-28,,,,,,2025-01-06,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
matchagirl,Rejected,3.93,161.0,,,2024-10-30,,,,,,2025-01-13,,2025-06-13T15:24:42Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
iLuvLarry2025,Rejected,3.7,166.0,5-9 years,,2024-12-27,,2024-12-28,2025-04-17,,,2025-04-28,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,6.0,,,,,False,False,Rejected
Pabloandnala98,Pending,3.59,172.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
CompleteTackyManta,"WL, Withdrawn",3.97,174.0,1-4 years,,2024-12-01,,2024-12-04,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Other,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
LewdFamiliarWalrus,Rejected,4.07,165.0,,,2024-11-16,,2024-11-19,,,,2025-01-22,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
LSACvictim,Pending,3.88,161.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
ExpensiveParchedSnail,Rejected,3.85,164.0,,,2024-10-27,2024-10-28,2024-10-28,,,,2025-01-06,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
TerribleObservantBasilisk,"WL, Withdrawn",3.71,176.0,1-4 years,,2025-01-30,2025-01-31,2025-01-31,,,,2025-03-31,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
DisinterestRates,"WL, Withdrawn",4.0,175.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,True,False,False,False,,,1.0,,,,,False,False,WL
wharfrat,Pending,3.11,175.0,,,2024-12-02,2024-12-03,2024-12-03,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
CrowdedMaliciousBuzzard,"WL, Withdrawn",3.89,174.0,0 years (KJD),,2024-11-28,,,,,,2025-03-05,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Other,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
DiligentBrightRabbit,"WL, Withdrawn",3.99,168.0,,,2024-11-08,2024-11-08,2024-11-09,,,,2025-01-14,,2025-06-13T15:24:42Z,,False,,False,,True,Multiracial,False,False,False,True,False,False,False,,,,,,,,False,False,WL
FriendlyShark,Rejected,3.4,163.0,1-4 years,,2024-10-27,,,,,,2025-01-06,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
Bbongbboongee,Rejected,3.86,169.0,1-4 years,,,,,,,,2025-02-02,Early Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,early,2.0,,,,,False,False,Rejected
TenThirdDog,Waitlisted,3.34,177.0,,,2025-02-19,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
MichealRoss,Rejected,3.78,166.0,1-4 years,,,,,,,,2025-01-26,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
Deimos,Pending,3.86,168.0,,,2024-12-03,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
SmolButterGremlin,Rejected,3.81,161.0,,,,,,,,,2025-04-09,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
PoppingPenguin,"WL, Withdrawn",3.85,174.0,1-4 years,,2025-01-22,2025-01-23,2025-01-25,,,,2025-03-24,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,East Asian,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
FaithfulUppityEagle,"WL, Withdrawn",4.23,173.0,,,2024-10-30,2024-10-31,2024-11-01,,,,2025-01-13,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
IndustriousFantasticCrow,"WL, Withdrawn",3.97,176.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,0.0,,,,,False,False,WL
