user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Dam,Rejected,3.67,146.0,10+ years,,,,,,,,2025-03-25,,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,10.0,,,,,False,False,Rejected
Leegion555,"WL, Rejected",3.73,144.0,,,,,,,,,2025-01-27,,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,"WL, Rejected"
freeloading,Rejected,3.7,145.0,5-9 years,,2025-01-21,,,,,,2025-03-13,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Rejected
Kstepper,Pending,3.99,153.0,,,2025-02-03,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LS21,Pending,2.39,164.0,5-9 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Pending
TameDisillusionedMoth,Pending,2.9,160.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
madsinlaw,Accepted,3.77,157.0,1-4 years,"$16,581",2025-01-28,,,,,,2025-02-26,,2025-06-13T15:24:44Z,16581,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
breenajeanjellybean,Pending,3.22,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
eastcoast,Pending,3.8,151.0,,,2025-03-24,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
CooingDeafeningHydra,Pending,2.08,158.0,1-4 years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,True,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
AspiringLawMya,Pending,3.5,153.0,,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Foreignlawschoolgirl,Accepted,3.58,156.0,1-4 years,"$12,436, Conditional",2024-11-01,2024-11-04,,2024-11-19,,,2024-12-12,,2025-06-13T15:24:48Z,12436,True,,True,,True,Black or African American,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
blactina444,Pending,3.53,,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
OVOLawHer,Accepted,3.23,155.0,1-4 years,"$3,109",,,,,,,2025-05-08,,2025-06-13T15:24:49Z,3109,False,,False,,True,Black or African American,False,False,False,False,False,False,True,"attempt to elude, dui",,2.0,,,,,False,False,Accepted
hopinforthebestt,Accepted,3.3,147.0,1-4 years,,2025-02-05,2025-02-07,,,,,2025-06-03,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
DomineeringObsceneCentaur,Rejected,3.2,143.0,1-4 years,,,,,,,,2025-04-16,,2025-06-13T15:24:49Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
unsightlyblackhead,Pending,3.8,161.0,,,,,,,,,,,2025-06-13T15:24:50Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
MightyUnusualWretch,Accepted,3.7,160.0,,"$24,872",,,,,,,2024-12-13,Regular Decision,2025-06-13T15:24:50Z,24872,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Asiangirlevery1hates,Pending,3.71,,,,,,,,,,,,2025-06-13T15:24:50Z,,,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
sssuperssspliter,Pending,,,,,,,,,,,,,2025-06-13T15:24:51Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
YouGotThisLetsGo,Pending,3.54,153.0,,,2024-12-19,,,,,,,,2025-06-13T15:24:54Z,,False,,True,,False,East Asian,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
TempUser4729,Rejected,3.3,154.0,,,,,,,,,2025-06-09,,2025-06-13T15:24:54Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
BagelCat30141,Accepted,3.37,179.0,10+ years,"$16,853",,,,,,,2025-02-26,,2025-06-13T15:24:54Z,16853,False,,False,,False,White,False,False,False,False,False,False,False,,,11.0,,,,,False,False,Accepted
AdorableTiredCarrot,Pending,3.55,159.0,5-9 years,,,,,,,,,,2025-06-13T15:24:55Z,,,,False,,False,White,False,False,False,False,False,False,False,,,8.0,,,,,False,False,Pending
colombianellewoods,Pending,3.6,148.0,,,,,,,,,,,2025-06-13T15:24:55Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
RaggedAbjectKitten,Pending,2.7,154.0,5-9 years,,2024-12-09,,,,,,,Regular Decision,2025-06-13T15:25:01Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Pending
CommonThirstyHammerhead,Rejected,2.99,146.0,,,2025-02-15,2025-02-16,2025-02-17,2025-03-31,2025-04-18,,2025-05-15,,2025-06-13T15:25:06Z,,False,,False,,True,Other,False,False,False,False,False,False,True,Academic Probation,,,,,,,False,False,Rejected
Selah,Pending,2.86,147.0,,,,,,,,,,,2025-06-13T15:25:29Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
futurehbculawstudent,"Accepted, Attending",3.35,147.0,1-4 years,,2025-02-27,,,,,,2025-05-20,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,True,Black or African American,False,False,False,False,True,False,False,,regular,4.0,,,,,False,False,Accepted
MountainousSpectacularBarracuda,"Accepted, Withdrawn",3.95,155.0,0 years (KJD),,2025-02-27,,,,,,2025-04-15,Regular Decision,2025-06-13T15:24:55Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,Accepted
Sianisushi,Pending,2.81,,1-4 years,,,,,,,,,,2025-06-13T15:26:11Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
UnknownM,"accepted_withdrawn, Withdrawn",3.97,151.0,1-4 years,"$24,872, For first year",2025-03-28,2025-03-28,2025-04-02,2025-04-10,2025-04-14,,2025-04-28,Regular Decision,2025-06-18T17:24:51Z,24872,False,For first year,False,,True,Black or African American,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,accepted_withdrawn
WhisperingTalentedFox,"Withdrawn, Withdrawn",,,,,,,,,,,,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,Withdrawn
MacaroniNSneeze,"Accepted, Withdrawn",2.9,154.0,10+ years,"$8,290",2025-02-05,2025-02-06,2025-02-06,2025-02-14,,,2025-03-04,Regular Decision,2025-06-13T15:24:47Z,8290,False,,True,,True,Black or African American,False,False,False,True,False,False,False,,regular,15.0,,,,,False,False,Accepted
LittleStereotypedBrain,"Accepted, Withdrawn",3.2,150.0,5-9 years,"$12,436",2024-11-22,,,,,,2024-12-13,Regular Decision,2025-06-13T15:24:49Z,12436,False,,False,,True,Black or African American,False,False,False,True,False,False,False,,regular,7.0,,,,,False,False,Accepted
LetHerCook,"Accepted, Withdrawn",3.48,151.0,1-4 years,"$12,436, Conditional",2025-01-09,2025-01-10,2025-01-13,2025-02-02,2025-03-04,,2025-03-06,Regular Decision,2025-06-13T15:24:49Z,12436,True,,False,,True,Black or African American,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,Accepted
Hugostiglits37,"Accepted, Withdrawn",3.2,160.0,5-9 years,"$37,308, Conditional",2025-03-14,,,,,,2025-04-16,Regular Decision,2025-06-13T15:24:55Z,37308,True,,True,,False,White,False,False,False,True,False,False,False,,regular,5.0,160.0,158.0,4.5,,False,False,Accepted
Arctic-Orca,"Accepted, Withdrawn",3.47,154.0,1-4 years,"$37,308",2024-10-31,,,,,2024-12-13,2025-01-21,Regular Decision,2025-06-13T15:25:01Z,37308,False,,False,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,Accepted
BreakableBoilingGriffin,"Accepted, Withdrawn",2.81,161.0,5-9 years,"$6,182, Conditional",2025-02-28,,,,,,2025-05-14,Regular Decision,2025-06-13T15:25:03Z,6182,True,,True,,False,White,True,True,False,True,False,False,False,,regular,5.0,,,,,False,False,Accepted
