user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
1bellybutton3kittycats,Rejected,3.69,162.0,1-4 years,,2024-11-26,2024-11-26,2024-11-28,2024-12-02,,,2025-03-27,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
AbnormalNosyBanshee,Pending,3.02,169.0,,,2024-10-16,,,,,,,Early Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,False,,early,,,,,,False,False,Pending
Mriswith88,Rejected,2.55,168.0,10+ years,,,,,,,,2025-05-14,,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,12.0,,,,,False,False,Rejected
grandmasterpickle,Rejected,3.04,158.0,0 years (KJD),,2024-12-31,2024-12-31,2025-01-02,2025-01-02,,,2025-01-24,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
bigbluelawyer,Pending,,,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
PrimalHotDoggs69,Accepted,3.78,171.0,,"$77,412",2024-09-16,2024-09-16,,2024-09-27,,,2024-11-08,Regular Decision,2025-06-13T15:24:42Z,77412,False,,True,,False,East Asian,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
CMAC858,"WL, Rejected",3.85,168.0,1-4 years,,,2024-11-19,,2024-11-20,,,2025-06-12,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,"WL, Rejected"
TriteKnownCalf,Pending,3.72,166.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
tennisgirl303,Waitlisted,3.55,160.0,,,2024-11-27,,,,2025-01-15,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
PanoramicUsefulSpider,Pending,2.83,174.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,2.0,166.0,159.0,5.0,,False,False,Pending
