user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
AllegedEnchantingTerrier,Waitlisted,3.55,176.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
despoteaux,Rejected,3.11,167.0,0 years (KJD),,2025-01-02,2025-01-02,2025-01-02,2025-01-03,,,2025-02-26,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
ConfusedHarshCat,Waitlisted,3.5,167.0,,,2025-02-04,,,,,,2025-03-17,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
HarrysLaw,Pending,4.0,,,,2025-02-01,2025-02-01,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
profpessimist1601,Rejected,3.89,162.0,1-4 years,,2024-12-01,,,,,,2025-02-04,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
DarkDrunkIguana,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
WiryGoodPuppy,Pending,3.4,168.0,10+ years,,2025-01-13,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,True,,regular,15.0,,,,,False,False,Pending
NonstopMacabreLemming,Waitlisted,3.93,158.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
WillingSwiftMoose,Rejected,3.62,160.0,,,2024-11-04,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
kk123456,Accepted,4.0,169.0,,"$120,000",2024-10-30,,,,,,2024-11-19,Regular Decision,2025-06-13T15:24:42Z,120000,False,,True,,False,White,False,False,False,False,False,False,True,,regular,,,,,,False,False,Accepted
madonnainafurcoat,"WL, Withdrawn",3.93,162.0,1-4 years,,,,,,,,2025-03-17,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,True,False,False,False,,,2.0,,,,,False,False,WL
PluckyKeenLoon,Rejected,3.88,165.0,1-4 years,,,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
NonstopAncientLeek,Rejected,3.01,164.0,,,2024-09-13,2024-09-13,2024-09-13,2024-09-13,,,2025-02-05,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
ImpartialNebulousBee,Pending,3.86,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
GapingPeriodicDingo,"WL, Withdrawn",3.86,167.0,,,2024-10-01,,,,,,2025-01-16,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
PresentSuccinctSquirrel,"WL, Withdrawn",4.06,164.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,East Asian,False,False,False,True,False,False,False,,,1.0,,,,,False,False,WL
MassiveWrathfulDandelion,Pending,3.4,169.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
MuteYoungAardvark,Rejected,3.63,167.0,1-4 years,,2024-11-06,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
boopboopbop,Waitlisted,3.99,166.0,,,2024-10-02,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
BoredAccidentalPenguin,Rejected,3.59,160.0,1-4 years,,2024-11-06,,,2024-11-08,,,2025-01-27,,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
PricklyPurplePear,Rejected,3.55,158.0,,,2025-02-01,2025-02-02,2025-02-05,2025-02-06,,,2025-02-26,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
Ach3lois,"WL, Withdrawn",3.9,166.0,1-4 years,,2024-12-06,2024-12-06,2024-12-06,2024-12-06,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
SilentSillyGoose,Waitlisted,3.91,160.0,1-4 years,,2025-02-06,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Waitlisted
JuvenileLuxuriantDalmatian,"WL, Withdrawn",3.88,168.0,1-4 years,,2024-11-13,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
LaniusLacrimosus,Waitlisted,4.0,169.0,0 years (KJD),,2025-01-27,2025-01-27,2025-01-27,,,,2025-03-17,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
hcarralero2005,wl_rejected,3.93,168.0,0 years (KJD),,,,,,,,2025-04-07,Regular Decision,2025-07-23T18:34:27Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,wl_rejected
DirefulTalentedMule,Rejected,3.79,164.0,1-4 years,,2024-11-27,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
PrelawGirly,"WL, Withdrawn",4.0,171.0,1-4 years,,,2024-12-27,2024-12-28,,,,2025-03-17,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
angryporcupine,Rejected,3.92,162.0,,,2024-11-16,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
TimidPebble,"WL, Withdrawn",3.88,166.0,1-4 years,,2024-09-27,,,,,,2025-03-17,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,True,Hispanic/Latino,False,True,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
VanishingPondHater,"WL, Rejected",3.77,167.0,1-4 years,,2024-10-11,,,2024-10-17,,,2025-03-31,Early Decision → Regular Decision,2025-06-13T15:24:43Z,,False,,True,Fee Waiver given after touring school,False,White,False,False,False,False,False,False,True,Noise Complaint,ed-to-rd,1.0,,,,,False,False,"WL, Rejected"
thelionessinside,"WL, Withdrawn",3.76,170.0,,,2025-01-26,2025-01-26,2025-02-05,2025-02-05,,,2025-03-17,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
