user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
ImpartialNebulousBee,Pending,3.86,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
greatvalueellewoods,Accepted,3.91,166.0,1-4 years,"$105,000, Conditional",,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:42Z,105000,True,,False,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
TannerBananer,"WL, Withdrawn",3.91,156.0,1-4 years,,2024-12-03,2024-12-03,2024-12-17,2025-01-27,,,2025-02-05,Regular Decision,2025-06-13T15:24:43Z,,False,,True,Requested,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
AbundantElatedTank,Accepted,3.93,179.0,0 years (KJD),"$42,000",,,,,,,2025-02-20,,2025-06-13T15:24:43Z,42000,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
Maxmax,"WL, Withdrawn",3.55,158.0,,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,WL
Carolina17,Waitlisted,3.62,158.0,0 years (KJD),,2025-01-04,2025-01-06,,,,,2025-02-14,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
OpenTheGate,Accepted,,,5-9 years,,,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Accepted
TwilightStormDragon,"WL, Withdrawn",3.95,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
TomorrowisAlreadyHere8097,Waitlisted,3.9,155.0,0 years (KJD),,2024-11-27,,,2025-01-27,,,2025-02-06,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
NavyRooster,Rejected,2.85,158.0,,,,2025-01-13,,2025-02-13,2025-02-21,,2025-02-25,,2025-06-13T15:24:43Z,,False,,True,,False,,True,False,False,False,False,False,True,,,,,,,,False,False,Rejected
MrHopOutThatVehicleAndWalkEmDownOnAWednesday,Accepted,3.94,168.0,,"$21,000",,,,,,,2025-04-14,,2025-06-13T15:24:43Z,21000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
sltmich21,Pending,2.22,163.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,True,,,3.0,,,,,False,False,Pending
SecondEquableBluebird,Waitlisted,3.36,152.0,,,2024-12-06,2024-12-06,2024-12-10,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
TheKAF,Rejected,3.4,157.0,1-4 years,,2024-11-22,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
CondemnedLawyer,Rejected,3.58,153.0,5-9 years,,2025-01-02,,,2025-02-07,,,2025-02-14,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Hispanic/Latino,True,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Rejected
MushyCow,Accepted,3.86,160.0,,"$78,000",2025-01-29,,,2025-02-21,,,2025-02-28,,2025-06-13T15:24:44Z,78000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
EncouragingGentlePotato,Rejected,3.4,154.0,5-9 years,,,2025-01-21,,,,,2025-03-10,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,7.0,,,,,False,False,Rejected
SleepyOutrageousRoadrunner,Accepted,3.49,155.0,1-4 years,"$30,000, Conditional",2024-12-15,2024-12-15,2024-12-15,,,,2025-02-12,Regular Decision,2025-06-13T15:24:44Z,30000,True,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
Yourboimason,Accepted,3.37,158.0,,"$54,000",,,,,,,2025-01-17,,2025-06-13T15:24:44Z,54000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ZUKI,Rejected,,,,,,,,,,,2025-03-24,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
LadyLothlorien,Rejected,2.3,163.0,5-9 years,,2025-01-09,,2025-01-10,2025-02-07,,,2025-02-25,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Other,False,False,False,False,False,False,True,academic probation,regular,6.0,,,,,False,False,Rejected
Ekalpooc,Rejected,3.48,157.0,1-4 years,,,,,,,,2025-04-04,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
chicagocubsfan1744,Rejected,3.63,154.0,1-4 years,,2025-02-05,2025-02-05,2025-02-06,2025-02-27,,,2025-03-07,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
RapidSpitefulOctopus,Waitlisted,3.94,157.0,1-4 years,,2024-11-27,2024-11-27,2024-12-02,2025-01-27,,,2025-02-05,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
WarmNinePrawn,Waitlisted,3.51,157.0,0 years (KJD),,,,,,,,2025-01-28,,2025-06-13T15:24:45Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
TrickyMomentousOcelot,Pending,,,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SynonymousSpikyCheetah,Rejected,3.18,151.0,1-4 years,,2024-09-15,,,,,,2024-12-03,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Rejected
BlueBunny,Accepted,3.84,160.0,1-4 years,"$81,000",2024-09-22,,,,,,2024-12-06,Regular Decision,2025-06-13T15:24:45Z,81000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
PepsiRolex,"WL, Withdrawn",3.05,,,,2024-10-09,,,,,,2024-12-13,Regular Decision,2025-06-13T15:24:54Z,,False,,False,,True,Other,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
ShakySmoggyCockroach,Waitlisted,3.27,156.0,5-9 years,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,,True,False,False,False,False,False,False,,,5.0,,,,,False,False,Waitlisted
gullibleprune,Rejected,3.26,157.0,5-9 years,,,,,,,,2025-02-25,,2025-06-13T15:24:46Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,9.0,,,,,False,False,Rejected
GorgeousFlawlessHare,Pending,3.75,153.0,,,2025-01-31,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
QueenSwissMiss,Waitlisted,3.0,164.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
rchandler15,Accepted,3.59,157.0,,,,,,,,,2025-02-05,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
eightgod,Accepted,3.72,173.0,,"$45,000",2024-12-02,,,,,,2025-02-05,Regular Decision,2025-06-13T15:24:46Z,45000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
NillaGorilla,Accepted,3.51,162.0,1-4 years,"$78,000, Conditional",,,,,,,2025-01-27,,2025-06-13T15:24:46Z,78000,True,,False,,True,Multiracial,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
SourElderlyManatee,"WL, Withdrawn",2.95,163.0,10+ years,,2024-11-11,2024-11-11,2024-11-12,2025-01-16,,,2025-01-27,Regular Decision,2025-06-13T15:24:55Z,,False,,True,,False,,False,False,False,True,False,False,True,,regular,10.0,,,,,False,False,WL
CashCarti,Accepted,3.69,158.0,,"$60,000",,,,,,,2025-02-28,,2025-06-13T15:24:46Z,60000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
DurangoNinetyFive,Pending,2.75,166.0,10+ years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,True,False,False,False,False,False,False,,,10.0,,,,,False,False,Pending
DefectiveDetective,Accepted,3.2,163.0,5-9 years,"$60,000",,,,,,,2025-02-05,,2025-06-13T15:24:46Z,60000,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
legALLY11,Rejected,3.59,144.0,,,,,,,,,2025-02-05,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
HugeHolisticAngelfish,Rejected,3.78,154.0,5-9 years,,2024-12-10,,2025-02-12,,,,2025-02-12,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,,False,False,False,False,False,False,True,,regular,5.0,,,,,False,False,Rejected
Steel2Law1997,Rejected,2.84,165.0,1-4 years,,2025-02-05,2025-02-05,2025-02-06,2025-02-26,,,2025-03-07,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,True,"2 traffic tickets, academic probation 1st semester of undergrad, academic dismissal due to health issues that was removed but disclosed",regular,4.0,,,,,False,False,Rejected
FluffyHappyCattle,"WL, Withdrawn",3.92,149.0,1-4 years,,2024-09-30,,,,,,2024-12-10,Regular Decision,2025-06-13T15:24:59Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
foundingmother,Waitlisted,3.44,157.0,0 years (KJD),,2025-03-13,,,2025-04-03,,,2025-04-11,,2025-06-13T15:24:47Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
UtopianVengefulChicken,Waitlisted,3.76,158.0,,,,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
QuickestSwelteringCuscus,Waitlisted,3.45,156.0,1-4 years,,,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Waitlisted
Lincolnlawyer1,Rejected,3.66,154.0,5-9 years,,2024-10-23,,,,,,2025-01-17,,2025-06-13T15:24:50Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Rejected
Ginnysfunnyear,Accepted,3.86,165.0,,,,,,,,,2025-02-25,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
CosmicWanderer,Rejected,3.89,155.0,10+ years,,2025-03-18,2025-03-18,2025-03-19,2025-04-11,2025-04-11,2025-04-11,2025-04-11,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,False,White,True,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Rejected
SadboyGerald,Rejected,2.3,164.0,,,2024-11-01,,,,,,2025-01-17,,2025-06-13T15:24:47Z,,False,,True,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
RambunctiousCapriciousClam,Accepted,3.67,162.0,1-4 years,"$24,000",2024-09-17,,,,,,2024-12-06,Regular Decision,2025-06-13T15:24:48Z,24000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
SpiritualFeebleClown,Rejected,2.9,162.0,1-4 years,,,,,,,,2025-01-17,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
AngryAmbiguousOstrich,Pending,,,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SadSuperReverseSplitter,Rejected,3.97,149.0,0 years (KJD),,,,,,,,2025-04-03,Regular Decision,2025-06-13T15:24:48Z,,False,,True,Request,False,White,False,False,False,False,False,False,True,Underage Possession of Alc,regular,0.0,,,,,False,False,Rejected
VengefulAbsentPirate,Accepted,3.5,153.0,,"$6,000",,,,,,,2025-03-07,,2025-06-13T15:24:48Z,6000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
HangingAbundantDachshund,Accepted,3.34,163.0,1-4 years,"$60,000, Conditional",2024-12-15,2024-12-15,,,,,2025-02-12,Regular Decision,2025-06-13T15:24:48Z,60000,True,,False,,False,White,False,False,False,False,False,False,True,Academic Probation,regular,2.0,,,,,False,False,Accepted
blanchedevereaux,Pending,,,5-9 years,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,False,,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
Ryankelly081891,Pending,2.98,152.0,,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
dg02,Accepted,3.65,165.0,1-4 years,"$66,000",2025-02-27,2025-02-28,2025-03-01,2025-03-26,,,2024-04-04,Regular Decision,2025-06-13T15:24:49Z,66000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
HystericalGlibEagle,Pending,2.99,,5-9 years,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,False,White,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Pending
cbug03,Accepted,3.99,158.0,0 years (KJD),"$30,000",2024-11-08,,,2025-01-16,,,2025-01-27,,2025-06-13T15:24:49Z,30000,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
UttermostGullibleLynx,Pending,3.23,155.0,0 years (KJD),,2024-09-18,2024-09-19,,,,,,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Pending
KangarooFiveStars,Rejected,3.74,153.0,0 years (KJD),,2025-02-13,,,,,,2025-03-19,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,speeding ticket,regular,0.0,,,,,False,False,Rejected
CalmLivelyCondor,"WL, Withdrawn",3.3,156.0,0 years (KJD),,2024-10-31,2024-11-01,,,,,,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,True,False,False,True,"Use of AI, Poor Sophomore year grades",regular,0.0,,,,,False,False,WL
Jrockyy77,Pending,2.33,160.0,,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ZoodleRoodle,"WL, Withdrawn",2.92,166.0,10+ years,,2025-03-16,2025-03-16,2025-03-19,2025-04-03,,,2025-04-11,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,False,White,False,False,False,True,False,False,True,"academic probation back in 2008, a traffic ticket or two",regular,17.0,,,,,False,False,WL
pds,Pending,3.89,153.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
SecondAcceptableWildebeest,Rejected,3.5,166.0,,,,,,,,,2025-03-01,Regular Decision,2025-06-13T15:24:50Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
PaleDrabBlackbird,Rejected,3.72,152.0,,,2024-11-01,2024-11-04,,,,,2025-01-17,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
WVUHopeful,Accepted,2.89,167.0,5-9 years,"$66,000",2024-10-04,2024-10-04,2024-10-04,,,,2024-12-15,Regular Decision,2025-06-13T15:24:51Z,66000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
EfficaciousHandyWoodpecker,Rejected,3.05,168.0,,,,,2025-01-24,,,,2025-02-28,,2025-06-13T15:24:51Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
HMHAR,Pending,2.7,169.0,,,,,2024-12-21,2025-01-30,,,,,2025-06-13T15:24:51Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
StevieMoe,Pending,3.37,152.0,,,,,,,,,,,2025-06-13T15:24:51Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LoutishNutritiousOwl,Accepted,3.62,165.0,,"$90,000",,,,,,,2025-02-25,Regular Decision,2025-06-13T15:24:51Z,90000,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
MyKinkIsKarma,Rejected,3.34,154.0,,,2025-02-24,2025-02-24,2025-02-24,2025-03-14,,,2025-03-31,Regular Decision,2025-06-13T15:24:52Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
ExultantHomelessManta,Pending,3.84,166.0,10+ years,,,,,,,,,Regular Decision,2025-06-13T15:24:52Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Pending
uglyostrich,Rejected,3.85,154.0,,,,,,,,,2025-05-12,,2025-06-13T15:24:52Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
RottenVersedChicken,Accepted,3.52,161.0,1-4 years,"$75,000",,,,,,,2025-02-25,,2025-06-13T15:24:52Z,75000,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
GruesomeFeebleHyena,Waitlisted,3.95,151.0,5-9 years,,2025-02-11,2025-02-11,2025-02-12,2025-03-07,,,2025-03-19,Regular Decision,2025-06-13T15:24:52Z,,False,,True,,False,,False,True,False,False,False,False,False,,regular,6.0,,,,,False,False,Waitlisted
ChumbaWumba,Accepted,2.9,166.0,5-9 years,"$72,000",,,2024-10-31,,,,2025-01-18,Regular Decision,2025-06-13T15:24:52Z,72000,False,,False,,False,White,True,False,False,False,False,False,False,,regular,7.0,161.0,151.0,3,,False,False,Accepted
ElfinCallousOgre,Rejected,3.86,156.0,0 years (KJD),,,,,,,,2025-01-27,,2025-06-13T15:24:52Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Rejected
LegallyFrond,Waitlisted,2.59,170.0,1-4 years,,,,,,,,2025-02-28,,2025-06-13T15:24:53Z,,False,,False,,False,White,False,False,False,False,False,False,True,"Academic Probation, misdemeanor ticket  ",,3.0,,,,,False,False,Waitlisted
betweentwofires,Waitlisted,3.61,154.0,,,,,,,,,,,2025-06-13T15:24:53Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
JoyousPinkRice,Pending,,,,,,,,,,,,,2025-06-13T15:24:53Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Calthepal,Accepted,3.8,158.0,1-4 years,"$77,999, Conditional",2024-12-11,2024-12-16,,,,,2025-02-12,,2025-06-13T15:24:54Z,77999,True,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
happylawllama,Waitlisted,4.0,155.0,,,,,,,,,,,2025-06-13T15:24:54Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
lawstudent357,Rejected,2.66,165.0,1-4 years,,2024-10-02,2024-12-13,,,,,2025-01-21,Regular Decision,2025-06-13T15:24:54Z,,False,,False,,False,White,False,False,False,False,False,False,True,Minor in Possession ,regular,2.0,,,,,False,False,Rejected
ExcitedAbundantHawk,Waitlisted,3.5,157.0,1-4 years,,,,,,,,2024-12-13,Regular Decision,2025-06-13T15:24:54Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
EqualPluckyOctopus,Rejected,3.4,146.0,,,2025-03-17,2025-03-20,,,,,2025-04-25,Regular Decision,2025-06-13T15:24:54Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
shartman,Pending,3.2,159.0,,,2024-11-12,,,,,,,Regular Decision,2025-06-13T15:24:54Z,,False,,True,,False,White,False,False,False,False,False,False,True,"Academic Misconduct - Lab Report Copying, Small Infraction.",regular,,,,,,False,False,Pending
DebonairLonelySeagull,Pending,3.53,157.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:54Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
NutritiousBoundlessBeaver,Rejected,3.63,156.0,1-4 years,,2025-02-10,,,,,,2025-03-19,Regular Decision,2025-06-13T15:24:55Z,,False,,False,,False,,False,False,False,False,False,False,True,,regular,1.0,,,,,False,False,Rejected
mthegreat,Rejected,3.4,157.0,1-4 years,,,,,,,,2025-03-26,,2025-06-13T15:24:55Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Rejected
NoxiousJellyfish,Pending,3.75,154.0,,,,,,,,,,,2025-06-13T15:24:55Z,,,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Hugostiglits37,Rejected,3.2,160.0,5-9 years,,2025-03-12,,,,,,2025-04-11,Regular Decision,2025-06-13T15:24:55Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,5.0,160.0,158.0,4.5,,False,False,Rejected
AquaticAbrasivePuppy,Pending,3.52,167.0,,,,,,,,,,,2025-06-13T15:24:55Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PlacidPlausibleWalrus,Accepted,3.86,156.0,0 years (KJD),,,,,,,,2025-03-28,,2025-06-13T15:24:57Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
blondebutnotlegal,Pending,3.65,149.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:57Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
IncandescentVersedMacaque,Pending,3.09,163.0,10+ years,,,,,,,,,Regular Decision,2025-06-13T15:24:57Z,,False,,True,,False,,True,False,False,False,False,False,False,,regular,12.0,,,,,False,False,Pending
TheRedBaronPizza,Rejected,2.21,158.0,1-4 years,,,,,,,,2024-12-06,,2025-06-13T15:24:57Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
OhioResident,Pending,3.4,157.0,,,2024-11-13,,,,,,,Regular Decision,2025-06-13T15:24:58Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
NormalAspiringChameleon,Accepted,3.58,160.0,,"$60,000",2025-02-05,,,,,,2025-03-19,Regular Decision,2025-06-13T15:24:58Z,60000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
JaggedAbandonedCatfish,Rejected,3.3,153.0,,,,,,,,,2025-01-27,,2025-06-13T15:24:59Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,True,False,Rejected
Broken-Toaster,Waitlisted,3.5,159.0,1-4 years,,2025-01-09,2025-01-09,2025-01-09,2025-02-13,,,2025-02-25,Regular Decision,2025-06-13T15:25:00Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
ThoughtlessTacitBadger,Waitlisted,3.64,158.0,,,2024-11-12,2024-11-13,2024-11-13,2024-11-19,,,,Regular Decision,2025-06-13T15:25:00Z,,False,,False,,False,White,True,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
AquaticStaleBeagle,Waitlisted,2.7,154.0,5-9 years,,2024-10-18,,,,,,,Regular Decision,2025-06-13T15:25:00Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Waitlisted
Huckleberry19,Accepted,3.67,162.0,1-4 years,"$78,000",2024-12-30,2024-12-30,2024-12-30,,,,2025-02-25,Regular Decision,2025-06-13T15:25:00Z,78000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
Kendallfarley,Pending,3.8,161.0,,,,,,,,,,,2025-06-13T15:25:00Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Lawyerdreams2002,Rejected,3.76,158.0,1-4 years,,,,,,,,2025-04-25,,2025-06-13T15:25:02Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
