user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
K8t-meets-law,Pending,3.98,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
AquaticRampantGoblin,Accepted,3.1,153.0,,"$45,000",,,,,,,2025-02-20,Regular Decision,2025-06-13T15:24:43Z,45000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
DeterminedAmbiguousDragon,Pending,3.77,152.0,,,2024-10-29,2024-11-10,2024-11-01,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
legallydirtyblonde07,Accepted,3.43,155.0,,"$54,000",2024-12-02,2024-12-03,,,,,2025-01-21,,2025-06-13T15:24:43Z,54000,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ManyOver12,Accepted,3.16,150.0,1-4 years,,,,,,,,2025-01-17,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
Iwanttogotolawschoolsobad,Accepted,3.93,152.0,,"$60,000",,,,,,,2025-03-11,,2025-06-13T15:24:44Z,60000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
banish7553,Accepted,3.94,160.0,,"$96,000",,,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:44Z,96000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
GodlyLushAlligator,Accepted,3.8,153.0,,"$70,000",2024-12-28,,,,,,2025-01-28,,2025-06-13T15:24:44Z,70000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
CarelessHatefulDormouse,Pending,4.0,157.0,10+ years,,2024-09-15,2024-09-16,2024-09-16,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,East Asian,True,False,False,False,False,False,False,,regular,11.0,,,,,False,False,Pending
lussygrrrl,Pending,3.93,,,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,153.0,146.0,3.0,,False,False,Pending
Latinaalaw,Pending,3.59,144.0,5-9 years,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,Dismissal,,7.0,,,,,False,False,Pending
Moi-moi,Rejected,2.4,154.0,1-4 years,,2024-11-27,,,,,,2025-01-24,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,True,Academic suspension ,regular,2.0,,,,,False,False,Rejected
Sponge,Accepted,3.81,163.0,0 years (KJD),"$124,947, Full-tuition merit scholarship",2024-11-20,2024-11-20,,,,,2025-01-21,Regular Decision,2025-06-13T15:24:45Z,124947,False,Full-tuition merit scholarship,True,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
UselessZonked,Rejected,3.01,149.0,,,,,,,,,2025-03-07,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
DareDevilDuckling,Rejected,3.1,,0 years (KJD),,2024-10-13,2024-10-14,2025-03-21,,,,2025-05-07,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,0.0,141.0,139.0,4.5,,False,False,Rejected
EqualPluckyOctopus,Pending,3.4,146.0,,,2025-04-15,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
VESA71,Pending,,,,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
MadRosie441,Accepted,3.41,154.0,,"$60,000",,,,,,,2025-03-11,Regular Decision,2025-06-13T15:24:47Z,60000,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
SimSimma,Pending,3.75,151.0,10+ years,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Pending
