user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
TheBrunetteElleWoods,Waitlisted,3.91,161.0,1-4 years,,2024-12-01,,,,,,,,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Waitlisted
RemarkableAggressiveLion,Waitlisted,3.55,158.0,1-4 years,,2025-02-19,2025-02-19,2025-02-20,2025-02-20,,,2025-03-21,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
letmeinplease3,Rejected,3.32,161.0,1-4 years,,2025-02-05,,,2025-02-07,,,2025-03-21,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,East Asian,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
TriteKnownCalf,Pending,3.72,166.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
ChunkyPluckyBobcat,"WL, Withdrawn",3.88,165.0,,,2025-02-21,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,True,False,False,True,False,False,False,,regular,,,,,,False,False,WL
ChaseB,Pending,3.67,172.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CheGuayaba,Waitlisted,2.85,160.0,5-9 years,,2024-12-30,2024-12-30,,,,,2025-03-06,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Waitlisted
MelodicSeemlyBison,Pending,3.33,154.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,True,,,0.0,,,,,False,False,Pending
ovidshel,Pending,2.6,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
MinorVariousPanda,Accepted,3.89,149.0,1-4 years,"$75,000",2024-12-16,,,,,2025-01-17,2025-01-29,Regular Decision,2025-06-13T15:24:42Z,75000,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
ichoosebust,"WL, Withdrawn",3.7,167.0,1-4 years,,2024-11-13,2024-11-15,2024-11-26,,,2024-12-09,2025-01-16,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Other,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
greentearolls,Accepted,3.78,168.0,1-4 years,"$162,000",2025-01-06,,,,,,2025-02-05,,2025-06-13T15:24:42Z,162000,False,,False,,False,White,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
TidyGainfulPeacock,Waitlisted,3.5,160.0,1-4 years,,2024-11-28,,2024-12-03,,,,2025-01-07,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
