user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
All-PowerfulThoughts,Accepted,2.9,158.0,5-9 years,,2025-01-12,2025-01-12,2025-01-12,,,2025-01-24,2025-01-30,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Accepted
YikersIsland,Accepted,3.0,169.0,1-4 years,"$24,000, No",,,,,,,2024-10-31,,2025-06-13T15:24:45Z,24000,False,No,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
IncompetentImpartialGorilla,"Accepted, Attending",3.69,157.0,,"$15,000, Conditional",2024-10-18,,,,,,2024-10-24,,2025-06-13T15:24:45Z,15000,True,,False,,False,,False,False,False,False,True,False,False,,,,,,,,False,False,Accepted
AquaticRambunctiousSeahorse,Rejected,2.72,154.0,1-4 years,,2025-03-30,2025-03-30,,,,,2025-04-10,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,False,False,False,False,False,False,True,Academic Probation (failed a class),regular,2.0,,,,,False,False,Rejected
mocktrialenthusiast,Accepted,3.88,162.0,0 years (KJD),"$51,600",,,,,,,2025-01-10,,2025-06-13T15:24:46Z,51600,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
dg02,Accepted,3.65,165.0,1-4 years,"$54,600, Scholarship + in-state tuition waiver",2025-03-25,2025-03-25,2025-03-27,2025-03-27,,2025-04-07,2025-04-16,Regular Decision,2025-06-13T15:24:48Z,54600,False,Scholarship + in-state tuition waiver,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
LawyerLinManuel,"WL, Withdrawn",3.61,151.0,1-4 years,,,,,,,,,,2025-06-13T15:24:59Z,,False,,False,,True,American Indian/Alaskan Native,False,False,False,True,False,False,False,,,3.0,,,,,False,False,WL
queenofthasouth,Waitlisted,2.96,151.0,1-4 years,,,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,,,2.0,,,,,False,False,Waitlisted
BrightDiscreetWyvern,Pending,2.2,159.0,10+ years,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,White,False,False,False,False,False,False,False,,,16.0,,,,,False,False,Pending
EarthyLegalBunny,Accepted,3.3,161.0,,,2024-11-13,2024-11-13,2024-12-02,,,2024-12-04,2024-12-05,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
DiligentAccessibleGerbil,Accepted,3.73,155.0,1-4 years,"$30,600",2024-11-15,,,,,2024-12-03,2024-12-05,,2025-06-13T15:24:49Z,30600,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
HockeyLawStudent1437,Waitlisted,3.2,150.0,1-4 years,,,,,,,,2025-03-11,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Waitlisted
AGGirl,Accepted,3.08,160.0,1-4 years,"$12,000",2024-10-31,,,,,2024-11-13,2024-12-02,Regular Decision,2025-06-13T15:24:49Z,12000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
