user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
AmazingFaithfulMouse,Rejected,3.9,167.0,,,2024-11-12,,,,,,2025-01-08,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
PicayuneGiantHuman,Rejected,3.73,160.0,1-4 years,,,,,,,,2025-01-08,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
ConfusedHarshCat,Rejected,3.5,167.0,,,,,,,,,2025-04-29,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
CAHApplicationCycle2025,Waitlisted,3.75,169.0,1-4 years,,,,,,,,2025-03-26,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
Sugarteats,Rejected,3.59,151.0,0 years (KJD),,2024-12-30,,,,,,2025-02-27,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
ZestyBashfulStingray,Rejected,4.0,165.0,1-4 years,,2024-10-23,,2024-10-31,2024-11-19,,,2025-02-27,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
KimberlyL,Accepted,4.1,175.0,1-4 years,"$10,000",,,,,,,2025-02-20,Regular Decision,2025-06-13T15:24:42Z,10000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
Tomilaw,Rejected,3.18,156.0,1-4 years,,,,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:42Z,,False,,True,REQUESTED,True,Black or African American,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
bmrblaw,Pending,3.8,154.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Nanci,Waitlisted,3.4,173.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Waitlisted
