user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
coronsm12,Waitlisted,3.18,146.0,,,,,2024-11-06,2024-11-20,,,2024-12-12,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
SacredSlayer,Accepted,3.07,152.0,,"$10,000",,,,,,,2025-01-07,,2025-06-13T15:24:43Z,10000,False,,False,,True,American Indian/Alaskan Native,True,True,False,False,False,False,False,,,,,,,,False,False,Accepted
TheLawMan69,Pending,3.29,148.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
queenofthasouth,Accepted,2.96,151.0,1-4 years,,,,,,,,2024-12-10,,2025-06-13T15:24:47Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,,,2.0,,,,,False,False,Accepted
NormalChubbyTaco,Accepted,3.4,157.0,1-4 years,"$10,000",,,,,,,2025-01-07,,2025-06-13T15:24:48Z,10000,False,,False,,False,White,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
SickDirtyGarfield,"WL, Accepted",,,1-4 years,,2024-11-27,2024-12-02,2024-12-06,2024-12-12,2025-05-01,,2025-06-03,Early Decision → Regular Decision,2025-06-13T15:24:48Z,,False,,True,,False,,False,False,False,False,False,False,False,,ed-to-rd,1.0,,,,,False,False,"WL, Accepted"
cbury24,Accepted,3.5,150.0,,"$18,000",2024-12-14,,2024-12-14,,,,2025-01-26,,2025-06-13T15:24:49Z,18000,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
DueProcessMatters,Pending,3.71,154.0,,,,,,,,,,,2025-06-13T15:24:50Z,,,,False,,True,Hispanic/Latino,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
Kittencattigermeow,Accepted,3.9,147.0,,,,,,,,,,,2025-06-13T15:24:52Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
DeanARichardson17,Pending,,,,,,,,,,,,,2025-06-13T15:24:52Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Ibra202him,Accepted,2.42,154.0,,"$1,000",2025-04-16,2025-04-17,,,,,2025-05-15,,2025-06-13T15:24:55Z,1000,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,Accepted
meowmew,Rejected,3.98,142.0,5-9 years,,,,2024-11-05,,,,2024-12-13,,2025-06-13T15:25:04Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Rejected
appraiser1973,wl_rejected,3.15,146.0,10+ years,,2025-06-28,2025-06-29,,,,,2025-08-18,Regular Decision,2025-08-28T18:38:21Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,30.0,,,,,False,False,wl_rejected
