user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
SomberRepulsiveRay,Accepted,3.87,165.0,1-4 years,"$135,000",2024-11-28,2024-11-28,2024-12-02,,,,2024-12-18,Regular Decision,2025-06-13T15:24:42Z,135000,False,,True,,False,East Asian,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
BennyBoy,Accepted,3.78,161.0,1-4 years,,,,,,,,2025-01-03,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
Benson0126,Accepted,,,,,,,,,,,2025-01-03,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
thoscheitruther,Waitlisted,2.61,161.0,5-9 years,,2024-10-16,2024-10-16,2024-10-16,2024-10-16,,,2025-01-10,,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,True,Speeding ticket,,7.0,,,,,False,False,Waitlisted
QuackDisagreeableBasilisk,Accepted,3.43,162.0,5-9 years,"$108,000, Fee Waiver: No fee",2024-11-03,2024-11-04,2024-11-12,2024-12-09,,,2024-12-18,Regular Decision,2025-06-13T15:24:43Z,108000,False,,True,No fee,False,White,True,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Accepted
NauseatingEncouragingToddler,Pending,2.6,163.0,1-4 years,,2025-02-20,2025-02-20,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
legallydirtyblonde07,Accepted,3.43,155.0,,"$30,000",2024-12-02,,,,,,2025-01-17,,2025-06-13T15:24:43Z,30000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
DullTangyMillipede,Accepted,3.68,152.0,5-9 years,"$45,000",2025-02-06,,,2025-02-07,2025-02-10,,2025-03-14,Regular Decision,2025-06-13T15:24:43Z,45000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
TheGuyFromSuits12,Accepted,3.26,155.0,1-4 years,"$75,000",2024-10-11,,,,,,2024-11-22,Regular Decision,2025-06-13T15:24:43Z,75000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
SpitefulPoodle,Accepted,2.8,156.0,1-4 years,"$90,000",2024-12-19,,,,,,2025-03-14,,2025-06-13T15:24:44Z,90000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
ZUKI,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ManyOver12,Waitlisted,3.16,150.0,1-4 years,,2024-10-13,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
banish7553,Accepted,3.94,160.0,,"$120,000",,,,,,,2024-12-18,Regular Decision,2025-06-13T15:24:44Z,120000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
MereQuirkySeahorse,Accepted,3.95,179.0,0 years (KJD),"$141,000",2024-11-04,,,,,,2024-11-22,,2025-06-13T15:24:44Z,141000,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
QuickestAnteater,Pending,,,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
RottenPuzzledWeasel,Accepted,3.73,157.0,1-4 years,,,,,,,,2025-03-31,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
Abistotle,Pending,3.1,155.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,abistotle,True,Other,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
CurvedMoldyMoose,Accepted,3.19,159.0,,"$90,000",2025-02-10,,,,,,2025-03-28,Regular Decision,2025-06-13T15:24:45Z,90000,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Sponge,Accepted,3.81,163.0,0 years (KJD),"$135,000, Dean's scholarship",2024-11-15,2024-11-15,,,,,2025-01-03,Regular Decision,2025-06-13T15:24:45Z,135000,False,Dean's scholarship,True,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
TastefulThirstyFalcon,Accepted,3.35,158.0,,,,,,,,,2025-01-03,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ScrawnyDeterminedDwarf,Rejected,2.55,163.0,10+ years,,2025-03-15,2025-03-15,2025-03-17,2025-03-17,,,2025-04-17,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,True,False,False,False,False,False,True,Pretty serious twenty years ago ,regular,12.0,,,,,False,False,Rejected
gnekrasovas,Pending,3.81,147.0,1-4 years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
FultonStreetStation,Rejected,3.45,157.0,5-9 years,,2024-09-16,2024-09-16,2024-09-16,2024-10-24,,,2025-01-10,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,True,DWI in 2016,regular,5.0,,,,,False,False,Rejected
EqualPluckyOctopus,Rejected,3.4,146.0,,,2025-04-15,2025-04-18,,,,,2025-05-03,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
drzungyack,"WL, Withdrawn",2.4,165.0,5-9 years,,,,,,,,2025-02-07,Regular Decision,2025-06-13T15:24:59Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
Drez1,Pending,3.7,171.0,5-9 years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,6.0,,,,,False,False,Pending
FastVastMacaque,Pending,,135.0,,,2024-11-25,2024-11-25,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,152.0,142.0,4,,False,False,Pending
Fairy123,"WL, Accepted",3.5,152.0,,"$90,000",2024-11-04,2024-11-05,2024-11-06,2024-11-06,,,2025-05-12,Regular Decision,2025-06-13T15:24:46Z,90000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,"WL, Accepted"
DocAttoney,Pending,3.4,160.0,10+ years,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,East Asian,False,False,False,False,False,False,False,,,23.0,160.0,163.0,,,False,False,Pending
