user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
EarthySnobbishHorse,Waitlisted,2.39,171.0,5-9 years,,,,,,,,2025-02-13,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,True,UG Disciplinary Issues; Academic Dismissal; 2 Expunged/Sealed Misdemeanors,,5.0,,,,,False,False,Waitlisted
WhisperingPlausiblePepper,Accepted,3.8,157.0,,"$34,500",,,,,,,2025-03-07,Regular Decision,2025-06-13T15:24:42Z,34500,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
PaleKindFae,Accepted,3.41,159.0,,"$25,500",,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:42Z,25500,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
bmrblaw,Pending,3.8,154.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
lotto,Waitlisted,3.72,157.0,1-4 years,,2024-12-27,2024-12-30,2025-02-06,2025-02-06,,,2025-04-01,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,True,False,False,False,False,True,Undergraduate Disciplinary Action,regular,2.0,,,,,False,False,Waitlisted
TanBaby2000,Pending,2.9,158.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
BuffaloBills76,Pending,2.7,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Iwanttogotolawschoolsobad,Waitlisted,3.93,152.0,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
IGTLS25,Accepted,3.6,159.0,1-4 years,"$36,000",2024-11-28,2024-12-02,2024-12-02,2024-12-06,,,2024-12-19,Regular Decision,2025-06-13T15:24:44Z,36000,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
ryebreadcat,wl_rejected,3.21,155.0,1-4 years,,,,,,,,2025-01-22,Regular Decision,2025-08-05T04:06:05Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,wl_rejected
untrueunkindunnatural,"WL, Withdrawn",3.34,164.0,1-4 years,,2024-11-30,,2024-12-02,,,,2025-01-08,Regular Decision,2025-06-13T15:24:49Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
NotJerryBrown,Pending,3.0,,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,165.0,157.0,4.5,,False,False,Pending
ObsceneJumpyMouse,Pending,3.92,170.0,,,2024-10-29,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
dg02,Accepted,3.65,165.0,1-4 years,"$67,500",2025-03-25,2025-03-25,2025-03-26,2025-04-01,,,2025-04-09,Regular Decision,2025-06-13T15:24:45Z,67500,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
Jakeir93,Accepted,3.3,167.0,1-4 years,"$67,500",,,,,,,2025-01-22,Regular Decision,2025-06-13T15:24:45Z,67500,False,,True,,False,White,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
Asfooooor,Waitlisted,3.45,155.0,1-4 years,,,,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
Garretgary,Rejected,3.23,,1-4 years,,2025-02-04,,,,,,2025-04-22,,2025-06-13T15:24:47Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,1.0,151.0,153.0,4,,False,False,Rejected
JazzTheFlute,Accepted,3.66,159.0,5-9 years,"$30,000",,,,,,,2025-02-17,Regular Decision,2025-06-13T15:24:47Z,30000,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,7.0,,,,,False,False,Accepted
BrightDiscreetWyvern,Pending,2.2,159.0,10+ years,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,White,False,False,False,False,False,False,False,,,16.0,,,,,False,False,Pending
SlowYieldingCobra,Accepted,4.1,153.0,,"$12,000",,,,,,,2025-01-02,Regular Decision,2025-06-13T15:24:47Z,12000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
extra-large-heart,Accepted,3.6,160.0,1-4 years,"$37,500",2024-12-29,,,,,,2025-02-05,Regular Decision,2025-06-13T15:24:48Z,37500,False,,True,,True,Other,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
SassyJudiciousLoon,Pending,,163.0,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
JealousAboundingJackal,Accepted,3.22,167.0,,"$40,500",2024-12-05,2024-12-06,2024-12-06,,,,2025-03-07,Regular Decision,2025-06-13T15:24:49Z,40500,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
PreviousPeacefulSnail,Waitlisted,,,,,,,,,,,,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
MrWorfSecurityChiefUSSEnterprise,Waitlisted,2.13,161.0,,,,,,,,,,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
CageyThirstyHippopotamus,Pending,3.92,154.0,,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Astoria141,Accepted,3.1,160.0,,"$34,500",,,,,,,2025-03-21,,2025-06-13T15:24:49Z,34500,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
eckertdanica,Rejected,2.8,147.0,,,,,,,,,2024-12-19,Regular Decision,2025-06-13T15:24:49Z,,False,,True,,True,Multiracial,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
natquon,Waitlisted,3.89,150.0,,,2025-02-05,2025-02-05,2025-02-05,,,,2025-03-14,Regular Decision,2025-06-13T15:24:49Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
GlisteningFriendlyCrocodile,Waitlisted,3.15,156.0,1-4 years,,2024-12-06,,,,,,2025-04-09,Regular Decision,2025-06-13T15:24:50Z,,False,,True,,False,,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
