user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
SnottyMinorBat,Accepted,,,,,,,,,,,2025-03-10,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Daimonee,Rejected,3.34,148.0,,,,,,,,,2025-01-28,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
QuirkySourSwallow,Accepted,2.59,154.0,,"$9,000",,,,,,,2025-02-21,,2025-06-13T15:24:43Z,9000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
wishesandprayers,Rejected,3.46,147.0,1-4 years,,2024-09-01,2024-09-01,2024-09-01,2024-09-02,,,2024-09-20,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
MelodicAloofSeahorse,Pending,2.66,147.0,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,True,Other,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
Seyi,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Imjustagurl,Accepted,3.72,154.0,,"$54,000",,,,,,,2024-12-04,,2025-06-13T15:24:44Z,54000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
LazyVioletBee,Accepted,3.83,153.0,,"$54,000",,,,,,,2025-01-24,Regular Decision,2025-06-13T15:24:44Z,54000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ZanyDysfunctionalElephant,Accepted,2.7,169.0,,"$30,000, Conditional",2025-02-15,2025-02-16,,,,,2025-02-21,,2025-06-13T15:24:44Z,30000,True,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
BluePretty,Rejected,3.3,147.0,,,,,,,,,2025-02-22,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
LackadaisicalZanyWolf,Pending,3.62,150.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
jiadenbd,Accepted,,,1-4 years,"$54,000, Fee Waiver: unsolicited",2025-03-13,2025-03-13,,,,,2025-03-31,Regular Decision,2025-06-13T15:24:46Z,54000,False,,True,unsolicited,False,East Asian,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
BrightDiscreetWyvern,Pending,2.2,159.0,10+ years,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,White,False,False,False,False,False,False,False,,,16.0,,,,,False,False,Pending
MarriedSwelteringSalad,Accepted,3.32,168.0,1-4 years,"$80,000",,,2024-12-11,,,,2025-01-21,,2025-06-13T15:24:48Z,80000,False,,False,,False,White,False,False,False,False,False,False,True,,,3.0,,,,,False,False,Accepted
PanickyFanaticalBarnacle,Accepted,3.7,156.0,1-4 years,"$63,000",2024-11-13,,,,,,2024-11-22,Regular Decision,2025-06-13T15:24:48Z,63000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
InnocentUnsuitableCheetah,Accepted,3.55,152.0,,"$15,000",,,,,,,2025-04-04,Regular Decision,2025-06-13T15:24:49Z,15000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
MissyNonna,Accepted,2.53,158.0,1-4 years,"$36,000",2024-12-30,,,,,,2025-01-25,,2025-06-13T15:24:49Z,36000,False,,True,,True,Other,False,True,False,False,False,False,True,Academic Dismissal,,3.0,,,,,False,False,Accepted
ScatteredMaterialCamel,Accepted,3.44,158.0,5-9 years,"$60,000",2025-02-05,,,,,,2025-02-17,,2025-06-13T15:24:50Z,60000,False,,False,,False,White,False,True,False,False,False,False,False,,,6.0,,,,,False,False,Accepted
FeignedTiresomeGrasshopper,accepted,2.2,156.0,,,,,,,,,2025-07-02,Regular Decision,2025-07-02T18:43:35Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,accepted
hxt,Pending,3.6,153.0,,,,,,,,,,,2025-06-13T15:24:50Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
