user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
SkillfulNippyHound,Rejected,3.52,157.0,5-9 years,,2024-12-01,,,,,,2025-03-06,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,True,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
gupsinlawschool,Rejected,3.07,159.0,5-9 years,,2024-11-30,,,,,,2025-02-26,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
jackbenimble,Accepted,3.44,168.0,10+ years,"$47,040",2024-11-26,,,,,,2025-01-22,Regular Decision,2025-06-13T15:24:42Z,47040,False,,False,,False,White,False,False,False,False,False,False,True,"Multiple alcohol & drug offenses, including drunk driving, other offenses, and university misconduct",regular,11.0,,,,,False,False,Accepted
Wesquire,Pending,3.65,163.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DoneTeaching7,"Withdrawn, Withdrawn",2.45,166.0,5-9 years,,2024-11-29,2024-12-03,2024-12-03,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,9.0,,,,,False,False,Withdrawn
KindheartedHelplessLemur,Accepted,3.8,166.0,1-4 years,"$94,080, Full tuition",,,,,,,2025-02-06,Regular Decision,2025-06-13T15:24:42Z,94080,False,Full tuition,False,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
DarkDrunkIguana,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Driftwoodecho,Accepted,4.0,162.0,,"$59,000",,,,,,,2025-03-12,,2025-06-13T15:24:42Z,59000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
bblizardbreath,Accepted,3.71,172.0,,,,,,,,,2024-12-29,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
DefectiveNecessaryWeasel,Pending,3.3,150.0,,,2025-02-19,,,,,,,,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
WiryGoodPuppy,Accepted,3.4,168.0,10+ years,"$47,040",2025-01-08,,,,,,2025-01-15,Regular Decision,2025-06-13T15:24:42Z,47040,False,,True,,False,White,False,False,False,False,False,False,True,,regular,15.0,,,,,False,False,Accepted
