user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
DuLSATPeep,Pending,3.59,158.0,0 years (KJD),,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Pending
Steel2Law1997,Pending,2.84,165.0,1-4 years,,2025-02-20,2025-02-20,2025-03-01,2025-03-01,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,True,"2 traffic tickets, academic probation 1st semester of undergrad, academic dismissal due to health issues that was removed but disclosed",regular,4.0,,,,,False,False,Pending
justtryingtogotoschoolhere,Pending,3.86,158.0,1-4 years,,2024-09-10,2024-09-11,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
SecondEquableBluebird,Rejected,3.36,152.0,,,2024-12-07,2024-12-07,2024-12-07,,,,2024-12-11,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
CondemnedLawyer,Rejected,3.58,153.0,5-9 years,,2025-01-03,,,,,,2025-01-13,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Hispanic/Latino,True,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Rejected
DisastrousClutteredCyclops,Rejected,3.81,151.0,,,,,,,,,2024-11-11,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Rejected
CurvyHypnoticSheepdog,Accepted,3.92,160.0,,,,,,,,,2025-01-06,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
itsma,Accepted,3.93,157.0,1-4 years,"$24,000",2024-09-19,,,,,,2025-01-17,Regular Decision,2025-06-13T15:24:45Z,24000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
Fruitfarm005,Pending,3.67,153.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
NutritiousHollowCamel,Rejected,3.96,152.0,,,,,,,,,2025-02-04,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
