user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
LegallyBrunette716,Accepted,3.98,162.0,5-9 years,"$89,000, Conditional",2024-11-03,,,,,,2024-11-19,Regular Decision,2025-06-13T15:24:43Z,89000,True,,False,,False,White,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Accepted
ovidshel,Pending,2.6,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
BriefHaltingMammoth,Rejected,4.0,148.0,10+ years,,2025-03-30,,,,,,2025-04-21,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,10.0,152.0,135.0,3,,False,False,Rejected
stressedallthetime13,Accepted,3.8,158.0,5-9 years,"$75,000, Conditional",2024-09-29,2024-09-30,2024-09-29,2024-10-01,,,2024-11-08,Regular Decision,2025-06-13T15:24:44Z,75000,True,,False,,False,White,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
MistyDullSparrow,Accepted,3.96,159.0,0 years (KJD),"$75,000, Conditional",2024-12-20,2024-12-20,,,,,2025-01-17,,2025-06-13T15:24:44Z,75000,True,,False,,False,White,False,True,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
GlamorousRapidReader,Waitlisted,2.0,153.0,1-4 years,,2025-03-01,2025-03-03,,,,,2025-04-04,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,True,False,False,False,False,False,True,Academic probation and minor military misconduct,regular,2.0,,,,,False,False,Waitlisted
LSATQueen,Accepted,3.99,164.0,,"$104,000",2024-12-02,,,,,,2025-01-10,,2025-06-13T15:24:44Z,104000,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PreviousUnwrittenLemur,Rejected,2.4,140.0,5-9 years,,,,,,,,2025-02-22,,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,True,False,Rejected
rachaelb,Accepted,3.8,154.0,,"$45,000",,,,,,,2025-03-12,,2025-06-13T15:24:45Z,45000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
verydannydevito,Accepted,3.71,163.0,,,2024-11-11,2024-11-12,,,,,2024-11-19,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
EconomicAnnoyingTaco,Waitlisted,3.3,149.0,,,2024-12-05,,,,,,2025-01-08,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
CuriousComrade,Accepted,2.9,167.0,5-9 years,"$135,000",,,,,,,2025-04-09,,2025-06-13T15:24:46Z,135000,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,6.0,,,,,False,False,Accepted
betadeltagamma,"accepted, Attending",3.92,150.0,,,2025-04-03,2025-04-16,2025-04-22,,,,,Regular Decision,2025-08-16T00:17:10Z,,True,,False,,True,Multiracial,False,True,False,False,True,False,False,,regular,,,,,,False,False,accepted
gpiquion,Pending,3.09,158.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Misssgurl,Accepted,2.92,152.0,,,2024-09-15,,,,,,2024-11-07,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
WishNoMore,Accepted,3.97,,1-4 years,"$117,000",,,2024-11-12,,,,2024-12-12,Regular Decision,2025-06-13T15:24:47Z,117000,False,,False,,False,East Asian,False,True,False,False,False,False,False,,regular,1.0,161.0,170.0,4,,False,False,Accepted
msatticusfinch,Pending,4.0,160.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,,False,False,False,False,False,False,True,speeding ticket that was dismissed,,0.0,,,,,False,False,Pending
SimSimma,Pending,3.75,151.0,10+ years,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Pending
ProtectiveQuixoticOpossum,Accepted,3.72,160.0,,"$75,000, Conditional",,,,,,,2025-03-11,,2025-06-13T15:24:47Z,75000,True,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
StrangeLowAlligator,Accepted,3.52,165.0,10+ years,"$30,000",2024-11-08,2024-11-08,,,,,2024-11-19,Regular Decision,2025-06-13T15:24:48Z,30000,False,,True,,False,East Asian,True,True,False,False,False,False,False,,regular,13.0,,,,,False,False,Accepted
