user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
AliveDeadYogurt,Waitlisted,3.92,172.0,,,,,,,,,2025-01-24,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
stickysituation,Rejected,3.87,170.0,1-4 years,,2024-11-26,2024-11-26,2024-12-07,2024-12-21,,,2025-02-19,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
FunkyKong,Rejected,3.6,177.0,1-4 years,,,,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
HeadyInvincibleRabbit,Rejected,3.71,165.0,,,2024-11-29,,,,,,2025-02-19,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
BrightHallowedRice,Waitlisted,4.12,168.0,1-4 years,,2024-12-26,,,,,,2025-03-06,,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Waitlisted
BoilingEndurableWretch,"WL, Rejected",3.86,176.0,1-4 years,,2025-01-02,2025-01-02,2025-01-08,,,,2025-03-06,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,"WL, Rejected"
CrowdedMaliciousBuzzard,Rejected,3.89,174.0,0 years (KJD),,2024-12-06,2024-12-06,2024-12-09,,,,2025-02-19,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Other,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
Dantheman00797,Waitlisted,4.07,167.0,,,2025-01-02,2025-01-03,2025-01-06,2025-01-21,,,2025-03-24,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
VastTabooHeron,Rejected,3.51,177.0,1-4 years,,2025-02-08,2025-02-08,2025-02-14,,,,2025-03-21,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
plsgivemeanoffer,Rejected,3.81,170.0,,,,,,,,,2025-02-19,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
SharpUglyHydra,Pending,3.59,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PhysicalNeatCuttlefish,Waitlisted,3.5,166.0,1-4 years,,2024-12-01,2024-12-01,2024-12-05,,,,2025-02-19,Regular Decision,2025-06-13T15:24:42Z,,False,,True,Solicited fee waiver.,True,Black or African American,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
LSD-LAW9000,Pending,4.13,174.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
SojuJess,Waitlisted,4.07,172.0,,,,,,,,,2025-01-24,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
MelodicSeemlyBison,Pending,3.33,154.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,True,,,0.0,,,,,False,False,Pending
CAHApplicationCycle2025,Rejected,3.75,169.0,1-4 years,,,,,,,,2025-04-09,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
OverratedSableGnome,Rejected,3.82,164.0,1-4 years,,2024-12-01,,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
StillFigurin1tOut,Rejected,3.55,172.0,5-9 years,,2024-12-21,,2024-12-23,,,,2025-03-06,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Rejected
KindReader,"WL, Withdrawn",3.94,173.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,WL
BroadGlisteningReader,Waitlisted,3.96,173.0,0 years (KJD),,,,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
VenomousEasySalamander,Pending,3.61,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SulkyWaitingMoose,"WL, Withdrawn",3.77,172.0,0 years (KJD),,2024-12-13,2024-12-13,2024-12-16,2025-01-08,,2025-01-31,2025-03-06,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
podlaw,Rejected,3.78,155.0,,,2024-12-28,2024-12-29,2025-01-02,2025-01-21,,,2025-03-06,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
JumbledBizarreBuffalo,Rejected,3.99,167.0,,,,,,,,,2025-02-20,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
