user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Wandy,"Accepted, Withdrawn",4.0,159.0,,,2024-10-01,2024-10-01,,2024-12-02,,,2024-12-06,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,Accepted
Rembop123,Pending,4.22,161.0,,,,,2024-11-27,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
TheRareESLLawyer,"WL, Withdrawn",3.71,153.0,5-9 years,,,,2025-01-03,,,,2025-03-28,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,East Asian,False,False,False,True,False,False,False,,regular,8.0,,,,,False,False,WL
GleamingSourPeacock,Pending,3.92,151.0,,,2025-02-09,2025-02-11,2025-02-26,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
MrHopOutThatVehicleAndWalkEmDownOnAWednesday,Accepted,3.94,168.0,,"$150,000",,,,,,,2025-04-14,,2025-06-13T15:24:43Z,150000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
BatKing,"WL, Withdrawn",3.35,165.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,,,,,,False,False,WL
Yourboimason,Waitlisted,3.37,158.0,,,,,,,,,2025-01-24,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
SleepyOutrageousRoadrunner,Accepted,3.49,155.0,1-4 years,,2024-12-08,2024-12-08,2024-12-08,,,,2025-03-06,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
Imjustagurl,Pending,3.72,154.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PhysicsRelevant,Pending,3.64,157.0,1-4 years,,,,2025-02-05,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
LazyVioletBee,Waitlisted,3.83,153.0,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
LovingLawLoveGirly,Accepted,3.98,154.0,1-4 years,"$21,000",2024-09-08,2024-09-08,2024-10-08,2024-11-22,2024-12-03,,,Regular Decision,2025-06-13T15:24:44Z,21000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
Reishimushroom,Rejected,,,,,,,,,,,2025-04-17,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
michaelacass,Accepted,3.97,158.0,,,2024-09-10,2024-09-11,2024-09-28,2024-11-06,,,2024-11-21,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
lilbabykittycat,"WL, Withdrawn",3.93,160.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,,,,,,False,False,WL
pdt622,"WL, Withdrawn",3.7,161.0,0 years (KJD),,2024-12-19,,2025-01-13,2025-02-27,2025-03-05,,2025-03-14,Regular Decision,2025-06-13T15:24:51Z,,False,,True,,False,,False,True,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
FewGoodMen2021,Waitlisted,3.53,157.0,,,,2025-03-06,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
GuiltlessCutCuttlefish,Pending,3.9,,0 years (KJD),,2025-03-29,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,0.0,,,,,False,False,Pending
PepsiRolex,"WL, Withdrawn",3.05,,,,2024-10-08,,,,,,2024-12-10,Regular Decision,2025-06-13T15:24:53Z,,False,,True,,True,Other,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
BlueBunny,Accepted,3.84,160.0,1-4 years,"$78,000, Scholarship info was posted in the portal",2024-10-03,,,,,,2024-12-06,Regular Decision,2025-06-13T15:24:46Z,78000,False,Scholarship info was posted in the portal,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
EasyGrubbyWeasel,Accepted,3.79,161.0,1-4 years,"$63,000",2024-11-29,2024-11-29,2024-12-06,2025-02-05,,,2025-02-20,Regular Decision,2025-06-13T15:24:46Z,63000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
WarmNinePrawn,Waitlisted,3.51,157.0,0 years (KJD),,,,,,,,2025-02-09,,2025-06-13T15:24:46Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
mmeow-05,Accepted,3.9,158.0,,,,,,,,,2024-12-10,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
GorgeousFlawlessHare,Pending,3.75,153.0,,,2025-01-31,,2025-02-19,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
Chartreuse20,Pending,4.03,176.0,0 years (KJD),,2025-02-28,2025-02-28,2025-03-18,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Pending
