user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Rembop123,Pending,4.22,161.0,,,,,2024-11-27,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ImpoliteConcernedZombie,Pending,3.76,173.0,10+ years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,12.0,,,,,False,False,Pending
FastRainyChameleon,Pending,3.13,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
wishesandprayers,Pending,3.46,147.0,1-4 years,,2024-09-03,2024-09-03,2024-09-05,2024-09-06,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
xxRushWaysxx,Accepted,3.9,149.0,,"$60,000, 66000",,,,,,,2024-11-14,,2025-06-13T15:24:43Z,60000,False,66000,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
legallydirtyblonde07,Accepted,3.43,155.0,,"$90,000",2024-12-02,,,,,,2024-12-13,,2025-06-13T15:24:43Z,90000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
FaithfulEconomicNibbler,Accepted,3.74,178.0,5-9 years,"$37,800",2024-12-01,,,,,,2024-12-16,Regular Decision,2025-06-13T15:24:43Z,37800,False,,False,,False,White,False,False,False,False,False,False,False,,regular,6.0,169.0,168.0,4.5,,False,False,Accepted
slowcookedham,Accepted,3.44,163.0,0 years (KJD),"$105,000",2024-12-03,2024-12-04,2024-12-04,2025-01-02,,,2025-01-06,Regular Decision,2025-06-13T15:24:43Z,105000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
Yourboimason,Accepted,3.37,158.0,,"$102,000",,,,,,,2024-11-22,,2025-06-13T15:24:44Z,102000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Iwanttogotolawschoolsobad,"WL, Accepted",3.93,152.0,,"$72,000, Conditional",,,,,,,2025-05-08,,2025-06-13T15:24:44Z,72000,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,"WL, Accepted"
ZUKI,Rejected,,,,,,,,,,,2025-03-24,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
85Delorean,Rejected,2.69,155.0,,,,,,,,,2025-02-05,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
