user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
MrBiology,Rejected,3.1,156.0,1-4 years,,,,,,,,2025-06-04,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
FlumbusCrumplehorn,"WL, Withdrawn",3.9,155.0,,,2024-10-28,,,,,,2024-12-05,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,True,False,False,True,,regular,,,,,,False,False,WL
FastRainyChameleon,Waitlisted,3.13,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Waitlisted
ExcitedVariousCloud,"WL, Withdrawn",3.63,155.0,5-9 years,,2025-03-02,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,8.0,,,,,False,False,WL
HandyMercifulShrimp,Rejected,3.78,153.0,1-4 years,,2025-01-05,2025-01-05,2025-01-06,,,,2025-02-10,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
Kstepper,"WL, Withdrawn",3.99,153.0,,,,2025-01-09,,,,,,,2025-06-13T15:24:48Z,,False,,True,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,WL
lawandyoda,"Accepted, Withdrawn",,,5-9 years,"$66,000",2024-10-14,,2024-10-15,,,,2024-10-25,Regular Decision,2025-06-13T15:24:44Z,66000,False,,False,,False,,False,False,False,True,False,False,False,,regular,8.0,,,,,False,False,Accepted
breenajeanjellybean,Pending,3.22,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DKargari,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
jjf3,Pending,2.67,174.0,10+ years,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,White,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Pending
MagnificentUnwieldyLlama,Accepted,3.3,150.0,,"$37,500, Western Regional Graduate Program (WRGP)",2024-10-29,,,,,,2024-12-12,,2025-06-13T15:24:45Z,37500,False,Western Regional Graduate Program (WRGP),False,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ShakySmoggyCockroach,"WL, Rejected",3.27,156.0,5-9 years,,,,,,,,2025-05-15,,2025-06-13T15:24:45Z,,False,,False,,False,,True,False,False,False,False,False,False,,,5.0,,,,,False,False,"WL, Rejected"
kmac,Pending,3.02,148.0,10+ years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,Black or African American,True,False,False,False,False,False,False,,,10.0,,,,,False,False,Pending
CrowKing,"WL, Withdrawn",2.82,166.0,5-9 years,,2024-12-26,2024-12-26,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:55Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
MichealRoss,"WL, Withdrawn",3.78,166.0,1-4 years,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,1.0,,,,,False,False,WL
Arctic-Orca,"WL, Withdrawn",3.47,154.0,1-4 years,,2024-10-11,,,,,,2024-10-31,Regular Decision,2025-06-13T15:25:01Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
FultonStreetStation,Rejected,3.45,157.0,5-9 years,,2024-09-04,2024-09-04,2024-09-04,,,,2024-10-21,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,True,DWI in 2016,regular,5.0,,,,,False,False,Rejected
redbullfan,Accepted,3.59,165.0,,,2025-03-01,,,,,,2025-04-04,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
HardAdjoiningAlligator,Pending,3.59,159.0,,,,,,,,,,,2025-06-13T15:24:47Z,,False,,True,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
GirlyYouGotThis,Pending,3.96,158.0,1-4 years,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,White,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
Garretgary,Rejected,3.23,,1-4 years,,2025-02-04,,,,,,2025-02-28,,2025-06-13T15:24:47Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,1.0,151.0,153.0,4,,False,False,Rejected
