user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
MrBiology,Rejected,3.1,156.0,1-4 years,,,,,,,,2025-06-04,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
DecolonizeYourMind,Pending,3.9,162.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
MushyCow,Waitlisted,3.86,160.0,,,2025-02-19,,,2025-02-20,,,2025-03-17,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
WindyPrivateSkater,Rejected,2.8,161.0,5-9 years,,2025-02-01,,,,,,2025-03-13,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,True,False,False,False,False,False,,,5.0,,,,,False,False,Rejected
Gibby,Accepted,3.97,161.0,,"$3,000, Plus in-state rates",2025-02-19,,,,,,2025-03-05,Regular Decision,2025-06-13T15:24:42Z,3000,False,Plus in-state rates,False,,False,East Asian,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
CheGuayaba,Rejected,2.85,160.0,5-9 years,,2024-12-27,2024-12-27,2024-12-29,,,,2025-01-16,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
NonstopAncientLeek,Waitlisted,3.01,164.0,,,2024-09-13,2024-09-13,2024-09-16,2024-09-16,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
NonstopMacabreLemming,Waitlisted,3.93,158.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
SapphiresLawData,Pending,3.08,157.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ULB,Rejected,3.07,160.0,5-9 years,,2024-12-01,2024-12-01,2024-12-02,,,,2025-01-03,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,9.0,,,,,False,False,Rejected
