user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
dunedaincartographer,Accepted,3.06,168.0,10+ years,"$30,000",2024-11-30,2024-12-01,2024-12-02,,,,2025-02-05,Regular Decision,2025-06-13T15:24:42Z,30000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Accepted
DisgruntledMonkey,Rejected,3.14,152.0,10+ years,,2025-03-12,2025-03-13,2025-03-13,2025-03-17,2025-04-29,,2025-05-08,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,True,False,False,False,False,False,True,,regular,14.0,,,,,False,False,Rejected
LongmontMaverick,Accepted,3.75,153.0,,"$8,000",2024-09-05,,,,,,2025-01-16,Regular Decision,2025-06-13T15:24:43Z,8000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
legallydirtyblonde07,Accepted,3.43,155.0,,,2024-12-02,2024-12-02,2024-12-02,,,,2025-02-13,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
crissangelpack,Accepted,2.87,157.0,5-9 years,"$12,000, In state tuition +4k",,,,,,,2025-01-28,,2025-06-13T15:24:43Z,12000,False,In state tuition +4k,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
DifferentMarriedHuman,Accepted,3.56,154.0,,"$24,000",,,2025-02-27,,,,2025-03-05,,2025-06-13T15:24:44Z,24000,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
DoubtfulSpiffyWildebeest,Accepted,3.73,172.0,,"$45,000",,,,,,,,,2025-06-13T15:24:44Z,45000,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SoniaYolomayor,Accepted,2.89,160.0,,,,,,,,,2025-05-09,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
MercifulEmptyMilk,Pending,3.5,152.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
GrubbyFutureTadpole,"WL, Accepted",3.82,145.0,1-4 years,,,,,,,,2025-05-06,,2025-06-13T15:24:46Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,2.0,,,,,False,False,"WL, Accepted"
legallyblondi3,Accepted,3.3,152.0,1-4 years,,2025-02-02,2025-02-03,,,,,2025-03-06,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
BrainyFinickyBeagle,Accepted,3.6,157.0,1-4 years,"$30,000",,,,,,,2025-02-06,Regular Decision,2025-06-13T15:24:47Z,30000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
TheCommunicator4,Pending,3.89,156.0,1-4 years,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
therealjaysontatum,Pending,3.27,161.0,,"$30,000",,,2024-12-04,2024-12-12,2025-01-23,,,Regular Decision,2025-06-13T15:24:47Z,30000,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
ChadEdge,Pending,3.6,150.0,,,2024-12-02,2024-12-02,,2024-12-12,,,,,2025-06-13T15:24:48Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
TangibleKindFop,Accepted,4.19,159.0,1-4 years,"$36,000",2024-11-21,,,,,,2025-01-30,Regular Decision,2025-06-13T15:24:48Z,36000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
LevelHaltingBison,Accepted,2.9,153.0,,,,,,,,,2025-03-13,,2025-06-13T15:24:50Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
DrMantisToboggan,Accepted,3.57,159.0,10+ years,"$10,000, Fee Waiver: Unsolicited",2025-02-19,,2025-02-19,,,,2025-04-10,Regular Decision,2025-06-13T15:24:50Z,10000,False,,True,Unsolicited,False,White,False,True,False,False,False,False,False,,regular,10.0,,,,,False,False,Accepted
JaggedCrocodile,Accepted,3.78,157.0,1-4 years,"$30,000",2024-12-09,2024-12-09,2024-12-09,2025-01-09,2025-01-24,,2025-02-07,Regular Decision,2025-06-13T15:24:50Z,30000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
DumbWarDog,Pending,3.48,151.0,10+ years,,,,,,,,,,2025-06-13T15:24:51Z,,,,False,,True,Hispanic/Latino,True,False,False,False,False,False,False,,,10.0,,,,,False,False,Pending
7house,Accepted,3.66,169.0,,,,,,,,,2025-01-14,,2025-06-13T15:24:53Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Emptynester,Pending,3.75,145.0,,,,,,,,,,,2025-06-13T15:24:53Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
anonymouslawstudent,Accepted,3.86,154.0,1-4 years,,2024-10-25,,2024-11-01,,,,2025-01-14,,2025-06-13T15:24:54Z,,False,,True,,True,Hispanic/Latino,True,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
InsidiousNoxiousBunny,Waitlisted,2.42,149.0,,,2024-12-12,,,,,,2025-03-26,,2025-06-13T15:24:55Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
MountainousPuzzledOwl,Accepted,3.78,152.0,5-9 years,"$12,000",2024-12-04,2024-12-05,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:55Z,12000,False,,False,,False,,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
DurfLord,Accepted,3.55,151.0,1-4 years,"$60,000",2025-03-31,,,,,,2025-04-18,Regular Decision,2025-06-13T15:24:55Z,60000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
Spongebob,Pending,,,,,,,,,,,,,2025-06-13T15:24:57Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
TheRedBaronPizza,Accepted,2.21,158.0,1-4 years,,,,,,,,2025-01-16,,2025-06-13T15:24:57Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
aferns19,Accepted,3.42,153.0,,,,,,,,,2025-01-17,,2025-06-13T15:24:58Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
