user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
sharkboy,Accepted,3.94,155.0,,"$90,000",2024-11-14,2024-11-21,,,,,2025-02-14,Regular Decision,2025-06-13T15:24:42Z,90000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
LooseJaggedPebble,Accepted,3.8,158.0,1-4 years,"$90,000",2024-12-01,,2024-12-02,2024-12-13,,,2025-02-14,,2025-06-13T15:24:42Z,90000,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
RebelOppositeKitten,Pending,3.04,153.0,,,2025-02-12,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
freeloading,Pending,3.7,145.0,5-9 years,,2024-12-28,,2024-12-29,,,,,,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Pending
AbsorbedGruesomeDolphin,Pending,3.67,156.0,1-4 years,,2025-02-10,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
ThinkableDependentButterfly,Accepted,3.48,157.0,,"$91,287",,,,,,,2025-03-07,,2025-06-13T15:24:42Z,91287,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
FallaciousOutstandingReader,Accepted,3.5,160.0,5-9 years,,2025-01-27,,,,,,2025-03-21,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Accepted
ovidshel,Pending,2.6,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
IndraNAshura,Pending,3.55,162.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Blizmarie,Pending,3.96,154.0,,,2024-11-02,,2024-11-14,,,,,,2025-06-13T15:24:43Z,,False,,True,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
badgervb2024,Accepted,,,,"$30,000",2024-09-19,2024-09-19,2024-09-19,2024-09-23,,,2025-01-27,Regular Decision,2025-06-13T15:24:43Z,30000,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
PeachyDayz,Rejected,2.67,149.0,10+ years,,2024-11-27,2024-11-28,2024-12-05,2024-12-06,,,2025-02-04,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,11.0,,,,,False,False,Rejected
YouthfulWhisperingPuma,Accepted,4.12,170.0,,"$121,716",,,,,,,2025-02-03,,2025-06-13T15:24:43Z,121716,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
DeterminedAmbiguousDragon,Pending,3.77,152.0,,,2024-11-08,2024-11-10,2024-11-14,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
JoyousStatuesqueOstrich,Pending,3.2,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
